visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Fukuoka-ken Itoshima-shi Maebarunishi,total_area_visitors,total_genre_visitors
2016-07-01,air_746211c0b532e8aa,1,0,0,0,0,0,0,1.1470691936165678,1.2891014341151614,0.0,0.5917440819264966,0.8900999149616404,1,10.0,1,1,1.4060303742845097,1.4060303742845102
2016-07-02,air_746211c0b532e8aa,0,0,1,0,0,0,0,1.3855484612760482,1.2668854108793013,0.0,0.019211019647292826,1.5277099175832702,1,52.0,1,1,1.567541045552233,1.5675410455522332
2016-07-03,air_746211c0b532e8aa,0,0,0,1,0,0,0,1.3969046168788803,1.2891014341151614,0.0,0.9040348431696987,1.463948917321107,1,81.0,1,1,-0.44902401030003297,-0.4490240103000324
2016-07-04,air_746211c0b532e8aa,0,1,0,0,0,0,0,1.465041550495875,1.4335055851482543,0.0,0.9560833033768988,1.3789342503048903,1,20.0,1,1,-1.2326212383644888,-1.2326212383644881
2016-07-05,air_746211c0b532e8aa,0,0,0,0,0,1,0,1.4877538617015396,1.5556937129454866,0.0,1.4505436753453023,1.389561083681917,1,24.0,1,1,-0.5552810308709034,-0.555281030870903
2016-07-06,air_746211c0b532e8aa,0,0,0,0,0,0,1,1.3174115276590537,1.311317457351022,0.0,1.8409071268993047,1.187651249518401,1,43.0,1,1,-0.08852291869049779,-0.0885229186904973
2016-07-07,air_746211c0b532e8aa,0,0,0,0,1,0,0,1.1243568824109031,1.1224812598462088,0.0,0.799937922755298,1.1026365825021838,1,31.0,1,1,-0.1565274118558549,-0.15652741185585442
2016-07-08,air_746211c0b532e8aa,1,0,0,0,0,0,0,0.8177406811344285,0.6337287486572797,0.0,-1.3080247156363158,0.9857414153548848,1,16.0,1,1,1.1966074464684668,1.1966074464684673
2016-07-09,air_746211c0b532e8aa,0,0,1,0,0,0,0,0.8745214591485905,0.7225928416007213,0.0,-1.073806644703914,1.0282487488629937,1,46.0,1,1,1.5053323898725597,1.50533238987256
2016-07-10,air_746211c0b532e8aa,0,0,0,1,0,0,0,1.0221514819854116,0.9003210274876048,0.0,-1.073806644703914,1.1557707493873195,1,54.0,1,1,-0.2859677823694608,-0.2859677823694603
2016-07-11,air_746211c0b532e8aa,0,1,0,0,0,0,0,1.1243568824109031,0.978077108813116,0.0,-1.203927795221915,1.2195317496494826,1,20.0,1,1,-1.2840109974042189,-1.2840109974042182
2016-07-12,air_746211c0b532e8aa,0,0,0,0,0,1,0,1.2265622828363945,1.2113453527896505,0.0,-0.5012735824247104,1.2726659165346186,1,19.0,1,1,-0.5398254642424132,-0.5398254642424126
2016-07-13,air_746211c0b532e8aa,0,0,0,0,0,0,1,1.067576104396741,0.8447809693979538,0.0,-1.2820004855327156,1.1557707493873195,1,9.0,1,1,-0.46525235525994774,-0.4652523552599472
2016-07-14,air_746211c0b532e8aa,0,0,0,0,1,0,0,1.0789322599995737,0.9336450623413954,0.0,1.0862044538948998,1.198278082895428,1,21.0,1,1,-0.24269219580968807,-0.24269219580968757
2016-07-15,air_746211c0b532e8aa,1,0,0,0,0,0,0,0.8858776147514227,0.7448088648365817,0.0,1.1903013743093005,1.0069950821089393,1,28.0,1,1,0.9779111786753297,0.9779111786753301
2016-07-16,air_746211c0b532e8aa,0,0,1,0,0,0,0,1.2038499716307298,1.4890456432379053,0.0,0.22740486047609437,0.9857414153548848,1,60.0,1,1,1.4446692908557355,1.4446692908557357
2016-07-17,air_746211c0b532e8aa,0,0,0,1,0,0,0,0.9994391707797466,0.9336450623413954,0.0,0.643792542133697,1.1451439160102923,1,97.0,1,1,0.4902880515464622,0.49028805154646266
2016-07-18,air_746211c0b532e8aa,0,1,0,0,0,0,0,0.9994391707797466,1.0447251785206975,1.0,0.8519863829624986,0.932607248469749,1,105.0,1,1,-1.0830886312338457,-1.083088631233845
2016-07-19,air_746211c0b532e8aa,0,0,0,0,0,1,0,1.033507637588244,1.0669412017565578,0.0,1.424519445241702,1.0176219154859663,1,20.0,1,1,-0.9022585016805097,-0.902258501680509
2016-07-20,air_746211c0b532e8aa,0,0,0,0,0,0,1,0.9994391707797466,1.0002931320489763,0.0,0.5396956217192962,1.0920097491251564,1,30.0,1,1,-0.40613481290597253,-0.406134812905972
2016-07-21,air_746211c0b532e8aa,0,0,0,0,1,0,0,0.9426583927655846,0.9003210274876048,0.0,0.9560833033768988,0.9751145819778578,1,17.0,1,1,-0.1785515943014535,-0.178551594301453
2016-07-22,air_746211c0b532e8aa,1,0,0,0,0,0,0,0.8745214591485905,0.866996992633814,0.0,1.2423498345165012,0.8794730815846131,1,23.0,1,1,1.0435973368464133,1.0435973368464138
2016-07-23,air_746211c0b532e8aa,0,0,1,0,0,0,0,1.033507637588244,1.1335892714641387,0.0,1.528616365656103,0.794458414568396,1,61.0,1,1,1.3693234035418453,1.3693234035418458
2016-07-24,air_746211c0b532e8aa,0,0,0,1,0,0,0,1.2152061272335624,1.2224533644075808,0.0,0.5136713916156962,1.1345170826332653,1,91.0,1,1,-0.47182097107705606,-0.47182097107705556
2016-07-25,air_746211c0b532e8aa,0,1,0,0,0,0,0,1.2719869052477242,1.2113453527896505,0.0,0.6958410023408974,1.2089049162724554,1,25.0,1,1,-1.1352511686050002,-1.1352511686049995
2016-07-26,air_746211c0b532e8aa,0,0,0,0,0,1,0,1.2833430608505565,1.3224254689689523,0.0,1.0081317635840996,1.198278082895428,1,25.0,1,1,-0.3814059063003881,-0.38140590630038756
2016-07-27,air_746211c0b532e8aa,0,0,0,0,0,0,1,1.294699216453389,1.4112895619123937,0.0,1.5806648258633031,1.0707560823711022,1,17.0,1,1,-0.1715965893186329,-0.17159658931863242
2016-07-28,air_746211c0b532e8aa,0,0,0,0,1,0,0,1.3628361500703834,1.4335055851482543,0.0,1.1903013743093005,1.187651249518401,1,20.0,1,1,0.06062329927443316,0.060623299274433634
2016-07-29,air_746211c0b532e8aa,1,0,0,0,0,0,0,1.3741923056732157,1.3446414922048122,0.0,1.5806648258633031,1.240785416403537,1,38.0,1,1,1.297841407885078,1.2978414078850784
2016-07-30,air_746211c0b532e8aa,0,0,1,0,0,0,0,1.3855484612760482,1.3779655270586033,0.0,1.0081317635840996,1.4001879170589444,1,51.0,1,1,1.419940384250151,1.4199403842501512
2016-07-31,air_746211c0b532e8aa,0,0,0,1,0,0,0,1.3628361500703834,1.4001815502944632,0.0,1.8409071268993047,1.3045464166656997,1,105.0,1,1,-0.4254542711915853,-0.4254542711915848
2016-08-01,air_746211c0b532e8aa,0,1,0,0,0,0,0,1.3741923056732157,1.366857515440673,0.0,1.528616365656103,1.3151732500427271,1,21.0,1,1,-1.1916639867989898,-1.191663986798989
2016-08-02,air_746211c0b532e8aa,0,0,0,0,0,1,0,1.3401238388647183,1.3446414922048122,0.0,1.0341559936876996,1.3470537501738087,1,22.0,1,1,-0.8245942793723461,-0.8245942793723455
2016-08-03,air_746211c0b532e8aa,0,0,0,0,0,0,1,1.2719869052477242,1.2779934224972318,0.0,0.4876471615120961,1.2089049162724554,1,23.0,1,1,-0.35899533468907724,-0.35899533468907674
2016-08-04,air_746211c0b532e8aa,0,0,0,0,1,0,0,1.2719869052477242,1.2335613760255104,0.0,0.9040348431696987,1.2089049162724554,1,25.0,1,1,-0.22723662918119783,-0.2272366291811973
2016-08-05,air_746211c0b532e8aa,1,0,0,0,0,0,0,1.2719869052477242,1.2446693876434407,0.0,1.1642771442057005,1.187651249518401,1,17.0,1,1,0.8658583206187754,0.8658583206187758
