visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-03,air_2009041dbf9264de,0,0,0,1,0,0,0,-0.7216438944314418,-0.40853351305862684,1.0,0.7426969494364241,-0.9988150798576992,1,11.0,1,1,-1.6869301480458874,-1.6869301480458874
2016-01-04,air_2009041dbf9264de,0,1,0,0,0,0,0,-0.7343906586724174,-0.5353963308806795,0.0,0.890279783915051,-0.8284126696457026,1,16.0,1,1,-1.49187096608831,-1.49187096608831
2016-01-05,air_2009041dbf9264de,0,0,0,0,0,1,0,-0.5176956665758359,-0.5100237673162689,0.0,0.7672940885161952,-0.7432114645397043,1,6.0,1,1,-1.3634173584577105,-1.3634173584577105
2016-01-06,air_2009041dbf9264de,0,0,0,0,0,0,1,-0.7726309513953433,-1.0301613203866848,0.0,-1.2988655941845832,-0.49977944995113777,1,32.0,1,1,-1.3000669437782921,-1.3000669437782921
2016-01-07,air_2009041dbf9264de,0,0,0,0,1,0,0,-0.7981244798772943,-0.8271808118714006,0.0,-0.11820291835556714,-0.8162410689162742,1,20.0,1,1,-1.231708591179552,-1.231708591179552
2016-01-08,air_2009041dbf9264de,1,0,0,0,0,0,0,-1.0403130004558263,-1.080906447515506,0.0,0.8410855057555084,-0.986643479128271,1,29.0,1,1,-0.901435085400291,-0.901435085400291
2016-01-09,air_2009041dbf9264de,0,0,1,0,0,0,0,-0.9765791792509494,-0.9921024750400692,0.0,0.890279783915051,-1.023158281316556,1,35.0,1,1,-0.6465310453068205,-0.6465310453068205
2016-01-11,air_2009041dbf9264de,0,1,0,0,0,0,0,-1.0020727077329001,-1.1316515746443272,1.0,-0.4871600045521347,-0.9014422740222726,1,15.0,1,1,-1.2860447176041916,-1.2860447176041916
2016-01-12,air_2009041dbf9264de,0,0,0,0,0,1,0,-1.4737029846489889,-1.689847973061359,0.0,-1.2988655941845832,-1.2544186951756942,1,19.0,1,1,-1.3391288595490007,-1.3391288595490007
2016-01-13,air_2009041dbf9264de,0,0,0,0,0,0,1,-1.3589821064802108,-1.2331418289019693,0.0,0.8410855057555084,-1.4735075083054041,1,40.0,1,1,-1.1378097551922715,-1.1378097551922715
2016-01-14,air_2009041dbf9264de,0,0,0,0,1,0,0,-1.1422871143836293,-1.0174750386044797,0.0,0.9394740620745932,-1.3396199002816926,1,56.0,1,1,-1.046414888164652,-1.046414888164652
2016-01-15,air_2009041dbf9264de,1,0,0,0,0,0,0,-1.1932741713475308,-1.080906447515506,0.0,0.6935026712768815,-1.1205310871519825,1,57.0,1,1,-0.7739830653535558,-0.7739830653535558
2016-01-16,air_2009041dbf9264de,0,0,1,0,0,0,0,-1.0785532931787523,-0.9667299114756586,0.0,0.9394740620745932,-1.1448742886108392,1,54.0,1,1,-0.6285024687972627,-0.6285024687972627
