visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_d4d218b451f82c3d,1,0,0,0,0,0,0,1.072507928022263,1.1492763684141114,0.0,-0.16947373892031045,1.019203571279937,1,11.0,1,1,1.379164466153005,1.379164466153005
2016-07-02,air_d4d218b451f82c3d,0,0,1,0,0,0,0,1.234374774926131,1.2882054900773774,0.0,0.4984175585607746,1.1737890220281657,1,7.0,1,1,1.5375519711430548,1.5375519711430548
2016-07-03,air_d4d218b451f82c3d,0,0,0,1,0,0,0,1.4887369629179237,1.7049928550671754,0.0,0.6854271218554782,1.3062908369552195,1,2.0,1,1,-0.44001833637625265,-0.44001833637625265
2016-07-04,air_d4d218b451f82c3d,0,1,0,0,0,0,0,1.3268701160140557,1.5197540261828204,0.0,0.5518488623592612,1.1958726578493417,1,13.0,1,1,-1.2084629778112317,-1.2084629778112317
2016-07-05,air_d4d218b451f82c3d,0,0,0,0,0,1,0,0.6215931402186301,0.5704050281505026,0.0,-1.3449624224870202,0.820450848889357,1,31.0,1,1,-0.5442206422907592,-0.5442206422907592
2016-07-06,air_d4d218b451f82c3d,0,0,0,0,0,0,1,0.7834599871224984,0.7209115766190406,0.0,-0.24962069461804084,0.8535763026211204,1,20.0,1,1,-0.08648833121903594,-0.08648833121903594
2016-07-07,air_d4d218b451f82c3d,0,0,0,0,1,0,0,1.2806224454700932,1.8554994035357142,0.0,2.074641020616135,1.0081617533693492,1,18.0,1,1,-0.15317780700432013,-0.15317780700432013
2016-07-08,air_d4d218b451f82c3d,1,0,0,0,0,0,0,1.037822175114291,1.056656953971934,0.0,-0.7839337326029088,1.030245389190525,1,12.0,1,1,1.173791194132414,1.173791194132414
2016-07-09,air_d4d218b451f82c3d,0,0,1,0,0,0,0,0.702526563670564,0.4893630405135971,0.0,-1.3449624224870202,0.8314926667999449,1,1.0,1,1,1.476546257498562,1.476546257498562
2016-07-10,air_d4d218b451f82c3d,0,0,0,1,0,0,0,1.072507928022263,1.2303183560510165,0.0,1.7807688497244576,0.820450848889357,1,6.0,1,1,-0.2801151614819917,-0.2801151614819917
