visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Shizuoka-ken Shizuoka-shi Ōtemachi,total_area_visitors,total_genre_visitors
2016-07-01,air_629d9935273c82ae,1,0,0,0,0,0,0,0.886593280856802,0.782867842970847,0.0,-0.5967148111964607,1.00995270529522,1,24.0,1,1,1.3918298113931082,1.3918298113931082
2016-07-02,air_629d9935273c82ae,0,0,1,0,0,0,0,1.163156852804926,1.3861093726969047,0.0,0.34291444128054294,1.0864144156743902,1,47.0,1,1,1.5454846677107315,1.5454846677107315
2016-07-03,air_629d9935273c82ae,0,0,0,1,0,0,0,1.451744927881229,1.763135328775691,0.0,1.543551819445603,1.1628761260535603,1,11.0,1,1,-0.37299546415930745,-0.3729954641593078
2016-07-04,air_629d9935273c82ae,0,1,0,0,0,0,0,1.331499896599436,1.448947032043369,0.0,1.4130477566015747,1.151953024570822,1,16.0,1,1,-1.1184788340448102,-1.1184788340448106
2016-07-05,air_629d9935273c82ae,0,0,0,0,0,1,0,0.898617783984981,0.9713808210102401,0.0,-0.8055213117469059,0.8570292845368794,1,26.0,1,1,-0.47408418542090175,-0.4740841854209021
2016-07-06,air_629d9935273c82ae,0,0,0,0,0,0,1,0.8745687777286225,0.9336782254023613,0.0,0.7866282549502389,0.824259980088664,1,24.0,1,1,-0.030029002569971115,-0.03002900256997136
2016-07-07,air_629d9935273c82ae,0,0,0,0,1,0,0,1.1872058590612846,1.4992171595205412,0.0,1.4913501943079919,1.00995270529522,1,21.0,1,1,-0.09472578417739147,-0.09472578417739173
2016-07-08,air_629d9935273c82ae,1,0,0,0,0,0,0,0.92266679024134,0.6571925242779182,0.0,-1.5885456888110756,1.1410299230880832,1,29.0,1,1,1.1925931316702567,1.1925931316702567
2016-07-09,air_629d9935273c82ae,0,0,1,0,0,0,0,0.610029708908678,0.41840941876135374,0.0,-1.5885456888110756,0.6713365593303233,1,28.0,1,1,1.4863018163539437,1.4863018163539437
2016-07-10,air_629d9935273c82ae,0,0,0,1,0,0,0,0.9106422871131605,0.9462457572716545,0.0,0.08190631559248641,0.9444140963987883,1,17.0,1,1,-0.21787022644151546,-0.21787022644151574
2016-07-11,air_629d9935273c82ae,0,1,0,0,0,0,0,1.042911821523133,1.0467860122259975,0.0,1.1781404434823237,0.9444140963987883,1,14.0,1,1,-1.1673690156004177,-1.1673690156004182
2016-07-12,air_629d9935273c82ae,0,0,0,0,0,1,0,0.9948138090104155,0.9839483528795332,0.0,-1.0143278122973511,1.0864144156743902,1,20.0,1,1,-0.45938037141921534,-0.45938037141921567
2016-07-13,air_629d9935273c82ae,0,0,0,0,0,0,1,1.0549363246513122,0.870840566055897,0.0,-1.0143278122973511,1.1410299230880832,1,16.0,1,1,-0.38843446886107824,-0.3884344688610785
2016-07-14,air_629d9935273c82ae,0,0,0,0,1,0,0,1.3555489028557945,1.6123249463441771,0.0,1.3608461314639635,1.2174916334672534,1,30.0,1,1,-0.1766995472367934,-0.17669954723679368
2016-07-15,air_629d9935273c82ae,1,0,0,0,0,0,0,1.0549363246513122,0.9965158847488258,0.0,-0.4662107483524325,1.1737992275362992,1,23.0,1,1,0.9845341635463937,0.9845341635463936
2016-07-16,air_629d9935273c82ae,0,0,1,0,0,0,0,0.886593280856802,0.7200301836243825,0.0,-1.0404286248661567,1.042722009743436,1,47.0,1,1,1.4285893463973243,1.4285893463973243
2016-07-17,air_629d9935273c82ae,0,0,0,1,0,0,0,1.1391078465485671,0.9965158847488258,0.0,0.5517209418309879,1.151953024570822,1,30.0,1,1,0.5206288317931863,0.5206288317931861
2016-07-18,air_629d9935273c82ae,0,1,0,0,0,0,0,1.2954263872148981,1.2101639265268045,1.0,0.9693339429318787,1.3376457497773782,1,35.0,1,1,-0.9762194335784938,-0.9762194335784943
2016-07-19,air_629d9935273c82ae,0,0,0,0,0,1,0,1.2232793684458225,1.1975963946575119,0.0,0.2124103784365147,1.206568531984515,1,11.0,1,1,-0.8041848097587625,-0.8041848097587628
2016-07-20,air_629d9935273c82ae,0,0,0,0,0,0,1,1.1391078465485671,1.0970561397031688,0.0,0.02970469045487506,1.261184039398208,1,22.0,1,1,-0.33219238030462755,-0.3321923803046279
2016-07-21,air_629d9935273c82ae,0,0,0,0,1,0,0,1.0669608277794915,0.8959756297944826,0.0,-0.8055213117469059,1.1737992275362992,1,33.0,1,1,-0.11567871912979466,-0.11567871912979492
2016-07-22,air_629d9935273c82ae,1,0,0,0,0,0,0,0.8264707652159055,0.6320574605393325,0.0,-1.4841424385358528,0.9990296038124813,1,25.0,1,1,1.047025373053561,1.047025373053561
2016-07-23,air_629d9935273c82ae,0,0,1,0,0,0,0,0.8384952683440846,0.7451652473629683,0.0,-0.8316221243157116,0.9116447919505725,1,26.0,1,1,1.3569082531391028,1.3569082531391028
2016-07-24,air_629d9935273c82ae,0,0,0,1,0,0,0,0.886593280856802,0.7451652473629683,0.0,-0.36180749807720974,1.0208758067779584,1,41.0,1,1,-0.39468358981179497,-0.3946835898117953
2016-07-25,air_629d9935273c82ae,0,1,0,0,0,0,0,0.92266679024134,0.8457055023173113,0.0,0.10800712816129197,0.9444140963987883,1,19.0,1,1,-1.0258448058341856,-1.025844805834186
2016-07-26,air_629d9935273c82ae,0,0,0,0,0,1,0,0.7182502370622915,0.4938146099771107,0.0,-1.5885456888110756,0.824259980088664,1,22.0,1,1,-0.30866627790192924,-0.3086662779019296
