visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-03,air_bdd32aa407c16335,0,0,0,1,0,0,0,-0.6312533292676398,-0.6625584758125206,1.0,-0.8965751247979737,-0.5941892416330495,1,29.0,1,1,-1.7166247373981045,-1.7166247373981043
2016-01-04,air_bdd32aa407c16335,0,1,0,0,0,0,0,-0.7037807011809556,-0.5119205712555202,0.0,0.4033931069560006,-0.7240627214547096,1,17.0,1,1,-1.5101243512220741,-1.510124351222074
2016-01-05,air_bdd32aa407c16335,0,0,0,0,0,1,0,-0.8367475496887012,-0.9870093471660597,0.0,-1.2399629596009103,-0.6178026016006241,1,27.0,1,1,-1.3741362920329807,-1.3741362920329805
2016-01-06,air_bdd32aa407c16335,0,0,0,0,0,0,1,-0.8850991309642451,-1.0333594716451366,0.0,-1.2399629596009103,-0.7476760814222841,1,13.0,1,1,-1.307070056214578,-1.3070700562145778
2016-01-07,air_bdd32aa407c16335,0,0,0,0,1,0,0,-0.933450712239789,-1.2187599695614448,0.0,-1.141852149657214,-0.6059959216168368,1,18.0,1,1,-1.234702141675353,-1.2347021416753527
2016-01-08,air_bdd32aa407c16335,1,0,0,0,0,0,0,-1.1268570373419646,-1.4041604674777528,0.0,-1.2399629596009103,-0.8067094813412206,1,4.0,1,1,-0.885056430037119,-0.8850564300371188
2016-01-10,air_bdd32aa407c16335,0,0,0,1,0,0,0,-1.0785054560664207,-1.1608223139625986,0.0,-0.3079102651357967,-0.9601963211304552,1,10.0,1,1,-0.9139505790656007,-0.9139505790656006
2016-01-11,air_bdd32aa407c16335,0,1,0,0,0,0,0,-1.0301538747908767,-1.0217719405253676,1.0,-0.9946859347416699,-0.9956163610818172,1,16.0,1,1,-1.2922253557962755,-1.2922253557962753
2016-01-12,air_bdd32aa407c16335,0,0,0,0,0,1,0,-1.1268570373419646,-1.357810342998676,0.0,-1.141852149657214,-1.0074230410656044,1,4.0,1,1,-1.3484231502369923,-1.348423150236992
2016-01-13,air_bdd32aa407c16335,0,0,0,0,0,0,1,-1.3323512577630259,-1.5779734342742917,0.0,-0.9946859347416699,-1.1727165608386263,1,19.0,1,1,-1.1352956656599338,-1.1352956656599338
2016-01-14,air_bdd32aa407c16335,0,0,0,0,1,0,0,-1.2235601998930523,-1.4041604674777528,0.0,-0.8229920173402016,-1.1018764809359025,1,7.0,1,1,-1.038540029004926,-1.0385400290049258
2016-01-15,air_bdd32aa407c16335,1,0,0,0,0,0,0,-1.3323512577630259,-1.1492347828428293,0.0,0.9675302641322535,-1.3143967206440736,1,12.0,1,1,-0.7501287065921901,-0.75012870659219
