visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-08-04,air_6902e4ec305b3d08,0,0,0,0,1,0,0,1.6087280567377904,1.6902480372206168,0.0,0.8796175033521313,1.5132643908315142,1,29.0,1,1,-0.13448622203997224,-0.1344862220399722
2016-08-05,air_6902e4ec305b3d08,1,0,0,0,0,0,0,1.680391016356637,1.7386611931184026,0.0,1.5076097927203906,1.5358603457231577,1,17.0,1,1,0.8862422363468955,0.8862422363468955
2016-08-06,air_6902e4ec305b3d08,0,0,1,0,0,0,0,1.7281663227692017,1.835487504913975,0.0,0.9615295410958175,1.6714360750730166,1,34.0,1,1,0.6509948150431706,0.6509948150431706
2016-08-07,air_6902e4ec305b3d08,0,0,0,1,0,0,0,1.668447189753496,1.762867771067296,0.0,1.616825843045305,1.524562368277336,1,39.0,1,1,-0.5111707432686361,-0.511170743268636
2016-08-08,air_6902e4ec305b3d08,0,1,0,0,0,0,0,1.6565033631503547,1.7144546151695101,0.0,-0.1852389873157867,1.6149461878439086,1,32.0,1,1,-1.0170248608573207,-1.0170248608573205
2016-08-09,air_6902e4ec305b3d08,0,0,0,0,0,1,0,2.062593467657153,2.2591026190196017,0.0,0.7704014530272165,1.6601380976271949,1,26.0,1,1,-0.20881286128624116,-0.2088128612862411
2016-08-10,air_6902e4ec305b3d08,0,0,0,0,0,0,1,1.7281663227692017,1.8112809269650818,0.0,-0.10332694957210051,1.6940320299646596,1,34.0,1,1,0.7664536721247533,0.7664536721247533
2016-08-11,air_6902e4ec305b3d08,0,0,0,0,1,0,0,1.513177443912661,1.5813184364505988,1.0,-0.10332694957210051,1.603648210398087,1,41.0,1,1,0.46481740799911836,0.46481740799911836
2016-08-12,air_6902e4ec305b3d08,1,0,0,0,0,0,0,1.4415144842938141,1.5571118585017054,0.0,0.06049712591527138,1.4906684359398712,1,36.0,1,1,0.04447500643648105,0.04447500643648109
2016-08-13,air_6902e4ec305b3d08,0,0,1,0,0,0,0,1.417626831087532,1.545008569527259,1.0,0.5246653397961587,1.388986638927477,1,33.0,1,1,0.205756597422317,0.20575659742231703
2016-08-14,air_6902e4ec305b3d08,0,0,0,1,0,0,0,1.357907698071826,1.3755625238850082,1.0,-0.40367108796561596,1.4115825938191202,1,29.0,1,1,-0.8012611216861127,-0.8012611216861127
2016-08-15,air_6902e4ec305b3d08,0,1,0,0,0,0,0,1.4295706576906733,1.4239756797827943,1.0,-1.2500954779837044,1.5132643908315142,1,45.0,1,1,-1.3121665642721165,-1.3121665642721165
2016-08-16,air_6902e4ec305b3d08,0,0,0,0,0,1,0,1.4654021375000963,1.7023513261950636,0.0,-0.8678393018465032,1.4341785487107632,1,41.0,1,1,-1.1977901339756736,-1.1977901339756736
2016-08-17,air_6902e4ec305b3d08,0,0,0,0,0,0,1,1.680391016356637,1.8475907938884208,0.0,1.2891776920705613,1.3550927065900122,1,22.0,1,1,-0.7096156538776065,-0.7096156538776064
2016-08-18,air_6902e4ec305b3d08,0,0,0,0,1,0,0,1.4654021375000963,1.5208019915783664,0.0,-1.1408794276587897,1.603648210398087,1,34.0,1,1,-0.44189542901968637,-0.4418954290196863
2016-08-19,air_6902e4ec305b3d08,1,0,0,0,0,0,0,1.5490089237220845,1.6055250143994912,0.0,0.44275330205247276,1.581052255506444,1,35.0,1,1,0.8505221524372808,0.8505221524372808
2016-08-20,air_6902e4ec305b3d08,0,0,1,0,0,0,0,1.3220762182624026,1.3271493679872224,0.0,-1.0043593647526465,1.4793704584940497,1,19.0,1,1,0.7365065310692178,0.7365065310692178
