visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-16,air_68301bcb11e2f389,0,0,1,0,0,0,0,-1.0474744236026605,-1.0702023938376686,0.0,0.8527913718541009,-1.0752364182790506,1,33.0,1,1,-0.6499550566309312,-0.6499550566309312
2016-01-17,air_68301bcb11e2f389,0,0,0,1,0,0,0,-1.1794429627532328,-1.403008521782373,0.0,-0.2843052829243567,-1.0412480979877634,1,44.0,1,1,-1.2587885193529227,-1.2587885193529227
2016-01-18,air_68301bcb11e2f389,0,1,0,0,0,0,0,-1.5513543003593906,-1.6407271846000189,0.0,-1.0423697194433283,-1.1998602593471042,1,12.0,1,1,-1.5448761590993405,-1.5448761590993405
2016-01-19,air_68301bcb11e2f389,0,0,0,0,0,1,0,-1.3354057817493634,-1.4148944549232552,0.0,1.029673073708528,-1.2565074598325832,1,26.0,1,1,-1.30621344171232,-1.30621344171232
2016-01-20,air_68301bcb11e2f389,0,0,0,0,0,0,1,-1.4553771809771563,-1.4148944549232552,0.0,1.029673073708528,-1.4264490612890197,1,21.0,1,1,-1.1800887833294904,-1.1800887833294904
2016-01-21,air_68301bcb11e2f389,0,0,0,0,1,0,0,-1.2874172220582465,-1.3198069897961968,0.0,0.726447299100939,-1.4491079414832115,1,40.0,1,1,-1.05704033612673,-1.05704033612673
2016-01-22,air_68301bcb11e2f389,1,0,0,0,0,0,0,-1.2034372425987911,-1.2603773240917853,0.0,0.8780601864047333,-0.9732714574051886,1,29.0,1,1,-0.7460866560080878,-0.7460866560080878
2016-01-23,air_68301bcb11e2f389,0,0,1,0,0,0,0,-1.3713972015177014,-1.5812975188956073,0.0,-1.092907348544593,-1.0185892177935718,1,26.0,1,1,-0.6722575876864315,-0.6722575876864315
2016-01-24,air_68301bcb11e2f389,0,0,0,1,0,0,0,-1.4913686007454943,-1.367350722359726,0.0,0.9791354446072629,-1.5397434622599775,1,50.0,1,1,-1.3749154914005277,-1.3749154914005277
2016-01-25,air_68301bcb11e2f389,0,1,0,0,0,0,0,-1.599342860050508,-1.43866632120502,0.0,1.1307483319110572,-1.7096850637164143,1,27.0,1,1,-1.3997815317727522,-1.3997815317727522
2016-01-26,air_68301bcb11e2f389,0,0,0,0,0,1,0,-1.4913686007454943,-1.2247195246691382,0.0,0.8780601864047333,-1.619049542939648,1,9.0,1,1,-1.2257192491671807,-1.2257192491671807
2016-01-27,air_68301bcb11e2f389,0,0,0,0,0,0,1,-1.155448682907674,-0.7968259315973755,0.0,1.0549418882591601,-1.5170845820657861,1,34.0,1,1,-1.07293409389042,-1.07293409389042
