visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Taitō-ku Kuramae,total_area_visitors,total_genre_visitors
2016-01-04,air_95d28905941fd4cb,0,1,0,0,0,0,0,-0.7381566334282649,-0.5422863798857517,0.0,0.9073194033732908,-0.8317474869090001,1,22.0,1,1,-1.4935924683206436,-1.4935924683206432
2016-01-05,air_95d28905941fd4cb,0,0,0,0,0,1,0,-0.5244426458184881,-0.5173062201929499,0.0,0.7842614947780987,-0.7476948778352168,1,21.0,1,1,-1.3654767173127396,-1.3654767173127391
2016-01-06,air_95d28905941fd4cb,0,0,0,0,0,0,1,-0.7758708665358723,-1.029399493895385,0.0,-1.2831113696211291,-0.5075445661958354,1,33.0,1,1,-1.3022929258799913,-1.3022929258799911
2016-01-07,air_95d28905941fd4cb,0,0,0,0,1,0,0,-0.8010136886076109,-0.8295582163529712,0.0,-0.10175544710728478,-0.8197399713270311,1,20.0,1,1,-1.2341143683260776,-1.2341143683260771
2016-01-08,air_95d28905941fd4cb,1,0,0,0,0,0,0,-1.039870498289126,-1.0793598132809883,0.0,0.8580962399352137,-0.9878451894745982,1,18.0,1,1,-0.9047095426351895,-0.9047095426351892
2016-01-09,air_95d28905941fd4cb,0,0,1,0,0,0,0,-0.9770134431097798,-0.9919292543561825,0.0,0.9073194033732908,-1.0238677362205055,1,26.0,1,1,-0.6504759470678476,-0.6504759470678474
2016-01-11,air_95d28905941fd4cb,0,1,0,0,0,0,0,-1.0021562651815183,-1.1293201326665918,1.0,-0.4709291728928612,-0.9037925804008147,1,25.0,1,1,-1.2883075807407272,-1.2883075807407267
2016-01-12,air_95d28905941fd4cb,0,0,0,0,0,1,0,-1.4672984735086791,-1.6788836459082295,0.0,-1.2831113696211291,-1.2520105322779176,1,12.0,1,1,-1.3412521016250851,-1.3412521016250847
2016-01-13,air_95d28905941fd4cb,0,0,0,0,0,0,1,-1.3541557741858563,-1.2292407714377989,0.0,0.8580962399352137,-1.4681458127533609,1,30.0,1,1,-1.1404625035542177,-1.1404625035542175
2016-01-14,air_95d28905941fd4cb,0,0,0,0,1,0,0,-1.1404417865760796,-1.016909414048984,0.0,0.9565425668113675,-1.3360631413517012,1,23.0,1,1,-1.049308021842941,-1.0493080218429407
2016-01-15,air_95d28905941fd4cb,1,0,0,0,0,0,0,-1.1907274307195566,-1.0793598132809883,0.0,0.7104267496209832,-1.119927860876258,1,20.0,1,1,-0.7775927448515186,-0.7775927448515183
2016-01-16,air_95d28905941fd4cb,0,0,1,0,0,0,0,-1.0775847313967335,-0.9669490946633806,0.0,0.9565425668113675,-1.143942892040196,1,37.0,1,1,-0.6324947890316506,-0.6324947890316504
2016-01-18,air_95d28905941fd4cb,0,1,0,0,0,0,0,-1.5427269397238945,-1.6663935660618288,0.0,-0.9385492255545912,-1.3360631413517012,1,8.0,1,1,-1.5043312154811501,-1.50433121548115
2016-01-19,air_95d28905941fd4cb,0,0,0,0,0,1,0,-1.2535844858989025,-1.366631649748208,0.0,0.9565425668113675,-1.2520105322779176,1,18.0,1,1,-1.2718248525408797,-1.2718248525408793
2016-01-20,air_95d28905941fd4cb,0,0,0,0,0,0,1,-1.3792985962575948,-1.3041812505162038,0.0,0.9811541485304058,-1.4441307815894227,1,20.0,1,1,-1.1489536059601997,-1.1489536059601995
2016-01-21,air_95d28905941fd4cb,0,0,0,0,1,0,0,-1.2158702527912948,-1.2542209311306003,0.0,0.5381456775877145,-1.2400030166959486,1,26.0,1,1,-1.0290792190522193,-1.0290792190522189
