visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Ōsaka-fu Ōsaka-shi Nakanochō,total_area_visitors,total_genre_visitors
2016-01-03,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.6352465739992882,-0.48197298139339,1.0,0.45554300898757255,-0.6928876028536508,1,18.0,1,1,-1.7436558736195948,-1.7436558736195946
2016-01-04,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,-0.6002702425522555,-0.5922537922408847,0.0,0.42980504923126417,-0.750862118946925,1,18.0,1,1,-1.5430740952897957,-1.5430740952897954
2016-01-05,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-0.7401755683403869,-0.9561804680376171,0.0,-0.9343068178530854,-0.7160774092909605,1,17.0,1,1,-1.4109836559018794,-1.4109836559018791
2016-01-06,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-0.7518343454893978,-0.7797311706816257,0.0,-0.7541410995589262,-0.6233181835417216,1,16.0,1,1,-1.3458396380361037,-1.3458396380361035
2016-01-07,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-0.8684221169795072,-0.9561804680376171,0.0,-0.9343068178530854,-0.6812926996349958,1,8.0,1,1,-1.2755458954378558,-1.2755458954378558
2016-01-08,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-0.938374779873573,-1.1105736032241096,0.0,-0.960044777609394,-0.8900009575707832,1,22.0,1,1,-0.9359215493313028,-0.9359215493313027
2016-01-09,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-1.0433037742146716,-1.0995455221393602,0.0,0.9703022041137422,-1.1103041187252252,1,35.0,1,1,-0.6738005604484589,-0.6738005604484588
2016-01-10,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.9616923341715949,-1.0774893599698612,0.0,0.7129226065506574,-0.9943550865386767,1,20.0,1,1,-0.9639875491232772,-0.9639875491232771
2016-01-11,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,-0.9850098884696168,-1.000292792376615,1.0,-0.23938190443275653,-1.063924505850606,1,9.0,1,1,-1.331420408785181,-1.3314204087851809
2016-01-12,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.0666213285126935,-1.143657846478358,0.0,0.17242545166817932,-1.0755194090692608,1,1.0,1,1,-1.3860074909493882,-1.386007490949388
2016-01-13,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.2997968714929127,-1.2318824951563538,0.0,-0.5997133410210753,-1.1914684412558092,1,14.0,1,1,-1.1789885567039988,-1.1789885567039986
2016-01-14,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.171550322853792,-1.1767420897326064,0.0,0.043735652886636917,-1.214658247693119,1,14.0,1,1,-1.0850060803363781,-1.085006080336378
2016-01-15,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.183209100002803,-1.1877701708173558,0.0,0.7386605663069657,-1.1798735380371543,1,30.0,1,1,-0.8048610548898808,-0.8048610548898807
2016-01-16,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-1.2181854314498357,-1.121601684308859,0.0,0.45554300898757255,-1.2262531509117736,1,30.0,1,1,-0.6552615514115584,-0.6552615514115583
2016-01-17,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-1.183209100002803,-1.1987982519021052,0.0,-0.44528558248322436,-1.295822570223703,1,18.0,1,1,-1.2667913633926529,-1.2667913633926526
2016-01-18,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,-0.9150572255755511,-1.0333770356308634,0.0,-1.4233280532229466,-0.8900009575707832,1,1.0,1,1,-1.5541460034646113,-1.554146003464611
2016-01-19,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.5562899687711533,-1.6730057385463324,0.0,-0.36807170321429894,-1.3885817959729416,1,14.0,1,1,-1.3144263171680224,-1.3144263171680222
2016-01-20,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.4513609744300549,-1.496556441190341,0.0,-1.062996616634628,-1.3885817959729416,1,20.0,1,1,-1.187743088749202,-1.1877430887492018
2016-01-21,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.3347732029399453,-1.3862756303428463,0.0,-0.44528558248322436,-1.295822570223703,1,13.0,1,1,-1.064149695169865,-1.0641496951698648
2016-01-22,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.3231144257909344,-1.2098263329868548,0.0,0.32685321020603014,-1.1914684412558092,1,18.0,1,1,-0.7518188901454154,-0.7518188901454153
2016-01-23,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-1.404725865834011,-1.5296406844445891,0.0,-1.3461141739540212,-1.2610378605677381,1,33.0,1,1,-0.6776628539978132,-0.6776628539978131
2016-01-24,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-1.894394506092471,-1.92665160349557,0.0,0.37832912971864713,-1.7596186989698968,1,12.0,1,1,-1.3834326285831522,-1.383432628583152
2016-01-26,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.3347732029399453,-1.3531913870885979,0.0,0.37832912971864713,-1.4001766991915965,1,13.0,1,1,-1.233575638868206,-1.2335756388682058
2016-01-27,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-0.9616923341715949,-1.0664612788851118,0.0,0.40406708947495557,-0.7972417318215443,1,23.0,1,1,-1.0801138418405292,-1.0801138418405292
2016-01-28,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-0.9733511113206058,-0.9341243058681182,0.0,-0.5997133410210753,-1.1914684412558092,1,16.0,1,1,-1.0857785390462489,-1.0857785390462487
2016-01-29,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.0199862199166496,-1.3090790627495998,0.0,-1.4748039727355637,-0.7044825060723056,1,25.0,1,1,-0.9410712740637751,-0.941071274063775
2016-01-30,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-0.9733511113206058,-1.121601684308859,0.0,-1.1144725361472447,-0.7276723125096153,1,37.0,1,1,-0.635950083664787,-0.6359500836647869
2016-01-31,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.938374779873573,-1.000292792376615,0.0,0.8930883248448166,-0.9131907640080928,1,18.0,1,1,-1.1975275657408995,-1.1975275657408992
2016-02-02,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.194867877151814,-1.165714008647857,0.0,0.0952115723992537,-1.0523296026319509,1,7.0,1,1,-1.305156812649572,-1.3051568126495718
2016-02-03,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.3464319800889561,-1.2318824951563538,0.0,-0.419547622726916,-1.295822570223703,1,13.0,1,1,-1.2294558590822282,-1.229455859082228
2016-02-04,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.241502985747858,-1.1546859275631076,0.0,0.687184646794349,-1.434961408847561,1,12.0,1,1,-1.1913478960619326,-1.1913478960619324
2016-02-05,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.1132564371087372,-1.0774893599698612,0.0,0.8673503650885082,-1.1334939251625349,1,27.0,1,1,-0.812843128225213,-0.8128431282252129
2016-02-06,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-1.183209100002803,-1.1767420897326064,0.0,-0.18790598492013952,-1.1218990219438802,1,37.0,1,1,-0.5870276987062993,-0.5870276987062993
2016-02-07,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-1.3697495343869783,-1.3421633060038485,0.0,0.17242545166817932,-1.2494429573490835,1,11.0,1,1,-1.2049946666029843,-1.2049946666029843
2016-02-08,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,-1.2764793171948905,-1.044405116715613,0.0,1.1762058821642103,-1.5393155378154546,1,1.0,1,1,-1.4030015825665472,-1.403001582566547
2016-02-09,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-0.9616923341715949,-1.0113208734613643,0.0,-0.08495414589490549,-0.9479754736640574,1,17.0,1,1,-1.1825933640167294,-1.1825933640167294
2016-02-10,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.194867877151814,-1.2318824951563538,0.0,0.40406708947495557,-1.0291397961946414,1,39.0,1,1,-0.8548133847948629,-0.8548133847948627
2016-02-11,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.0899388828107153,-0.834871576105373,1.0,1.1504679224079013,-1.3306072798796673,1,17.0,1,1,-0.928969420942465,-0.9289694209424649
2016-02-12,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-0.6585641282973103,-0.41580449488489346,0.0,0.32685321020603014,-0.8436213446961638,1,11.0,1,1,-0.8720649626486453,-0.8720649626486452
2016-02-13,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-0.34377714527401443,-0.2834675218678996,0.0,-1.1402104959035535,-0.22909147410745673,1,27.0,1,1,-0.6799802301274258,-0.6799802301274256
2016-02-14,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.09894282514478452,-0.04084973800341142,0.0,-0.5482374215084582,-0.24068637732611176,1,18.0,1,1,-1.222761216930014,-1.222761216930014
2016-02-16,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.3114556486419235,-1.3642194681733473,0.0,0.9960401638700506,-1.1914684412558092,1,10.0,1,1,-1.2441325745697744,-1.2441325745697742
2016-02-17,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.241502985747858,-1.2208544140716042,0.0,-0.2136439446764479,-1.1682786348184995,1,22.0,1,1,-1.0731617134516915,-1.0731617134516913
2016-02-18,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.194867877151814,-1.0113208734613643,0.0,1.227681801676827,-1.3769868927542868,1,32.0,1,1,-1.082946190443389,-1.082946190443389
2016-02-19,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-0.7751518997874198,-0.6804784409188804,0.0,0.6099707675254233,-1.0407346994132962,1,29.0,1,1,-0.7600584497173711,-0.760058449717371
2016-02-20,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-0.8684221169795072,-1.1767420897326064,0.0,-1.4748039727355637,-0.530558957792483,1,24.0,1,1,-0.7945616054249361,-0.7945616054249359
2016-02-21,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.9733511113206058,-0.9782366302071159,0.0,0.3525911699623385,-0.9131907640080928,1,24.0,1,1,-1.1676591622925596,-1.1676591622925594
2016-02-22,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,-1.14823276855577,-1.3090790627495998,0.0,-1.2689002946850958,-1.1218990219438802,1,1.0,1,1,-1.3934745918114733,-1.393474591811473
2016-02-23,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-0.9500335570225841,-1.1987982519021052,0.0,-1.0887345763909364,-0.7624570221655798,1,7.0,1,1,-1.1746112906813972,-1.1746112906813972
2016-02-24,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.2531617628968688,-1.287022900580101,0.0,-0.2136439446764479,-1.1450888283811897,1,25.0,1,1,-1.1300661717455114,-1.1300661717455112
2016-02-25,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.3464319800889561,-1.287022900580101,0.0,1.2019438419205186,-1.272632763786393,1,11.0,1,1,-1.0244968147298277,-1.0244968147298275
2016-02-26,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.2881380943439014,-1.2208544140716042,0.0,0.6357087272817318,-1.295822570223703,1,41.0,1,1,-0.6094290012925542,-0.6094290012925541
2016-02-27,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-0.9733511113206058,-0.7466469274273773,0.0,0.0952115723992537,-1.2262531509117736,1,25.0,1,1,-0.43923059888434224,-0.4392305988843421
2016-02-28,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,-0.6818816825953321,-0.5371133868171374,0.0,1.0732540431389763,-0.8320264414775089,1,10.0,1,1,-1.0299040256989236,-1.0299040256989234
2016-03-01,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-1.5213136373241205,-1.474500279020842,0.0,0.24963933093710472,-1.3885817959729416,1,11.0,1,1,-1.2346055838147005,-1.2346055838147003
2016-03-02,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-1.1365739914067592,-1.0554331978003624,0.0,1.3306336407020611,-1.365391989535632,1,15.0,1,1,-1.1030301169000314,-1.1030301169000312
2016-03-03,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-0.8684221169795072,-0.6915065220036299,0.0,1.3306336407020611,-1.1798735380371543,1,8.0,1,1,-1.12002420851719,-1.12002420851719
2016-03-04,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-0.4953412482111569,-0.27243944078315036,0.0,1.021778123626359,-0.8204315382588541,1,42.0,1,1,-0.7422918993903415,-0.7422918993903413
2016-03-05,air_4cab15ad29c0ffbc,0,0,1,0,0,0,0,-0.0872840479957736,-0.04084973800341142,0.0,0.45554300898757255,-0.1827118612328375,1,45.0,1,1,-0.5162189836348042,-0.5162189836348041
2016-03-06,air_4cab15ad29c0ffbc,0,0,0,1,0,0,0,0.029303723494336114,0.014290667420335908,0.0,-0.5739753812647668,-0.26387618376342137,1,16.0,1,1,-1.1589046302473567,-1.1589046302473565
2016-03-07,air_4cab15ad29c0ffbc,0,1,0,0,0,0,0,0.09925638638840158,0.014290667420335908,0.0,-0.9343068178530854,0.22310975142008216,1,1.0,1,1,-1.4508940225785403,-1.45089402257854
2016-03-08,air_4cab15ad29c0ffbc,0,0,0,0,0,1,0,-0.15723671088983926,-0.05187781908816104,0.0,-0.23938190443275653,-0.11314244192090826,1,19.0,1,1,-1.11075470399874,-1.1107547039987398
2016-03-09,air_4cab15ad29c0ffbc,0,0,0,0,0,0,1,-0.8567633398304964,-0.8679558193596213,0.0,-1.4748039727355637,-0.6812926996349958,1,25.0,1,1,-1.1578746853008621,-1.157874685300862
2016-03-10,air_4cab15ad29c0ffbc,0,0,0,0,1,0,0,-1.0433037742146716,-1.1326297653936086,0.0,-0.8828308983404686,-0.8320264414775089,1,28.0,1,1,-1.0355687229046433,-1.035568722904643
2016-03-11,air_4cab15ad29c0ffbc,1,0,0,0,0,0,0,-1.0782801056617044,-0.9341243058681182,0.0,0.017997693130328295,-0.982760183320022,1,26.0,1,1,-0.6918245970121122,-0.6918245970121121
