visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hyōgo-ken Himeji-shi Yasuda,total_area_visitors,total_genre_visitors
2016-07-01,air_6ca1d941c8199a67,1,0,0,0,0,0,0,0.973576634491002,0.920518918419984,0.0,0.3571184250750194,0.9783821882299883,1,45.0,1,1,1.4014149067813249,1.4014149067813242
2016-07-02,air_6ca1d941c8199a67,0,0,1,0,0,0,0,1.1860635983680063,1.204286132095005,0.0,1.0559862342272517,1.1117010788396016,1,33.0,1,1,1.5602938372184145,1.5602938372184139
2016-07-03,air_6ca1d941c8199a67,0,0,0,1,0,0,0,1.3029314285003586,1.2915991209180877,0.0,0.6087108363698231,1.378338860058828,1,31.0,1,1,-0.42341223443510617,-0.4234122344351068
2016-07-04,air_6ca1d941c8199a67,0,1,0,0,0,0,0,1.2073122947557067,1.204286132095005,0.0,0.07757130141412649,1.286041166559865,1,18.0,1,1,-1.1942411122495036,-1.1942411122495042
2016-07-05,air_6ca1d941c8199a67,0,0,0,0,0,1,0,1.3454288212757597,1.4116544805498275,0.0,1.167805083691609,1.286041166559865,1,31.0,1,1,-0.5279378465647705,-0.5279378465647712
2016-07-06,air_6ca1d941c8199a67,0,0,0,0,0,0,1,1.2923070803065084,1.1933720084921193,0.0,1.1118956589594304,1.4296153564471408,1,20.0,1,1,-0.06878533946428131,-0.06878533946428195
2016-07-07,air_6ca1d941c8199a67,0,0,0,0,1,0,0,1.324180124888059,1.3025132445209733,0.0,1.475306919718591,1.2962964658375276,1,23.0,1,1,-0.13568173122726648,-0.13568173122726712
2016-07-08,air_6ca1d941c8199a67,1,0,0,0,0,0,0,0.9098305453279005,0.6367517047449637,0.0,-1.4878925910868737,1.080935181006614,1,41.0,1,1,1.1954044276021318,1.1954044276021312
2016-07-09,air_6ca1d941c8199a67,0,0,1,0,0,0,0,0.8460844561647991,0.7677211879795884,0.0,-1.2922096045242486,1.0296586846183011,1,47.0,1,1,1.499098842480684,1.4990988424806833
2016-07-10,air_6ca1d941c8199a67,0,0,0,1,0,0,0,1.1435662055926052,1.0842307724632652,0.0,0.9721220971289841,1.1219563781172643,1,30.0,1,1,-0.2630129314579485,-0.26301293145794913
2016-07-11,air_6ca1d941c8199a67,0,1,0,0,0,0,0,1.1860635983680063,1.182457884889234,0.0,-0.2019758222467664,1.22450937089389,1,14.0,1,1,-1.2447934992067595,-1.24479349920676
2016-07-12,air_6ca1d941c8199a67,0,0,0,0,0,1,0,1.1541905537864556,0.9532612892286403,0.0,-1.2922096045242486,1.3168070643928527,1,8.0,1,1,-0.512734121164092,-0.5127341211640927
2016-07-13,air_6ca1d941c8199a67,0,0,0,0,0,0,1,1.0904444646233542,0.7568070643767029,0.0,-1.320164316890338,1.3065517651151903,1,25.0,1,1,-0.43937614610581854,-0.43937614610581915
2016-07-14,air_6ca1d941c8199a67,0,0,0,0,1,0,0,1.0054496790725524,1.1388013904776921,0.0,0.24529957561066237,1.1219563781172643,1,31.0,1,1,-0.22044250033604884,-0.22044250033604948
2016-07-15,air_6ca1d941c8199a67,1,0,0,0,0,0,0,0.8142114115832487,0.8332059295969011,0.0,-0.4256135211754807,0.8963397940086881,1,33.0,1,1,0.9802717131825317,0.980271713182531
