visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-11-27,air_7420042ff75f9aca,0,0,0,1,0,0,0,2.620228972046478,1.0536902883655512,0.0,-1.4679038860932552,3.5188099083796107,1,1.0,1,1,-0.5071084232979948,-0.5071084232979949
2017-01-23,air_7420042ff75f9aca,0,1,0,0,0,0,0,-1.763686858716164,-2.0076936998753236,0.0,-1.1392807388765582,-0.8631902623144805,1,33.0,1,1,-1.3632239184797772,-1.3632239184797772
2017-01-24,air_7420042ff75f9aca,0,0,0,0,0,1,0,-1.5353579091972764,-1.3068949555792198,0.0,-0.5417841075734731,-0.7367864112367665,1,27.0,1,1,-0.7071667439736333,-0.7071667439736333
2017-01-25,air_7420042ff75f9aca,0,0,0,0,0,0,1,-1.2613631697746115,-0.9011693667762123,0.0,0.0855873552947663,-1.1581325814958137,1,20.0,1,1,-0.3256775067820992,-0.3256775067820993
2017-01-26,air_7420042ff75f9aca,0,0,0,0,1,0,0,-0.8960368505443913,-0.2741389113533824,0.0,1.5195792704221707,-1.5373441347289563,1,44.0,1,1,-0.19156019683195055,-0.19156019683195058
2017-01-27,air_7420042ff75f9aca,1,0,0,0,0,0,0,0.5196026364727121,1.1274585772388257,0.0,0.055712523729611885,-0.5261133261072428,1,40.0,1,1,1.208102951731129,1.2081029517311288
2017-01-28,air_7420042ff75f9aca,0,0,1,0,0,0,0,0.793597375895377,0.9430378550556405,0.0,1.4000799441615535,0.44298286548856575,1,35.0,1,1,1.9360619062938804,1.9360619062938804
2017-01-29,air_7420042ff75f9aca,0,0,0,1,0,0,0,0.4739368465689343,0.4266598329427217,0.0,-0.6612834338340902,0.19017516333313736,1,31.0,1,1,-0.1297172150216042,-0.12971721502160424
2017-01-30,air_7420042ff75f9aca,0,1,0,0,0,0,0,1.2959210648369295,1.4594158771685586,0.0,-0.4820344444431647,0.8221944187217082,1,20.0,1,1,-1.2719496380970372,-1.2719496380970372
2017-01-31,air_7420042ff75f9aca,0,0,0,0,0,1,0,-0.8503710606406135,-1.0118218000861234,0.0,-0.21316096035677626,-0.27330562395181446,1,14.0,1,1,-0.6799707339004087,-0.6799707339004087
2017-02-01,air_7420042ff75f9aca,0,0,0,0,0,0,1,-0.8503710606406135,-1.0118218000861234,0.0,-0.27291062348708484,-0.7789210282626712,1,24.0,1,1,-0.5045005867156308,-0.5045005867156308
2017-02-02,air_7420042ff75f9aca,0,0,0,0,1,0,0,-0.2110500019877285,-0.8274010779029382,0.0,-0.7807827600947073,-0.10476715584819558,1,36.0,1,1,-0.5164221253778662,-0.5164221253778662
2017-02-03,air_7420042ff75f9aca,1,0,0,0,0,0,0,0.7022657960878219,0.6110805551259069,0.0,0.025837692164457738,0.8643290357476132,1,39.0,1,1,0.7383198188224137,0.7383198188224136
2017-02-04,air_7420042ff75f9aca,0,0,1,0,0,0,0,0.5196026364727121,0.832385421745729,0.0,1.4897044388570164,-0.3154402409777192,1,27.0,1,1,1.7620819514418822,1.762081951441882
2017-02-05,air_7420042ff75f9aca,0,0,0,1,0,0,0,0.3369394768576018,-0.20037062248010856,0.0,-1.4679038860932552,1.1171367379030415,1,26.0,1,1,-0.6132846270085293,-0.6132846270085293
2017-02-06,air_7420042ff75f9aca,0,1,0,0,0,0,0,0.5652684263764894,0.27912325519617337,0.0,-0.03391197096585083,0.400848248462661,1,21.0,1,1,-1.3136750234148613,-1.3136750234148613
