visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Toshima-ku Mejiro,total_area_visitors,total_genre_visitors
2016-07-01,air_7d65049f9d275c0d,1,0,0,0,0,0,0,1.0713607383453687,1.1408588292898036,0.0,-0.1797707992205654,1.0209138422123516,1,14.0,1,1,1.277118778952359,1.2771187789523584
2016-07-02,air_7d65049f9d275c0d,0,0,1,0,0,0,0,1.2325075601460769,1.279006738092694,0.0,0.48361698379125406,1.1747543100080267,1,25.0,1,1,1.4321789836300787,1.4321789836300782
2016-07-04,air_7d65049f9d275c0d,0,1,0,0,0,0,0,1.3245914583179104,1.5092532527641775,0.0,0.5366880064321994,1.1967315196931234,1,13.0,1,1,-1.2561494931628272,-1.2561494931628276
2016-07-05,air_7d65049f9d275c0d,0,0,0,0,0,1,0,0.6224517347576808,0.565242542611094,0.0,-1.3473332973213676,0.8231189550464835,1,3.0,1,1,-0.605861122827797,-0.6058611228277974
2016-07-06,air_7d65049f9d275c0d,0,0,0,0,0,0,1,0.7835985565583894,0.7149027771475581,0.0,-0.2593773331819839,0.8560847695741283,1,13.0,1,1,-0.15774455045773625,-0.15774455045773664
2016-07-07,air_7d65049f9d275c0d,0,0,0,0,1,0,0,1.2785495092319934,1.8431106990378299,0.0,2.049212151699148,1.0099252373698033,1,2.0,1,1,-0.22303305769046033,-0.22303305769046072
2016-07-08,air_7d65049f9d275c0d,1,0,0,0,0,0,0,1.036829276530931,1.0487602234212101,0.0,-0.7900875595914394,1.0319024470549,1,11.0,1,1,1.0760598532697654,1.076059853269765
2016-07-09,air_7d65049f9d275c0d,0,0,1,0,0,0,0,0.7030251456580349,0.48465626247607424,0.0,-1.3473332973213676,0.8341075598890318,1,1.0,1,1,1.3724548378092345,1.372454837809234
2016-07-11,air_7d65049f9d275c0d,0,1,0,0,0,0,0,1.3476124328608685,1.4747162755634553,0.0,1.9696056177377295,1.0538796567399964,1,7.0,1,1,-1.3054868310148289,-1.3054868310148293
2016-07-12,air_7d65049f9d275c0d,0,0,0,0,0,1,0,1.2440180474175562,1.279006738092694,0.0,0.3244039158684172,1.3066175681186059,1,5.0,1,1,-0.5910228257294506,-0.591022825729451
2016-07-13,air_7d65049f9d275c0d,0,0,0,0,0,0,1,1.013808301987973,0.7954890572825779,0.0,-1.3473332973213676,1.1857429148505751,1,12.0,1,1,-0.5194280422299293,-0.5194280422299297
2016-07-14,air_7d65049f9d275c0d,0,0,0,0,1,0,0,1.1058922001598057,1.40564232116201,0.0,-0.3124483558229294,0.9439936083145142,1,15.0,1,1,-0.3057565640137414,-0.3057565640137418
2016-07-15,air_7d65049f9d275c0d,1,0,0,0,0,0,0,0.6800041711150767,0.38104533087390663,0.0,-1.3473332973213676,0.9110277937868694,1,4.0,1,1,0.8660979493281642,0.8660979493281638
2016-07-16,air_7d65049f9d275c0d,0,0,1,0,0,0,0,0.8987034292731811,0.8070013830161519,0.0,-0.9227651161938033,0.8121303502039354,1,6.0,1,1,1.3142145216982248,1.3142145216982244
2016-07-19,air_7d65049f9d275c0d,0,0,0,0,0,1,0,1.2670390219605143,1.3365683667605646,0.0,0.29786840454794455,1.2077201245356715,1,1.0,1,1,-0.9389808926856733,-0.9389808926856736
2016-07-20,air_7d65049f9d275c0d,0,0,0,0,0,0,1,1.1519341492457227,1.060272549154784,0.0,-0.12669977657962003,1.1637657051654786,1,11.0,1,1,-0.4626715558287544,-0.4626715558287548
2016-07-21,air_7d65049f9d275c0d,0,0,0,0,1,0,0,0.6339622220291602,0.4155823080746293,0.0,-1.3473332973213676,0.900039188944321,1,4.0,1,1,-0.24417763105560392,-0.2441776310556043
2016-07-22,air_7d65049f9d275c0d,1,0,0,0,0,0,0,0.5879202729432432,0.231385096337442,0.0,-1.3473332973213676,0.8450961647315799,1,7.0,1,1,0.9291607119961363,0.9291607119961358
2016-07-23,air_7d65049f9d275c0d,0,0,1,0,0,0,0,0.7030251456580349,0.7379274286147068,0.0,-0.9758361388347488,0.7791645356762907,1,3.0,1,1,1.2418778233437864,1.2418778233437857
2016-07-25,air_7d65049f9d275c0d,0,1,0,0,0,0,0,0.9677663529020559,0.8300260344833001,0.0,-1.1350492067575855,0.9220163986294178,1,7.0,1,1,-1.162668221443245,-1.1626682214432453
