visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-01-04,air_a38f25e3399d1b25,0,1,0,0,0,0,0,-0.7449235512878807,-0.5500143826069919,0.0,0.9077713789576156,-0.8396691482921562,1,19.0,1,1,-1.5132863926178253,-1.5132863926178253
2016-01-05,air_a38f25e3399d1b25,0,0,0,0,0,1,0,-0.5315634874918449,-0.5250372660462267,0.0,0.7834523645369388,-0.7557051590374791,1,27.0,1,1,-1.3823361899080966,-1.3823361899080966
2016-01-06,air_a38f25e3399d1b25,0,0,0,0,0,0,1,-0.7825753272518868,-1.037068155541909,0.0,-1.305107077730433,-0.5158080468812588,1,25.0,1,1,-1.3177545109888735,-1.3177545109888735
2016-01-07,air_a38f25e3399d1b25,0,0,0,0,1,0,0,-0.8076765112278912,-0.8372512230557891,0.0,-0.11164453929193498,-0.8276742926843452,1,55.0,1,1,-1.2480675610088425,-1.2480675610088425
2016-01-08,air_a38f25e3399d1b25,1,0,0,0,0,0,0,-1.046137758999931,-1.087022388663439,0.0,0.8580437731893447,-0.9956022711936995,1,63.0,1,1,-0.911374934548546,-0.911374934548546
2016-01-09,air_a38f25e3399d1b25,0,0,1,0,0,0,0,-0.9833847990599205,-0.9996024807007616,0.0,0.9077713789576156,-1.0315868380171327,1,17.0,1,1,-0.6515166375534118,-0.6515166375534118
2016-01-10,air_a38f25e3399d1b25,0,0,0,1,0,0,0,-0.9080812471319077,-0.8372512230557891,0.0,0.9574989847258862,-1.0795662604483764,1,13.0,1,1,-0.9391986618299504,-0.9391986618299504
2016-01-12,air_a38f25e3399d1b25,0,0,0,0,0,1,0,-1.4728578865920021,-1.686473186121799,0.0,-1.305107077730433,-1.259489094565542,1,30.0,1,1,-1.357575625263177,-1.357575625263177
2016-01-13,air_a38f25e3399d1b25,0,0,0,0,0,0,1,-1.3599025586999836,-1.236885088028029,0.0,0.8580437731893447,-1.4753964955061403,1,41.0,1,1,-1.15234372861869,-1.15234372861869
2016-01-14,air_a38f25e3399d1b25,0,0,0,0,1,0,0,-1.1465424949039478,-1.0245795972615266,0.0,0.9574989847258862,-1.343453083820219,1,60.0,1,1,-1.0591725317589415,-1.0591725317589415
2016-01-15,air_a38f25e3399d1b25,1,0,0,0,0,0,0,-1.196744862855956,-1.087022388663439,0.0,0.7088609558845325,-1.1275456828796206,1,56.0,1,1,-0.7814457860509789,-0.7814457860509789
2016-01-16,air_a38f25e3399d1b25,0,0,1,0,0,0,0,-1.0837895349639373,-0.9746253641399966,0.0,0.9574989847258862,-1.1515353940952426,1,4.0,1,1,-0.6331376617345026,-0.6331376617345026
2016-01-17,air_a38f25e3399d1b25,0,0,0,1,0,0,0,-1.171643678879952,-1.3742592291122366,0.0,-0.5343291883222363,-1.0915611160561878,1,27.0,1,1,-1.2393886002054688,-1.2393886002054688
2016-01-18,air_a38f25e3399d1b25,0,1,0,0,0,0,0,-1.548161438520015,-1.6739846278414166,0.0,-0.9570138373525378,-1.343453083820219,1,17.0,1,1,-1.5242627253985628,-1.5242627253985628
2016-01-19,air_a38f25e3399d1b25,0,0,0,0,0,1,0,-1.2594978227959666,-1.3742592291122366,0.0,0.9574989847258862,-1.259489094565542,1,32.0,1,1,-1.286612357517944,-1.286612357517944
2016-01-20,air_a38f25e3399d1b25,0,0,0,0,0,0,1,-1.3850037426759876,-1.311816437710324,0.0,0.9823627876100215,-1.451406784290518,1,44.0,1,1,-1.1610226894220639,-1.1610226894220639
2016-01-21,air_a38f25e3399d1b25,0,0,0,0,1,0,0,-1.2218460468319603,-1.261862204588794,0.0,0.534814335695585,-1.2474942389577308,1,82.0,1,1,-1.0384961839626685,-1.0384961839626685
