visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Musashino-shi Kichijōji Honchō,total_area_visitors,total_genre_visitors
2016-07-01,air_0647f17b4dc041c8,1,0,0,0,0,0,0,1.1339353995586712,1.2687724624138226,0.0,-0.6281411835099602,1.0502780001523768,1,31.0,1,1,1.3640942626556698,1.3640942626556698
2016-07-02,air_0647f17b4dc041c8,0,0,1,0,0,0,0,1.255987323890193,1.3916492897993737,0.0,-0.1153399161788394,1.195486302684522,1,57.0,1,1,1.5161480756241985,1.5161480756241985
2016-07-03,air_0647f17b4dc041c8,0,0,0,1,0,0,0,1.6221430968847594,1.8608153579987505,0.0,0.3704718107664328,1.2992065187789117,1,45.0,1,1,-0.38234199586563655,-0.3823419958656365
2016-07-04,air_0647f17b4dc041c8,0,1,0,0,0,0,0,1.4002305071910828,1.6150617032276486,0.0,0.2895031896088875,1.3095785403883506,1,25.0,1,1,-1.1200576243349574,-1.1200576243349574
2016-07-06,air_0647f17b4dc041c8,0,0,0,0,0,0,1,0.889831550895627,0.888971359585755,0.0,-0.8980365873684448,0.8946976760107924,1,26.0,1,1,-0.04294915495741351,-0.04294915495741347
2016-07-07,air_0647f17b4dc041c8,0,0,0,0,1,0,0,1.3447523597676638,1.950180323370061,0.0,1.3960743454286744,1.0502780001523768,1,23.0,1,1,-0.10697181304942557,-0.10697181304942553
2016-07-08,air_0647f17b4dc041c8,1,0,0,0,0,0,0,1.1006485111046196,1.1682368763710986,0.0,-0.8170679662108994,1.0710220433712545,1,20.0,1,1,1.1669335769404963,1.1669335769404963
2016-07-09,air_0647f17b4dc041c8,0,0,1,0,0,0,0,0.7677796265641047,0.4868290154148605,0.0,-1.383848314313717,0.9154417192296702,1,57.0,1,1,1.4575818940741192,1.4575818940741192
2016-07-10,air_0647f17b4dc041c8,0,0,0,1,0,0,0,1.1783179174974063,1.3916492897993737,0.0,1.6389802089013101,0.8843256544013532,1,56.0,1,1,-0.2288331224859258,-0.22883312248592577
2016-07-11,air_0647f17b4dc041c8,0,1,0,0,0,0,0,1.3891348777063992,1.6262323238990617,0.0,1.3690848050428257,1.1436261946373272,1,21.0,1,1,-1.168438383006762,-1.168438383006762
2016-07-13,air_0647f17b4dc041c8,0,0,0,0,0,0,1,1.1006485111046196,0.8107770148858588,0.0,-1.383848314313717,1.2680904539505946,1,31.0,1,1,-0.39762013018304854,-0.3976201301830485
2016-07-14,air_0647f17b4dc041c8,0,0,0,0,1,0,0,1.1228397700739872,1.5368673585277521,0.0,-0.22329807772223334,1.0502780001523768,1,27.0,1,1,-0.18809143097282724,-0.18809143097282718
2016-07-15,air_0647f17b4dc041c8,1,0,0,0,0,0,0,0.7566839970794208,0.3862934293721366,0.0,-1.383848314313717,1.0399059785429376,1,25.0,1,1,0.9610425287582303,0.9610425287582303
2016-07-16,air_0647f17b4dc041c8,0,0,1,0,0,0,0,0.9675009572884137,0.8219476355572728,0.0,-1.1409424508410808,0.9569298056674259,1,56.0,1,1,1.4004707729352222,1.4004707729352222
2016-07-17,air_0647f17b4dc041c8,0,0,0,1,0,0,0,1.211604805951458,1.0341894283141337,0.0,-1.2489006123844748,1.2473464107317167,1,65.0,1,1,0.50197096903028,0.5019709690302802
2016-07-18,air_0647f17b4dc041c8,0,1,0,0,0,0,0,1.455708654614502,1.5033554965135112,1.0,0.34348227038058443,1.3510666268261065,1,45.0,1,1,-0.97928052955309,-0.9792805295530899
2016-07-20,air_0647f17b4dc041c8,0,0,0,0,0,0,1,1.211604805951458,1.1012131523426163,0.0,-0.7360993450533541,1.2577184323411559,1,24.0,1,1,-0.3419640694553335,-0.3419640694553334
2016-07-21,air_0647f17b4dc041c8,0,0,0,0,1,0,0,0.6901102201713181,0.4309759120577918,0.0,-1.383848314313717,0.9776738488863042,1,27.0,1,1,-0.1277064239087704,-0.12770642390877035
2016-07-22,air_0647f17b4dc041c8,1,0,0,0,0,0,0,0.6346320727478989,0.2634166019865857,0.0,-1.383848314313717,0.8946976760107924,1,35.0,1,1,1.022882596233469,1.022882596233469
2016-07-23,air_0647f17b4dc041c8,0,0,1,0,0,0,0,0.7455883675947371,0.5315114981005153,0.0,-1.3568587739278686,0.8117215031352807,1,52.0,1,1,1.3295365778900952,1.3295365778900952
2016-07-24,air_0647f17b4dc041c8,0,0,0,1,0,0,0,0.9120228098649946,0.9336538422714102,0.0,0.3164927299947359,0.7494893734786467,1,49.0,1,1,-0.40380413693057243,-0.4038041369305724
2016-07-25,air_0647f17b4dc041c8,0,1,0,0,0,0,0,1.0451703636812004,0.9224832215999963,0.0,-1.275890152770323,0.9776738488863042,1,32.0,1,1,-1.0283888184304857,-1.0283888184304855
2016-07-26,air_0647f17b4dc041c8,0,0,0,0,0,1,0,0.9342140688343622,0.8107770148858588,0.0,-1.3568587739278686,1.0191619353240597,1,13.0,1,1,-0.31868310287642004,-0.31868310287642
2016-07-27,air_0647f17b4dc041c8,0,0,0,0,0,0,1,0.9564053278037298,0.7437532908573763,0.0,-1.383848314313717,1.029533956933499,1,34.0,1,1,-0.12115865205845097,-0.12115865205845093
2016-07-28,air_0647f17b4dc041c8,0,0,0,0,1,0,0,1.267082953374877,1.2017487383853398,0.0,-0.06136083540714243,1.2577184323411559,1,37.0,1,1,0.0974641747216584,0.09746417472165844
2016-07-29,air_0647f17b4dc041c8,1,0,0,0,0,0,0,1.33365673028298,1.4475023931564426,0.0,1.1801580223418866,1.2058583242939611,1,32.0,1,1,1.2622400338729234,1.2622400338729234
2016-07-30,air_0647f17b4dc041c8,0,0,1,0,0,0,0,1.3558479892523476,1.55920859987058,0.0,1.7739279108305526,1.1021381081995716,1,48.0,1,1,1.3771898063563086,1.3771898063563086
2016-07-31,air_0647f17b4dc041c8,0,0,0,1,0,0,0,1.3225611007982963,1.2464312210709947,0.0,0.3704718107664328,1.3406946052166677,1,39.0,1,1,-0.36015232459510965,-0.3601523245951096
2016-08-01,air_0647f17b4dc041c8,0,1,0,0,0,0,0,1.3003698418289287,1.1347250143568572,0.0,-0.9790052085259902,1.3718106700449841,1,20.0,1,1,-1.081498523438632,-1.0814985234386318
2016-08-03,air_0647f17b4dc041c8,0,0,0,0,0,0,1,1.255987323890193,1.279943083085236,0.0,-0.6551307238958086,1.195486302684522,1,30.0,1,1,-0.2975847269142797,-0.2975847269142796
2016-08-04,air_0647f17b4dc041c8,0,0,0,0,1,0,0,1.4224217661604504,1.4921848758420975,0.0,0.6673567550107657,1.3303225836072285,1,23.0,1,1,-0.1735408268610063,-0.17354082686100625
2016-08-05,air_0647f17b4dc041c8,1,0,0,0,0,0,0,1.4889955430685535,1.6485735652418896,0.0,0.9912312396409476,1.3199505619977894,1,34.0,1,1,0.8555506489475285,0.8555506489475285
