visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Niigata-ken Nagaoka-shi Ōtedōri,total_area_visitors,total_genre_visitors
2016-01-04,air_e5cf003abcc5febb,0,1,0,0,0,0,0,-0.5000775477780453,-0.2746103344042793,0.0,-0.6065921399238984,-0.44364535777062475,1,17.0,1,1,-1.5088351030188238,-1.508835103018824
2016-01-05,air_e5cf003abcc5febb,0,0,0,0,0,1,0,-0.8649851109048818,-0.9935966767044299,0.0,-1.0032127632423908,-0.6687333983716991,1,15.0,1,1,-1.380849679440872,-1.3808496794408722
2016-01-06,air_e5cf003abcc5febb,0,0,0,0,0,0,1,-0.9079154124492155,-1.0526914445647162,0.0,-0.9288463963701735,-0.7812774186722363,1,17.0,1,1,-1.3177301625496014,-1.3177301625496016
2016-01-07,air_e5cf003abcc5febb,0,0,0,0,1,0,0,-1.0903691940126339,-1.1413335963551459,0.0,-1.0032127632423908,-0.9951110572432569,1,2.0,1,1,-1.2496209605285862,-1.2496209605285864
2016-01-08,air_e5cf003abcc5febb,1,0,0,0,0,0,0,-1.1654972217152177,-1.2595231320757185,0.0,-1.0032127632423908,-0.9613478511530958,1,9.0,1,1,-0.9205512262219225,-0.9205512262219226
2016-01-09,air_e5cf003abcc5febb,0,0,1,0,0,0,0,-1.2084275232595516,-1.4072600517264344,0.0,-1.0032127632423908,-1.0401286653634718,1,23.0,1,1,-0.6665762531179168,-0.6665762531179169
2016-01-10,air_e5cf003abcc5febb,0,0,0,1,0,0,0,-0.9293805632213824,-0.9935966767044299,0.0,-0.978423974284985,-0.8488038308525586,1,19.0,1,1,-0.9477450101790312,-0.9477450101790313
2016-01-12,air_e5cf003abcc5febb,0,0,0,0,0,1,0,-1.326485852506469,-1.525449587447007,0.0,-1.0032127632423908,-1.0964006755137403,1,7.0,1,1,-1.3566497065616103,-1.3566497065616103
2016-01-13,air_e5cf003abcc5febb,0,0,0,0,0,0,1,-1.1869623724873848,-1.298919643982576,0.0,-0.5818033509664926,-1.1639270876940626,1,6.0,1,1,-1.1560643643458728,-1.156064364345873
2016-01-14,air_e5cf003abcc5febb,0,0,0,0,1,0,0,-1.294288126348219,-1.298919643982576,0.0,-1.0032127632423908,-1.0964006755137403,1,9.0,1,1,-1.065002610728032,-1.0650026107280322
2016-01-15,air_e5cf003abcc5febb,1,0,0,0,0,0,0,-1.3479510032786362,-1.3678635398195769,0.0,0.1122827398408689,-1.231453499874385,1,7.0,1,1,-0.7935637396699197,-0.7935637396699198
2016-01-16,air_e5cf003abcc5febb,0,0,1,0,0,0,0,-1.3050207017343025,-1.5057513314935784,0.0,-1.0032127632423908,-1.0964006755137403,1,17.0,1,1,-0.6486133866508358,-0.648613386650836
2016-01-17,air_e5cf003abcc5febb,0,0,0,1,0,0,0,-1.2620904001899687,-1.3087687719592906,0.0,-0.2595490945202176,-1.231453499874385,1,5.0,1,1,-1.2411384958080203,-1.2411384958080203
2016-01-18,air_e5cf003abcc5febb,0,1,0,0,0,0,0,-1.0689040432404668,-1.101937084448288,0.0,-1.0032127632423908,-0.9613478511530958,1,9.0,1,1,-1.519562926047775,-1.5195629260477752
2016-01-19,air_e5cf003abcc5febb,0,0,0,0,0,1,0,-1.122566920170884,-1.0625405725414308,0.0,-0.28433788347762345,-1.1301638816039017,1,15.0,1,1,-1.2872930832581588,-1.2872930832581588
2016-01-20,air_e5cf003abcc5febb,0,0,0,0,0,0,1,-1.1762297971013012,-1.1905792362387178,0.0,-0.8544800294979561,-1.152672685664009,1,11.0,1,1,-1.164546829066439,-1.1645468290664391
2016-01-21,air_e5cf003abcc5febb,0,0,0,0,1,0,0,-1.2620904001899687,-1.446656563633292,0.0,-0.8296912405405503,-0.9951110572432569,1,2.0,1,1,-1.044794385952566,-1.044794385952566
2016-01-22,air_e5cf003abcc5febb,1,0,0,0,0,0,0,-1.2406252494178018,-1.3777126677962912,0.0,-0.9536351853275792,-1.0401286653634718,1,14.0,1,1,-0.7421699828335491,-0.7421699828335493
2016-01-28,air_e5cf003abcc5febb,0,0,0,0,1,0,0,-1.0152411663100498,-1.200428364215432,0.0,-0.978423974284985,-0.8488038308525586,1,2.0,1,1,-1.0657510634974936,-1.0657510634974938
2016-01-29,air_e5cf003abcc5febb,1,0,0,0,0,0,0,-1.2835555509621355,-1.4663548195867209,0.0,-1.0032127632423908,-1.0176198613033645,1,3.0,1,1,-0.9255409113516673,-0.9255409113516674
2016-01-30,air_e5cf003abcc5febb,0,0,1,0,0,0,0,-1.1976949478734682,-1.3580144118428625,0.0,-1.0032127632423908,-1.0288742633334182,1,18.0,1,1,-0.6299020674142931,-0.6299020674142933
2016-01-31,air_e5cf003abcc5febb,0,0,0,1,0,0,0,-1.1869623724873848,-1.2792213880291472,0.0,-0.9288463963701735,-1.0063654592733107,1,2.0,1,1,-1.1740272308129538,-1.174027230812954
2016-02-02,air_e5cf003abcc5febb,0,0,0,0,0,1,0,-1.315753277120386,-1.4072600517264344,0.0,-1.0032127632423908,-1.1751814897241164,1,1.0,1,1,-1.2783116500246183,-1.2783116500246183
2016-02-03,air_e5cf003abcc5febb,0,0,0,0,0,0,1,-1.2835555509621355,-1.4663548195867209,0.0,-1.0032127632423908,-1.0401286653634718,1,5.0,1,1,-1.204963278617371,-1.2049632786173712
2016-02-04,air_e5cf003abcc5febb,0,0,0,0,1,0,0,-1.1654972217152177,-1.0625405725414308,0.0,0.45932578524454976,-1.1751814897241164,1,7.0,1,1,-1.1680396086572602,-1.1680396086572604
2016-02-05,air_e5cf003abcc5febb,1,0,0,0,0,0,0,-1.1869623724873848,-1.298919643982576,0.0,-0.8049024515831447,-0.9838566552132032,1,7.0,1,1,-0.8012977516210239,-0.8012977516210241
2016-02-06,air_e5cf003abcc5febb,0,0,1,0,0,0,0,-1.272822975576052,-1.3875617957730055,0.0,-0.4826481951368696,-1.0401286653634718,1,26.0,1,1,-0.5825000586817184,-0.5825000586817186
