visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-06,air_1d1e8860ae04f8e9,0,0,0,0,0,0,1,-0.8475942627208111,-1.1038318864843144,0.0,-1.2853692541574993,-0.5765370345150869,1,3.0,1,1,-1.3936626604171292,-1.3936626604171292
2016-01-08,air_1d1e8860ae04f8e9,1,0,0,0,0,0,0,-1.111566611804351,-1.1538333308802338,0.0,0.8593232184496918,-1.0572249072140087,1,6.0,1,1,-0.9834021066410193,-0.9834021066410193
2016-01-09,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-1.0487160524987464,-1.066330803187375,0.0,0.9086264936820413,-1.0932764976664278,1,8.0,1,1,-0.7210621294148386,-0.7210621294148386
2016-01-10,air_1d1e8860ae04f8e9,0,0,0,1,0,0,0,-0.9732953813320205,-0.9038261089006373,0.0,0.9579297689143904,-1.14134528493632,1,4.0,1,1,-1.0114915541043334,-1.0114915541043334
2016-01-11,air_1d1e8860ae04f8e9,0,1,0,0,0,0,0,-1.0738562762209882,-1.2038347752761531,1.0,-0.47186521282373717,-0.9731045294916972,1,5.0,1,1,-1.3792313846561604,-1.3792313846561604
2016-01-16,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-1.1492769473877138,-1.0413300809894153,0.0,0.9579297689143904,-1.2134484658411582,1,24.0,1,1,-0.7025076320078788,-0.7025076320078788
2016-01-18,air_1d1e8860ae04f8e9,0,1,0,0,0,0,0,-1.6143710862491887,-1.7413503025322858,0.0,-0.9402463275310547,-1.405723614920727,1,4.0,1,1,-1.6021430548925517,-1.6021430548925517
2016-01-20,air_1d1e8860ae04f8e9,0,0,0,0,0,0,1,-1.4509596320546165,-1.3788398306618708,0.0,0.9825814065305649,-1.513878386277984,1,14.0,1,1,-1.2354340297522224,-1.2354340297522224
2016-01-21,air_1d1e8860ae04f8e9,0,0,0,0,1,0,0,-1.2875481778600442,-1.3288383862659514,0.0,0.5388519294394222,-1.3095860403809425,1,1.0,1,1,-1.1117373803724908,-1.1117373803724908
2016-01-22,air_1d1e8860ae04f8e9,1,0,0,0,0,0,0,-1.2372677304155606,-1.2288354974741127,0.0,0.7114133927526443,-1.0692421040314817,1,7.0,1,1,-0.7991456393357942,-0.7991456393357942
2016-01-23,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-1.4760998557768583,-1.716349580334326,0.0,-1.23606597892515,-1.1173108913013738,1,13.0,1,1,-0.7249276497079552,-0.7249276497079552
2016-01-24,air_1d1e8860ae04f8e9,0,0,0,1,0,0,0,-1.551520526943584,-1.366339469562891,0.0,0.9332781312982159,-1.5739643703653494,1,10.0,1,1,-1.4312870579367973,-1.4312870579367973
2016-01-25,air_1d1e8860ae04f8e9,0,1,0,0,0,0,0,-1.6018009743880677,-1.4663423583547295,0.0,1.0811879569952634,-1.742205125809972,1,5.0,1,1,-1.4562840891656181,-1.4562840891656181
2016-01-26,air_1d1e8860ae04f8e9,0,0,0,0,0,1,0,-1.4886699676379793,-1.3163380251669716,0.0,0.8346715808335173,-1.5859815671828226,1,2.0,1,1,-1.281304870563873,-1.281304870563873
2016-01-27,air_1d1e8860ae04f8e9,0,0,0,0,0,0,1,-1.1744171711099558,-0.8413243034057382,0.0,1.0318846817629144,-1.5619471735478765,1,3.0,1,1,-1.1277148642507062,-1.1277148642507062
2016-01-28,air_1d1e8860ae04f8e9,0,0,0,0,1,0,0,-0.9858654931931415,-0.7663221368118592,0.0,1.0318846817629144,-1.1773968753887392,1,10.0,1,1,-1.1333842940139438,-1.1333842940139438
2016-01-29,air_1d1e8860ae04f8e9,1,0,0,0,0,0,0,-1.2875481778600442,-1.5413445249486084,0.0,-1.2853692541574993,-1.1173108913013738,1,26.0,1,1,-0.9885561336985081,-0.9885561336985081
2016-01-30,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-1.551520526943584,-1.8913546357200437,0.0,-1.2853692541574993,-1.2495000562935774,1,3.0,1,1,-0.6831800305422958,-0.6831800305422958
2016-01-31,air_1d1e8860ae04f8e9,0,0,0,1,0,0,0,-1.1995573948321976,-1.1163322475832944,0.0,-0.028135735732594144,-1.2735344499285233,1,10.0,1,1,-1.2452266811614512,-1.2452266811614512
2016-02-01,air_1d1e8860ae04f8e9,0,1,0,0,0,0,0,-1.3755389608878905,-1.6788484970373867,0.0,-1.2853692541574993,-1.1173108913013738,1,16.0,1,1,-1.502928034035892,-1.502928034035892
2016-02-02,air_1d1e8860ae04f8e9,0,0,0,0,0,1,0,-1.2121275066933184,-1.1788340530781936,0.0,0.8100199432173428,-1.1173108913013738,1,1.0,1,1,-1.3529458466629674,-1.3529458466629674
2016-02-03,air_1d1e8860ae04f8e9,0,0,0,0,0,0,1,-1.337828625304528,-1.366339469562891,0.0,0.4648970165908981,-1.2495000562935774,1,5.0,1,1,-1.2771816489178818,-1.2771816489178818
2016-02-04,air_1d1e8860ae04f8e9,0,0,0,0,1,0,0,-1.325258513443407,-1.3288383862659514,0.0,0.16907736519680294,-1.2975688435634696,1,13.0,1,1,-1.2390418486924646,-1.2390418486924646
2016-02-05,air_1d1e8860ae04f8e9,1,0,0,0,0,0,0,-1.0235758287765042,-0.853824664504718,0.0,0.9332781312982159,-1.3576548276508347,1,3.0,1,1,-0.8602208599670366,-0.8602208599670366
2016-02-06,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-1.1241367236654718,-1.278836941870032,0.0,-1.038852877995753,-0.901001348586859,1,18.0,1,1,-0.634216773496152,-0.634216773496152
2016-02-07,air_1d1e8860ae04f8e9,0,0,0,1,0,0,0,-1.337828625304528,-1.3413387473649312,0.0,0.9086264936820413,-1.2495000562935774,1,8.0,1,1,-1.25270002039481,-1.25270002039481
2016-02-08,air_1d1e8860ae04f8e9,0,1,0,0,0,0,0,-1.4132492964712535,-1.353839108463911,0.0,0.0704708147321044,-1.2735344499285233,1,16.0,1,1,-1.450872360755255,-1.450872360755255
2016-02-09,air_1d1e8860ae04f8e9,0,0,0,0,0,1,0,-1.1367068355265928,-0.6788196091190005,0.0,0.8346715808335173,-1.3576548276508347,1,5.0,1,1,-1.2302800026947336,-1.2302800026947336
2016-02-10,air_1d1e8860ae04f8e9,0,0,0,0,0,0,1,-1.2121275066933184,-1.1663336919792135,0.0,1.1551428698437876,-1.2374828594761043,1,3.0,1,1,-0.9022261804855705,-0.9022261804855705
2016-02-11,air_1d1e8860ae04f8e9,0,0,0,0,1,0,0,-1.2121275066933184,-1.0788311642863548,1.0,1.1551428698437876,-1.2254656626586313,1,10.0,1,1,-0.9764441701134094,-0.9764441701134094
2016-02-12,air_1d1e8860ae04f8e9,1,0,0,0,0,0,0,-1.061286164359867,-1.0288297198904355,0.0,-0.6937299513693086,-1.2495000562935774,1,16.0,1,1,-0.919492171128158,-0.919492171128158
2016-02-13,air_1d1e8860ae04f8e9,0,0,1,0,0,0,0,-0.20651855780364303,0.20870602890856754,0.0,-0.15139392381346722,-0.4323306727054102,1,1.0,1,1,-0.7272469618838252,-0.7272469618838252
