visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Kōtō-ku Tōyō,total_area_visitors,total_genre_visitors
2016-01-05,air_06f95ac5c33aca10,0,0,0,0,0,1,0,-0.5472213795579481,-0.4785036216618534,0.0,0.6570630640071529,-0.8550531998523838,1,7.0,1,1,-1.4451349618990195,-1.4451349618990195
2016-01-06,air_06f95ac5c33aca10,0,0,0,0,0,0,1,-0.8313457629077402,-1.0541082863024502,0.0,-1.3716820766734545,-0.5788531216471097,1,10.0,1,1,-1.3812848019952018,-1.3812848019952018
2016-01-07,air_06f95ac5c33aca10,0,0,0,0,1,0,0,-0.8055162735123047,-0.7663059539821517,0.0,0.02911813951077448,-0.9030879960619967,1,21.0,1,1,-1.3123871986207265,-1.3123871986207265
2016-01-08,air_06f95ac5c33aca10,1,0,0,0,0,0,0,-1.0638111674666613,-1.0671902104988276,0.0,0.4396975132199449,-1.1552706761624645,1,26.0,1,1,-0.9795083017308625,-0.9795083017308623
2016-01-09,air_06f95ac5c33aca10,0,0,1,0,0,0,0,-0.9475784651872007,-0.9625348169278097,0.0,0.8502768869291156,-0.9871488894288193,1,3.0,1,1,-0.7225934290743942,-0.7225934290743941
2016-01-10,air_06f95ac5c33aca10,0,0,0,1,0,0,0,-0.8442605076054582,-0.8186336507676606,0.0,0.8744286147943608,-0.9751401903764161,1,4.0,1,1,-1.007016868645946,-1.007016868645946
2016-01-12,air_06f95ac5c33aca10,0,0,0,0,0,1,0,-1.5029124871890673,-1.6297129509430472,0.0,-1.3958338045386998,-1.2153141714244806,1,21.0,1,1,-1.4206548610663305,-1.4206548610663305
2016-01-13,air_06f95ac5c33aca10,0,0,0,0,0,0,1,-1.3479355508164532,-1.1325998314807135,0.0,0.7295182476028891,-1.6356186382585933,1,29.0,1,1,-1.2177476335458979,-1.2177476335458979
2016-01-14,air_06f95ac5c33aca10,0,0,0,0,1,0,0,-1.076725912164379,-0.9494528927314326,0.0,0.8985803426596062,-1.4915142496297544,1,10.0,1,1,-1.125631790206398,-1.125631790206398
2016-01-15,air_06f95ac5c33aca10,1,0,0,0,0,0,0,-1.218788103839275,-1.1195179072843364,0.0,0.5363044246809262,-1.1072358799528514,1,18.0,1,1,-0.8510508654026283,-0.8510508654026282
2016-01-16,air_06f95ac5c33aca10,0,0,1,0,0,0,0,-1.141299635652968,-0.9102071201423011,0.0,0.8744286147943608,-1.0832184818480448,1,16.0,1,1,-0.704422632580027,-0.704422632580027
2016-01-17,air_06f95ac5c33aca10,0,0,0,1,0,0,0,-1.2058733591415571,-1.3942383154082576,0.0,-0.816192335772812,-1.1552706761624645,1,3.0,1,1,-1.3038065447206086,-1.3038065447206086
2016-01-19,air_06f95ac5c33aca10,0,0,0,0,0,1,0,-1.141299635652968,-1.2634190734444855,0.0,0.8985803426596062,-1.1192445790052548,1,8.0,1,1,-1.3504953968241908,-1.3504953968241908
2016-01-20,air_06f95ac5c33aca10,0,0,0,0,0,0,1,-1.3608502955141712,-1.3549925428191258,0.0,0.8985803426596062,-1.2513402685816901,1,22.0,1,1,-1.2263282874460155,-1.2263282874460155
2016-01-21,air_06f95ac5c33aca10,0,0,0,0,1,0,0,-1.2058733591415571,-1.3026648460336172,0.0,0.14987677883700112,-1.1672793752148676,1,8.0,1,1,-1.105189644150235,-1.105189644150235
2016-01-22,air_06f95ac5c33aca10,1,0,0,0,0,0,0,-1.1929586144438395,-1.1718456040698453,0.0,0.8019734311986247,-1.0351836856384322,1,38.0,1,1,-0.7990621976548558,-0.7990621976548556
