visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_75864c80d2fb334a,1,0,0,0,0,0,0,1.0767476142597123,1.1553759475071068,0.0,-0.16983299025365692,1.0214907195793688,1,17.0,1,1,1.3461082872690713,1.3461082872690713
2016-07-02,air_75864c80d2fb334a,0,0,1,0,0,0,0,1.2383587019625688,1.294431606486852,0.0,0.4945658166254033,1.175405372898523,1,9.0,1,1,1.5001608353857814,1.5001608353857814
2016-07-03,air_75864c80d2fb334a,0,0,0,1,0,0,0,1.4923189826384862,1.7115985834260878,0.0,0.68059748255154,1.3073322186006557,1,7.0,1,1,-0.42328473547811973,-0.42328473547811973
2016-07-04,air_75864c80d2fb334a,0,1,0,0,0,0,0,1.3307078949356297,1.5261910381197605,0.0,0.5477177211757279,1.1973931805155456,1,5.0,1,1,-1.170697576580245,-1.170697576580245
2016-07-05,air_75864c80d2fb334a,0,0,0,0,0,1,0,0.6265452985160403,0.5759773684248345,0.0,-1.339174890360803,0.82360045102617,1,1.0,1,1,-0.5246350960812186,-0.5246350960812186
2016-07-06,air_75864c80d2fb334a,0,0,0,0,0,0,1,0.7881563862188972,0.726620998986225,0.0,-0.24956084707914433,0.8565821624517032,1,16.0,1,1,-0.07943060295924259,-0.07943060295924259
2016-07-07,air_75864c80d2fb334a,0,0,0,0,1,0,0,1.2845332984490991,1.862242213987479,0.0,2.0625470008599853,1.0104968157708576,1,9.0,1,1,-0.14429483374522584,-0.14429483374522584
2016-07-08,air_75864c80d2fb334a,1,0,0,0,0,0,0,1.0421166668948145,1.0626721748539432,0.0,-0.7810798925823923,1.03248462338788,1,7.0,1,1,1.1463559401895091,1.1463559401895091
2016-07-09,air_75864c80d2fb334a,0,0,1,0,0,0,0,0.7073508423674685,0.4948615673533161,0.0,-1.339174890360803,0.8345943548346811,1,8.0,1,1,1.44082480608724,1.44082480608724
2016-07-11,air_75864c80d2fb334a,0,1,0,0,0,0,0,1.353795193178895,1.4914271233748244,0.0,1.982819144034498,1.0544724310049018,1,7.0,1,1,-1.2197142964355618,-1.2197142964355618
2016-07-12,air_75864c80d2fb334a,0,0,0,0,0,1,0,1.2499023510842016,1.294431606486852,0.0,0.33511010297442867,1.3073322186006557,1,5.0,1,1,-0.5098932254480406,-0.5098932254480406
2016-07-13,air_75864c80d2fb334a,0,0,0,0,0,0,1,1.0190293686515492,0.8077368000577434,0.0,-1.339174890360803,1.1863992767070342,1,11.0,1,1,-0.43876369964295664,-0.43876369964295664
2016-07-14,air_75864c80d2fb334a,0,0,0,0,1,0,0,1.11137856162461,1.4218992938849517,0.0,-0.3027127516294691,0.9445333929197915,1,15.0,1,1,-0.22648076252519325,-0.22648076252519325
2016-07-15,air_75864c80d2fb334a,1,0,0,0,0,0,0,0.6842635441242034,0.39056982311850724,0.0,-1.339174890360803,0.9115516814942584,1,25.0,1,1,0.9377584707300403,0.9377584707300403
2016-07-16,air_75864c80d2fb334a,0,0,1,0,0,0,0,0.9035928774352232,0.8193247716393887,0.0,-0.9139596539582043,0.8126065472176591,1,22.0,1,1,1.3829629638520162,1.3829629638520162
