visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri,total_area_visitors,total_genre_visitors
2016-07-01,air_7ef9a5ea5c8fe39f,1,0,0,0,0,0,0,1.3325041781760372,1.4186186820340518,0.0,2.8546517297764447,1.1020416060253664,1,4.0,1,1,1.373062831021038,1.373062831021038
2016-07-02,air_7ef9a5ea5c8fe39f,0,0,1,0,0,0,0,1.1680721873863982,1.1436184964867153,0.0,-0.5968368045316478,1.1672494981851662,1,16.0,1,1,1.527817522023066,1.527817522023066
2016-07-03,air_7ef9a5ea5c8fe39f,0,0,0,1,0,0,0,1.0365265947546871,0.7845904764665821,0.0,-0.9773158555577367,1.0612866734254913,1,5.0,1,1,-0.40439475630129795,-0.40439475630129795
2016-07-04,air_7ef9a5ea5c8fe39f,0,1,0,0,0,0,0,0.609003418701626,0.5936181253920431,0.0,0.6533086488397872,0.6455863609067656,1,12.0,1,1,-1.1552141662345823,-1.1552141662345823
2016-07-06,air_7ef9a5ea5c8fe39f,0,0,0,0,0,0,1,0.9543105993598675,1.0290350858419919,0.0,1.6316833514783016,0.9227199025859161,1,4.0,1,1,-0.05897340054796752,-0.05897340054796752
2016-07-07,air_7ef9a5ea5c8fe39f,0,0,0,0,1,0,0,1.0200833956757231,1.2658408011744207,0.0,2.881828804849737,0.6944922800266157,1,9.0,1,1,-0.12413327044355826,-0.12413327044355826
2016-07-08,air_7ef9a5ea5c8fe39f,1,0,0,0,0,0,0,1.1105209906100244,1.3040352713893284,0.0,2.4469956036770637,0.8738139834660659,1,16.0,1,1,1.1724000498652984,1.1724000498652984
2016-07-09,air_7ef9a5ea5c8fe39f,0,0,1,0,0,0,0,1.1434073887679523,1.1283407084007524,0.0,0.46306912332674294,1.069437659945466,1,34.0,1,1,1.4682110501299404,1.4682110501299404
2016-07-10,air_7ef9a5ea5c8fe39f,0,0,0,1,0,0,0,1.0200833956757231,0.8991738871113055,0.0,-0.9229617054111526,1.1672494981851662,1,14.0,1,1,-0.24815915916527928,-0.24815915916527928
2016-07-11,air_7ef9a5ea5c8fe39f,0,1,0,0,0,0,0,0.9954185970572773,0.9679239334981397,0.0,-0.026118227992514374,1.028682727345591,1,11.0,1,1,-1.204454295189773,-1.204454295189773
