visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,total_genre_visitors
2016-07-01,air_96773a6236d279b1,1,0,0,0,0,0,0,1.0274576374236173,1.0345148801663357,0.0,0.9243606880096543,1.0012513291446938,1,33.0,1,7270858.0
2016-07-02,air_96773a6236d279b1,0,0,1,0,0,0,0,1.2409676521272088,1.2661627753184614,0.0,1.7368928724171508,1.1505574116482817,1,37.0,1,7470662.0
2016-07-03,air_96773a6236d279b1,0,0,0,1,0,0,0,1.2729941543327477,1.1956612420112924,0.0,1.3847955925072355,1.3318576546883525,1,12.0,1,4975980.0
2016-07-04,air_96773a6236d279b1,0,1,0,0,0,0,0,1.305020656538286,1.2762344229337714,0.0,1.1681203433319034,1.3105282143306973,1,13.0,1,4006596.0
2016-07-05,air_96773a6236d279b1,0,0,0,0,0,1,0,1.305020656538286,1.447452432394038,0.0,1.6285552478294845,1.246539893257731,1,29.0,1,4844530.0
2016-07-06,air_96773a6236d279b1,0,0,0,0,0,0,1,1.20894114992167,1.1453030039347432,0.0,1.2222891556257363,1.2145457327212477,1,25.0,1,5421954.0
2016-07-07,air_96773a6236d279b1,0,0,0,0,1,0,0,1.2729941543327477,1.2863060705490814,0.0,1.5473020293887347,1.2678693336153861,1,25.0,1,5337826.0
2016-07-08,air_96773a6236d279b1,1,0,0,0,0,0,0,0.9954311352180784,0.8431535754754488,0.0,-1.4861514590659188,0.9479277282505554,1,10.0,1,7011782.0
2016-07-09,air_96773a6236d279b1,0,0,1,0,0,0,0,0.7071926153682297,0.5208608517855344,0.0,-1.1882229914498366,0.7986216457469679,1,15.0,1,7393704.0
2016-07-10,air_96773a6236d279b1,0,0,0,1,0,0,0,1.112861643305054,1.064729823012265,0.0,0.518094595805906,1.0972338107541433,1,31.0,1,5177696.0
2016-07-11,air_96773a6236d279b1,0,1,0,0,0,0,0,1.187590148451311,1.185589594395983,0.0,0.05765969130832463,1.235875173078903,1,16.0,1,3943022.0
2016-07-12,air_96773a6236d279b1,0,0,0,0,0,1,0,1.134212644775413,0.9539416992438567,0.0,-1.2423918037436696,1.246539893257731,1,18.0,1,4863650.0
2016-07-13,air_96773a6236d279b1,0,0,0,0,0,0,1,1.1021861425698742,0.8129386326295193,0.0,-1.4590670529190024,1.246539893257731,1,13.0,1,4955904.0
2016-07-14,air_96773a6236d279b1,0,0,0,0,1,0,0,1.0488086388939764,1.0848731182428848,0.0,0.19308172204290738,1.139892691469454,1,16.0,1,5231232.0
2016-07-15,air_96773a6236d279b1,1,0,0,0,0,0,0,0.8352986241903847,0.6115056803233228,0.0,-1.4319826467720855,1.0012513291446938,1,34.0,1,6741234.0
2016-07-16,air_96773a6236d279b1,0,0,1,0,0,0,0,0.9847556344828987,0.9640133468591667,0.0,-0.24026877630775756,0.9372630080717279,1,25.0,1,7318658.0
2016-07-17,air_96773a6236d279b1,0,0,0,1,0,0,0,1.1235371440402333,0.9237267563979276,0.0,-1.2694762098905865,1.1612221318271092,1,38.0,1,6137998.0
2016-07-19,air_96773a6236d279b1,0,0,0,0,0,1,0,1.1448881455105924,1.185589594395983,0.0,1.7910616847109837,1.0759043703964877,1,14.0,1,4415286.0
2016-07-20,air_96773a6236d279b1,0,0,0,0,0,0,1,1.0915106418346945,1.2460194800878415,0.0,2.1702433707678153,0.9585924484293833,1,25.0,1,5029038.0
2016-07-21,air_96773a6236d279b1,0,0,0,0,1,0,0,1.059484139629156,1.0848731182428848,0.0,0.9243606880096543,0.9692571686082108,1,11.0,1,5310580.0
2016-07-22,air_96773a6236d279b1,1,0,0,0,0,0,0,1.0915106418346945,1.2560911277031515,0.0,1.1952047494788198,0.9692571686082108,1,28.0,1,6822494.0
2016-07-23,air_96773a6236d279b1,0,0,1,0,0,0,0,1.0381331381587966,1.0949447658581941,0.0,1.2493735617726527,1.0119160493235217,1,25.0,1,7225448.0
2016-07-24,air_96773a6236d279b1,0,0,0,1,0,0,0,0.9847556344828987,0.9539416992438567,0.0,-0.18609996401392442,1.0012513291446938,1,22.0,1,4947778.0
2016-07-25,air_96773a6236d279b1,0,1,0,0,0,0,0,1.0061066359532582,0.8733685183213784,0.0,-1.1611385853029201,1.1825515721847646,1,11.0,1,4127052.0
2016-07-26,air_96773a6236d279b1,0,0,0,0,0,1,0,0.9100271293366416,0.7222938040917309,0.0,-1.4861514590659188,1.0545749300388323,1,22.0,1,5059630.0
2016-07-27,air_96773a6236d279b1,0,0,0,0,0,0,1,1.0808351410995152,1.0848731182428848,0.0,0.3826725650713233,1.0439102098600048,1,23.0,1,5319184.0
2016-07-28,air_96773a6236d279b1,0,0,0,0,1,0,0,1.187590148451311,1.1553746515500531,0.0,-0.24026877630775756,1.1825515721847646,1,24.0,1,5606462.0
2016-07-29,air_96773a6236d279b1,1,0,0,0,0,0,0,1.1769146477161312,1.1654462991653631,0.0,0.7347698449812381,1.139892691469454,1,33.0,1,7137018.0
2016-07-30,air_96773a6236d279b1,0,0,1,0,0,0,0,1.262318653597568,1.3970941943174888,0.0,1.7639772785640673,1.2998634941518694,1,26.0,1,7288066.0
2016-07-31,air_96773a6236d279b1,0,0,0,1,0,0,0,1.283669655067927,1.3467359562409398,0.0,1.3847955925072355,1.2998634941518694,1,26.0,1,5005138.0
2016-08-01,air_96773a6236d279b1,0,1,0,0,0,0,0,1.3370471587438248,1.3064493657797007,0.0,1.3306267802134026,1.278534053794214,1,20.0,1,4057264.0
