visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Bunkyō-ku Sendagi,total_area_visitors,total_genre_visitors
2016-01-05,air_ad7777590c884721,0,0,0,0,0,1,0,-0.5357255709688837,-0.5334799337034208,0.0,0.733292275069944,-0.7506212594411394,1,15.0,1,1,-1.461628333148919,-1.461628333148919
2016-01-06,air_ad7777590c884721,0,0,0,0,0,0,1,-0.7868300206923285,-1.0455000934020897,0.0,-1.3490469307630264,-0.5109073948127862,1,11.0,1,1,-1.3976154771326414,-1.3976154771326414
2016-01-07,air_ad7777590c884721,0,0,0,0,1,0,0,-0.8119404656646731,-0.8456873481538287,0.0,-0.1591388131441863,-0.8225354188296453,1,7.0,1,1,-1.3285423162929428,-1.3285423162929426
2016-01-08,air_ad7777590c884721,1,0,0,0,0,0,0,-1.0504896929019458,-1.095453279714155,0.0,0.8076615324211213,-0.9903351240694926,1,18.0,1,1,-0.9948152131883179,-0.9948152131883178
2016-01-09,air_ad7777590c884721,0,0,1,0,0,0,0,-0.9877135804710845,-1.008035203668041,0.0,0.8572410373219065,-1.0262922037637456,1,16.0,1,1,-0.7372456976761813,-0.7372456976761812
2016-01-10,air_ad7777590c884721,0,0,0,1,0,0,0,-0.912382245554051,-0.8456873481538287,0.0,0.9068205422226913,-1.0742349766894161,1,10.0,1,1,-1.022393874475963,-1.022393874475963
2016-01-12,air_ad7777590c884721,0,0,0,0,0,1,0,-1.477367257431802,-1.6948915154589381,0.0,-1.3490469307630264,-1.254020375160681,1,7.0,1,1,-1.4370858547553265,-1.4370858547553265
2016-01-13,air_ad7777590c884721,0,0,0,0,0,0,1,-1.364370255056252,-1.245312838650351,0.0,0.8076615324211213,-1.469762853326199,1,7.0,1,1,-1.2336616008537962,-1.2336616008537962
2016-01-14,air_ad7777590c884721,0,0,0,0,1,0,0,-1.1509314727913236,-1.0330117968240735,0.0,0.9068205422226913,-1.3379202277806048,1,8.0,1,1,-1.1413110378263602,-1.14131103782636
2016-01-15,air_ad7777590c884721,1,0,0,0,0,0,0,-1.2011523627360126,-1.095453279714155,0.0,0.6589230177187663,-1.1221777496150869,1,11.0,1,1,-0.8660304554322495,-0.8660304554322494
