visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_0585011fa179bcce,1,0,0,0,0,0,0,1.0863848963999236,1.2099278005379948,0.0,0.5881474334533017,0.9255272461850812,1,7.0,1,1,1.4151620011363573,1.4151620011363573
2016-07-02,air_0585011fa179bcce,0,0,1,0,0,0,0,1.3709251620488443,1.2649691952009743,0.0,0.0311420928122043,1.4544280673906087,1,26.0,1,1,1.5770147170441733,1.5770147170441733
2016-07-03,air_0585011fa179bcce,0,0,0,1,0,0,0,1.3367803301709738,1.2429526373357829,0.0,-0.1545263540681616,1.4544280673906087,1,3.0,1,1,-0.4438209870775767,-0.4438209870775767
2016-07-04,air_0585011fa179bcce,0,1,0,0,0,0,0,1.4164516045526714,1.4411016581225087,0.0,0.45552711425304043,1.3883154647399176,1,6.0,1,1,-1.2290777044485117,-1.2290777044485117
2016-07-05,air_0585011fa179bcce,0,0,0,0,0,1,0,1.3823067726748008,1.4300933791899126,0.0,1.4103934124949218,1.2560902594385357,1,10.0,1,1,-0.5503030370169294,-0.5503030370169294
2016-07-06,air_0585011fa179bcce,0,0,0,0,0,0,1,1.3140171089190602,1.3310188687965496,0.0,1.7021581147354965,1.2560902594385357,1,12.0,1,1,-0.08255643219242773,-0.08255643219242773
2016-07-07,air_0585011fa179bcce,0,0,0,0,1,0,0,1.1205297282777942,1.0888367322794406,0.0,0.6411955611334063,1.145902588354051,1,4.0,1,1,-0.15070494415361338,-0.15070494415361338
2016-07-08,air_0585011fa179bcce,1,0,0,0,0,0,0,0.7563181882471753,0.5824559013800293,0.0,-1.401157354550618,0.8594146435343901,1,14.0,1,1,1.2052955608922515,1.2052955608922515
2016-07-09,air_0585011fa179bcce,0,0,1,0,0,0,0,0.9042791263846142,0.8466545957623306,0.0,-0.10147822638805701,0.9365460132935299,1,12.0,1,1,1.5146743168978614,1.5146743168978614
2016-07-10,air_0585011fa179bcce,0,0,0,1,0,0,0,1.0067136220182258,0.9016959904253101,0.0,-0.6319595031891024,1.123865054137154,1,7.0,1,1,-0.2804194413524611,-0.2804194413524611
2016-07-11,air_0585011fa179bcce,0,1,0,0,0,0,0,1.0180952326441826,0.8136297589645429,0.0,-1.3215851630304611,1.1569213554624995,1,4.0,1,1,-1.2805762958737257,-1.2805762958737257
2016-07-12,air_0585011fa179bcce,0,0,0,0,0,1,0,1.1432929495297077,1.2209360794705908,0.0,-0.6054354393490501,1.1569213554624995,1,2.0,1,1,-0.5348147388439326,-0.5348147388439326
2016-07-13,air_0585011fa179bcce,0,0,0,0,0,0,1,1.0180952326441826,0.8356463168297346,0.0,-1.3746332907105658,1.0687712185949116,1,2.0,1,1,-0.46008370015922334,-0.46008370015922334
2016-07-14,air_0585011fa179bcce,0,0,0,0,1,0,0,1.1091481176518372,1.099845011212036,0.0,1.118628710254347,1.123865054137154,1,4.0,1,1,-0.23705220646807024,-0.23705220646807024
2016-07-15,air_0585011fa179bcce,1,0,0,0,0,0,0,0.8928975157586576,0.8466545957623306,0.0,1.4103934124949218,1.0026586159442206,1,5.0,1,1,0.9861361417443475,0.9861361417443475
2016-07-16,air_0585011fa179bcce,0,0,1,0,0,0,0,1.1319113389037507,1.3200105898639536,0.0,0.1637624120124656,0.969602314618875,1,9.0,1,1,1.453882746568849,1.453882746568849
2016-07-17,air_0585011fa179bcce,0,0,0,1,0,0,0,1.0180952326441826,0.9347208272230978,0.0,0.2698586673726745,1.1128462870287055,1,5.0,1,1,0.4974803343863003,0.4974803343863003
2016-07-18,air_0585011fa179bcce,0,1,0,0,0,0,0,1.0067136220182258,1.000770500818673,1.0,0.7472918164936152,0.969602314618875,1,7.0,1,1,-1.0792284196247681,-1.0792284196247681
2016-07-19,air_0585011fa179bcce,0,0,0,0,0,1,0,1.040858453896096,1.011778779751269,0.0,1.516489667855131,1.0467336843780148,1,8.0,1,1,-0.8980153310007062,-0.8980153310007062
2016-07-20,air_0585011fa179bcce,0,0,0,0,0,0,1,1.0294768432701396,1.022787058683865,0.0,1.03905651873419,1.123865054137154,1,3.0,1,1,-0.40084095964751076,-0.40084095964751076
2016-07-21,air_0585011fa179bcce,0,0,0,0,1,0,0,0.9611871795143984,0.9457291061556935,0.0,1.7552062424156014,1.0246961501611174,1,5.0,1,1,-0.17277576905013375,-0.17277576905013375
2016-07-22,air_0585011fa179bcce,1,0,0,0,0,0,0,0.9042791263846142,0.9127042693579062,0.0,1.7552062424156014,0.9365460132935299,1,4.0,1,1,1.0519614089795837,1.0519614089795837
2016-07-23,air_0585011fa179bcce,0,0,1,0,0,0,0,1.0977665070258802,1.14387812694242,0.0,1.9143506254559148,0.9145084790766326,1,5.0,1,1,1.37837729297549,1.37837729297549
2016-07-24,air_0585011fa179bcce,0,0,0,1,0,0,0,1.2684906664152327,1.2319443584031868,0.0,0.1637624120124656,1.2781277936554327,1,6.0,1,1,-0.46666622688274695,-0.46666622688274695
2016-07-26,air_0585011fa179bcce,0,0,0,0,0,1,0,1.1888193920335348,1.2429526373357829,0.0,0.42900305041298825,1.1569213554624995,1,5.0,1,1,-0.376059682570716,-0.376059682570716
2016-07-27,air_0585011fa179bcce,0,0,0,0,0,0,1,1.2798722770411897,1.364043705594338,0.0,0.9064361995339287,1.1789588896793965,1,3.0,1,1,-0.1658060348722852,-0.1658060348722852
2016-07-28,air_0585011fa179bcce,0,0,0,0,1,0,0,1.3595435514228873,1.4300933791899126,0.0,1.1451527740943992,1.2891465607638812,1,6.0,1,1,0.06690564517699084,0.06690564517699084
2016-07-29,air_0585011fa179bcce,1,0,0,0,0,0,0,1.4164516045526714,1.485134773852892,0.0,1.1451527740943992,1.3222028620892268,1,10.0,1,1,1.30674391392538,1.30674391392538
2016-07-30,air_0585011fa179bcce,0,0,1,0,0,0,0,1.3823067726748008,1.4411016581225087,0.0,0.7738158803336673,1.3772966976314693,1,7.0,1,1,1.4291014694920543,1.4291014694920543
2016-07-31,air_0585011fa179bcce,0,0,0,1,0,0,0,1.3936883833007578,1.4521099370551047,0.0,1.6225859232153401,1.3111840949807783,1,9.0,1,1,-0.42020133236375673,-0.42020133236375673
2016-08-01,air_0585011fa179bcce,0,1,0,0,0,0,0,1.4164516045526714,1.5291678895832763,0.0,1.6225859232153401,1.3662779305230206,1,2.0,1,1,-1.1880337142900703,-1.1880337142900703
2016-08-02,air_0585011fa179bcce,0,0,0,0,0,1,0,1.3823067726748008,1.4411016581225087,0.0,1.224724965614556,1.3883154647399176,1,16.0,1,1,-0.8201866326813976,-0.8201866326813976
2016-08-03,air_0585011fa179bcce,0,0,0,0,0,0,1,1.3253987195450168,1.353035426661742,0.0,0.37595492273288367,1.3662779305230206,1,7.0,1,1,-0.3536016502198707,-0.3536016502198707
2016-08-04,air_0585011fa179bcce,0,0,0,0,1,0,0,1.3709251620488443,1.5181596106506803,0.0,1.3838693486548697,1.3222028620892268,1,5.0,1,1,-0.2215639082950735,-0.2215639082950735
2016-08-05,air_0585011fa179bcce,1,0,0,0,0,0,0,1.2798722770411897,1.4411016581225087,0.0,0.8799121356938765,1.2781277936554327,1,4.0,1,1,0.8738459799901211,0.8738459799901211
2016-08-06,air_0585011fa179bcce,0,0,1,0,0,0,0,1.1888193920335348,1.5732010053136596,0.0,0.8268640080137721,1.057752451486463,1,7.0,1,1,0.6213867197702743,0.6213867197702743
2016-08-07,air_0585011fa179bcce,0,0,0,1,0,0,0,1.3140171089190602,1.5621927263810635,0.0,0.6146714972933539,1.123865054137154,1,7.0,1,1,-0.6258084906102884,-0.6258084906102884
2016-08-09,air_0585011fa179bcce,0,0,0,0,0,1,0,1.3481619407969307,1.353035426661742,0.0,1.8613024977758106,1.355259163414572,1,2.0,1,1,-0.3013286438860067,-0.3013286438860067
2016-08-10,air_0585011fa179bcce,0,0,0,0,0,0,1,1.3367803301709738,1.4411016581225087,0.0,1.9939228169760719,1.3111840949807783,1,4.0,1,1,0.7452931051542482,0.7452931051542482
2016-08-11,air_0585011fa179bcce,0,0,0,0,1,0,0,1.4050699939267148,1.4521099370551047,1.0,1.9143506254559148,1.2671090265469844,1,3.0,1,1,0.42158767333861624,0.42158767333861624
2016-08-12,air_0585011fa179bcce,1,0,0,0,0,0,0,1.450596436430542,1.5401761685158715,0.0,1.9143506254559148,1.2891465607638812,1,5.0,1,1,-0.02950901094991388,-0.02950901094991388
2016-08-13,air_0585011fa179bcce,0,0,1,0,0,0,0,1.4847412683084127,1.5732010053136596,1.0,1.8347784339357578,1.3772966976314693,1,7.0,1,1,0.14357272113332473,0.14357272113332473
2016-08-15,air_0585011fa179bcce,0,1,0,0,0,0,0,1.4847412683084127,1.4961430527854882,1.0,0.9860083910540857,1.3883154647399176,1,2.0,1,1,-1.4854090392116077,-1.4854090392116077
2016-08-16,air_0585011fa179bcce,0,0,0,0,0,1,0,1.3026354982931032,1.2979940319987624,0.0,-0.2871466732684229,1.333221629197675,1,2.0,1,1,-1.3626642761906085,-1.3626642761906085
2016-08-17,air_0585011fa179bcce,0,0,0,0,0,0,1,1.3253987195450168,1.3310188687965496,0.0,1.2512490294546084,1.355259163414572,1,5.0,1,1,-0.8387725904889937,-0.8387725904889937
2016-08-18,air_0585011fa179bcce,0,0,0,0,1,0,0,1.3595435514228873,1.4521099370551047,0.0,1.543013731695183,1.2560902594385357,1,3.0,1,1,-0.5514646593799041,-0.5514646593799041
2016-08-19,air_0585011fa179bcce,1,0,0,0,0,0,0,1.4164516045526714,1.353035426661742,0.0,1.1716768379344513,1.4213717660652632,1,9.0,1,1,0.8355124420119542,0.8355124420119542
2016-08-20,air_0585011fa179bcce,0,0,1,0,0,0,0,1.3140171089190602,1.2869857530661664,0.0,1.543013731695183,1.3883154647399176,1,2.0,1,1,0.7131548864452799,0.7131548864452799
2016-08-21,air_0585011fa179bcce,0,0,0,1,0,0,0,1.3253987195450168,1.353035426661742,0.0,1.543013731695183,1.2781277936554327,1,7.0,1,1,-0.8259947444962714,-0.8259947444962714
2016-08-22,air_0585011fa179bcce,0,1,0,0,0,0,0,1.3253987195450168,1.3200105898639536,0.0,1.7021581147354965,1.3662779305230206,1,4.0,1,1,-2.0631225610643864,-2.0631225610643864
2016-08-23,air_0585011fa179bcce,0,0,0,0,0,1,0,1.2798722770411897,1.3970685423921252,0.0,1.8878265616158627,1.2560902594385357,1,7.0,1,1,-0.6188387564324399,-0.6188387564324399
2016-08-24,air_0585011fa179bcce,0,0,0,0,0,0,1,1.3026354982931032,1.3860602634595292,0.0,1.3573452848148175,1.123865054137154,1,8.0,1,1,-0.42097574727240655,-0.42097574727240655
2016-08-25,air_0585011fa179bcce,0,0,0,0,1,0,0,1.4050699939267148,1.617234121044043,0.0,0.48205117809309256,1.355259163414572,1,5.0,1,1,-0.2862275531673349,-0.2862275531673349
2016-08-26,air_0585011fa179bcce,1,0,0,0,0,0,0,1.2002010026594918,1.2979940319987624,0.0,-0.1280022902281094,1.1789588896793965,1,4.0,1,1,1.145665612926214,1.145665612926214
2016-08-27,air_0585011fa179bcce,0,0,1,0,0,0,0,0.9839504007663119,0.9787539429534813,0.0,-0.7645798223893637,1.123865054137154,1,7.0,1,1,1.2111036727071252,1.2111036727071252
2016-08-29,air_0585011fa179bcce,0,1,0,0,0,0,0,0.47177792259825463,0.3953151595258989,0.0,-0.791103886229416,0.5398703973893842,1,3.0,1,1,-1.469920741038611,-1.469920741038611
2016-08-30,air_0585011fa179bcce,0,0,0,0,0,1,0,0.642502081987607,0.6595138539082005,0.0,0.5881474334533017,0.40764519208800254,1,6.0,1,1,-0.6463304856895091,-0.6463304856895091
2016-08-31,air_0585011fa179bcce,0,0,0,0,0,0,1,0.9611871795143984,0.8796794325601184,0.0,1.4103934124949218,0.9034897119681844,1,3.0,1,1,-0.19988029085287806,-0.19988029085287806
2016-09-01,air_0585011fa179bcce,0,0,0,0,1,0,0,0.8473710732548301,0.6044724592452211,0.0,-1.401157354550618,0.9806210817273237,1,4.0,1,1,-0.6087713626199921,-0.6087713626199921
