visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Creative cuisine,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-05,air_457efe8c3a30ea17,0,0,0,0,0,1,0,-0.5071942986067914,-0.5017585470000554,0.0,0.7988724148675772,-0.7293973732355412,1,6.0,1,1,-1.3862615480328766,-1.3862615480328764
2016-01-06,air_457efe8c3a30ea17,0,0,0,0,0,0,1,-0.7574799203130503,-1.0112934793606276,0.0,-1.3124437520427958,-0.48953785242154596,1,6.0,1,1,-1.3218935703133274,-1.3218935703133274
2016-01-07,air_457efe8c3a30ea17,0,0,0,0,1,0,0,-0.7825084824836763,-0.8124505789272337,0.0,-0.10597737095115417,-0.8013552294797398,1,2.0,1,1,-1.2524372149084386,-1.2524372149084384
2016-01-08,air_457efe8c3a30ea17,1,0,0,0,0,0,0,-1.0202798231046222,-1.0610042044689763,0.0,0.8742765636858045,-0.9692568940495365,1,11.0,1,1,-0.9168587065602756,-0.9168587065602755
2016-01-09,air_457efe8c3a30ea17,0,0,1,0,0,0,0,-0.9577084176780575,-0.9740104355293664,0.0,0.9245459962312899,-1.0052358221716358,1,6.0,1,1,-0.6578602823764774,-0.6578602823764772
2016-01-13,air_457efe8c3a30ea17,0,0,0,0,0,0,1,-1.3331368502374457,-1.2101363797940219,0.0,0.8742765636858045,-1.4489759356775271,1,4.0,1,1,-1.1570301333083164,-1.1570301333083164
2016-01-14,air_457efe8c3a30ea17,0,0,0,0,1,0,0,-1.1203940717871257,-0.9988657980835406,0.0,0.9748154287767747,-1.3170531992298298,1,13.0,1,1,-1.0641672405508642,-1.064167240550864
2016-01-15,air_457efe8c3a30ea17,1,0,0,0,0,0,0,-1.1704511961283774,-1.0610042044689763,0.0,0.7234682660493494,-1.1011796304972339,1,13.0,1,1,-0.7873594944683765,-0.7873594944683764
2016-01-16,air_457efe8c3a30ea17,0,0,1,0,0,0,0,-1.057822666360561,-0.9491550729751921,0.0,0.9748154287767747,-1.1251655825786333,1,10.0,1,1,-0.6395421227092539,-0.6395421227092538
2016-01-17,air_457efe8c3a30ea17,0,0,0,1,0,0,0,-1.1454226339577516,-1.3468408738419804,0.0,-0.5332675475877772,-1.0652007023751344,1,10.0,1,1,-1.2437869728433608,-1.2437869728433606
2016-01-18,air_457efe8c3a30ea17,0,1,0,0,0,0,0,-1.5208510665171397,-1.6451052244920714,0.0,-0.9605577242244003,-1.3170531992298298,1,3.0,1,1,-1.5277184476853243,-1.5277184476853243
2016-01-19,air_457efe8c3a30ea17,0,0,0,0,0,1,0,-1.2330226015549424,-1.3468408738419804,0.0,0.9748154287767747,-1.2331023669449312,1,8.0,1,1,-1.2908544664327544,-1.2908544664327544
2016-01-20,air_457efe8c3a30ea17,0,0,0,0,0,0,1,-1.3581654124080718,-1.2847024674565446,0.0,0.9999501450495172,-1.4249899835961275,1,5.0,1,1,-1.1656803753733942,-1.165680375373394
2016-01-21,air_457efe8c3a30ea17,0,0,0,0,1,0,0,-1.1954797582990033,-1.2349917423481962,0.0,0.5475252521401519,-1.2211093909042314,1,3.0,1,1,-1.043559310925238,-1.0435593109252377
2016-01-22,air_457efe8c3a30ea17,1,0,0,0,0,0,0,-1.1454226339577516,-1.135570292131499,0.0,0.7234682660493494,-0.9812498700902362,1,11.0,1,1,-0.734949204309376,-0.7349492043093759
2016-01-23,air_457efe8c3a30ea17,0,0,1,0,0,0,0,-1.3831939745786974,-1.620249861937897,0.0,-1.2621743194973107,-1.0292217742530354,1,4.0,1,1,-0.6616765656404823,-0.661676565640482
2016-01-26,air_457efe8c3a30ea17,0,0,0,0,0,1,0,-1.3957082556640104,-1.222564061071109,0.0,0.8491418474130621,-1.4969478398403262,1,10.0,1,1,-1.2109669367729188,-1.2109669367729186
2016-01-27,air_457efe8c3a30ea17,0,0,0,0,0,0,1,-1.0828512285311869,-0.750312172541798,0.0,1.0502195775950025,-1.4729618877589266,1,13.0,1,1,-1.0593332817497914,-1.0593332817497911
2016-01-28,air_457efe8c3a30ea17,0,0,0,0,1,0,0,-0.8951370122514928,-0.6757460848792753,0.0,1.0502195775950025,-1.089186654456534,1,7.0,1,1,-1.0649304972036653,-1.064930497203665
2016-01-29,air_457efe8c3a30ea17,1,0,0,0,0,0,0,-1.1954797582990033,-1.4462623240586772,0.0,-1.3124437520427958,-1.0292217742530354,1,5.0,1,1,-0.9219470842456154,-0.9219470842456153
2016-01-30,air_457efe8c3a30ea17,0,0,1,0,0,0,0,-1.458279661090575,-1.7942373998171168,0.0,-1.3124437520427958,-1.1611445107007328,1,12.0,1,1,-0.6204607063892295,-0.6204607063892293
2016-01-31,air_457efe8c3a30ea17,0,0,0,1,0,0,0,-1.1078797907018127,-1.023721160637715,0.0,-0.03057322213292661,-1.1851304627821322,1,1.0,1,1,-1.1753482929755399,-1.1753482929755397
2016-02-01,air_457efe8c3a30ea17,0,1,0,0,0,0,0,-1.2830797258961941,-1.5829668181066359,0.0,-1.3124437520427958,-1.0292217742530354,1,9.0,1,1,-1.4297671772425322,-1.4297671772425322
2016-02-02,air_457efe8c3a30ea17,0,0,0,0,0,1,0,-1.1203940717871257,-1.0858595670231506,0.0,0.8240071311403196,-1.0292217742530354,1,2.0,1,1,-1.2816953865991427,-1.2816953865991425
