visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-02,air_b2395df0e874078d,0,0,1,0,0,0,0,1.281014488756371,1.3489768035460916,0.0,0.5375361156806856,1.1974076140634073,1,1.0,1,1,1.3908530004900548,1.3908530004900546
2016-07-05,air_b2395df0e874078d,0,0,0,0,0,1,0,0.654824138078479,0.6114792409455522,0.0,-1.312610197973786,0.8394814961170952,1,2.0,1,1,-0.6029720892188764,-0.6029720892188767
2016-07-07,air_b2395df0e874078d,0,0,0,0,1,0,0,1.3282741378641363,1.9318377804400666,0.0,2.119545282428712,1.0296297462760735,1,12.0,1,1,-0.22844942948469055,-0.22844942948469082
2016-07-08,air_b2395df0e874078d,1,0,0,0,0,0,0,1.080160980048368,1.1110743639975305,0.0,-0.7495221894702512,1.0520001286477183,1,6.0,1,1,1.0424598286443005,1.0424598286443003
2016-07-09,air_b2395df0e874078d,0,0,1,0,0,0,0,0.7375285240170684,0.5282133871035554,0.0,-1.312610197973786,0.8506666873029176,1,3.0,1,1,1.3324245622950897,1.3324245622950894
2016-07-13,air_b2395df0e874078d,0,0,0,0,0,0,1,1.0565311554944854,0.8493816804941133,0.0,-1.312610197973786,1.2085928052492299,1,2.0,1,1,-0.5184141631354797,-0.51841416313548
2016-07-14,air_b2395df0e874078d,0,0,0,0,1,0,0,1.151050453710016,1.4798231452978,0.0,-0.26687532503864997,0.9625185991611402,1,2.0,1,1,-0.3093782600280272,-0.3093782600280275
2016-07-16,air_b2395df0e874078d,0,0,1,0,0,0,0,0.9383820327250718,0.8612768024715411,0.0,-0.8835907629234737,0.8282963049312732,1,7.0,1,1,1.2754477623161486,1.2754477623161484
2016-07-17,air_b2395df0e874078d,0,0,0,1,0,0,0,1.151050453710016,0.9921231442232499,0.0,-1.2857964832831417,1.2197779964350521,1,3.0,1,1,0.3790611639213434,0.3790611639213432
2016-07-19,air_b2395df0e874078d,0,0,0,0,0,1,0,1.3164592255871952,1.4084524134332315,0.0,0.34984011284617395,1.2309631876208742,1,5.0,1,1,-0.928864868716259,-0.9288648687162593
2016-07-20,air_b2395df0e874078d,0,0,0,0,0,0,1,1.1983101028177816,1.1229694859749584,0.0,-0.07917932220413841,1.1862224228775853,1,3.0,1,1,-0.46288900137256267,-0.46288900137256295
