visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_cd4b301d5d3918d8,1,0,0,0,0,0,0,1.0775790273526027,1.1546335534406995,0.0,-0.1818023518663184,1.0283638390288645,1,5.0,1,1,1.9636652718340033,1.9636652718340033
2016-07-04,air_cd4b301d5d3918d8,0,1,0,0,0,0,0,1.3303371099246475,1.5244524895745715,0.0,0.528662102137584,1.2036466627260922,1,6.0,1,1,-1.1329541386707669,-1.1329541386707669
2016-07-05,air_cd4b301d5d3918d8,0,0,0,0,0,1,0,0.6295078809748864,0.5767914657315234,0.0,-1.3395962769097154,0.8311706623694834,1,5.0,1,1,-0.3380538858350864,-0.3380538858350864
2016-07-06,air_cd4b301d5d3918d8,0,0,0,0,0,0,1,0.7903539335207335,0.7270304085359088,0.0,-0.26074284675564113,0.8640361918127136,1,5.0,1,1,0.2097153699695354,0.2097153699695354
2016-07-07,air_cd4b301d5d3918d8,0,0,0,0,1,0,0,1.2843810949115482,1.8596009004458942,0.0,2.0285315050347124,1.0174086625477876,1,7.0,1,1,0.12990792872647794,0.12990792872647794
2016-07-11,air_cd4b301d5d3918d8,0,1,0,0,0,0,0,1.353315117431197,1.4897819643120214,0.0,1.9495910101453895,1.0612293684720948,1,16.0,1,1,-1.1932631709737591,-1.1932631709737591
2016-07-12,air_cd4b301d5d3918d8,0,0,0,0,0,1,0,1.2499140836517242,1.2933156544909015,0.0,0.3181541157660574,1.3131984275368596,1,6.0,1,1,-0.3199158310071188,-0.3199158310071188
2016-07-13,air_cd4b301d5d3918d8,0,0,0,0,0,0,1,1.020134008586229,0.8079283008151938,0.0,-1.3395962769097154,1.1926914862450153,1,10.0,1,1,-0.23239971646217505,-0.23239971646217505
2016-07-14,air_cd4b301d5d3918d8,0,0,0,0,1,0,0,1.1120460386124267,1.42044091378692,0.0,-0.31336984334852275,0.9516776036613275,1,4.0,1,1,0.028788273060558513,0.028788273060558513
2016-07-15,air_cd4b301d5d3918d8,1,0,0,0,0,0,0,0.6869528997412603,0.391881997664587,0.0,-1.3395962769097154,0.9188120742180973,1,7.0,1,1,1.4612411530993004,1.4612411530993004
2016-07-19,air_cd4b301d5d3918d8,0,0,0,0,0,1,0,1.2728920911582737,1.3510998632618187,0.0,0.29184061746961665,1.2146018392071687,1,7.0,1,1,-0.7452532167229592,-0.7452532167229592
2016-07-20,air_cd4b301d5d3918d8,0,0,0,0,0,0,1,1.158002053625526,1.0737356611614144,0.0,-0.12917535527343693,1.170781133282862,1,6.0,1,1,-0.16302165674519895,-0.16302165674519895
