visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Adachi-ku Chūōhonchō,total_area_visitors,total_genre_visitors
2016-07-01,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,1.098776515951458,1.1763152581460883,0.0,-0.25905351426797457,1.045962090501661,1,7.0,1,1,1.2626289824719956,1.2626289824719956
2016-07-02,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,1.2605611193981099,1.3155452887005568,0.0,0.41874607740498987,1.1999969654639908,1,19.0,1,1,1.4354613972134904,1.4354613972134904
2016-07-03,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.5147940676714204,1.7332353803639626,0.0,0.6085299630734198,1.3320268582888453,1,19.0,1,1,-0.7224629389967047,-0.7224629389967047
2016-07-05,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,0.6480908349214983,0.5961901308358021,0.0,-1.451980795612392,0.8479172512643796,1,3.0,1,1,-0.836168475010846,-0.836168475010846
2016-07-06,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,0.8098754383681507,0.7470226639364762,0.0,-0.3403894652687305,0.8809247244705931,1,8.0,1,1,-0.33669106590145426,-0.33669106590145426
2016-07-07,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,1.3067852918114389,1.8840679134646374,0.0,2.0183531137531863,1.034959599432923,1,11.0,1,1,-0.40946260895050474,-0.4094626089505047
2016-07-09,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,0.7289831366448243,0.5149726130123617,0.0,-1.451980795612392,0.8589197423331175,1,8.0,1,1,1.368891974310666,1.3688919743106658
2016-07-10,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.098776515951458,1.2575327759695283,0.0,1.7201212934170813,0.8479172512643796,1,19.0,1,1,-0.5479766255495496,-0.5479766255495496
2016-07-12,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,1.2721171625014425,1.3155452887005568,0.0,0.25607417540347827,1.3320268582888453,1,8.0,1,1,-0.8196294879542437,-0.8196294879542436
2016-07-13,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,1.0409963004347966,0.8282401817599165,0.0,-1.451980795612392,1.2109994565327287,1,15.0,1,1,-0.7398288754061372,-0.7398288754061372
2016-07-14,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,1.1334446452614546,1.4431728167088196,0.0,-0.3946134326025676,0.968944653020496,1,9.0,1,1,-0.5016674617910629,-0.5016674617910629
2016-07-15,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,0.7058710504381598,0.4105500900965104,0.0,-1.451980795612392,0.9359371798142824,1,5.0,1,1,0.8044990410041098,0.8044990410041097
2016-07-16,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,0.9254358694014736,0.8398426843061221,0.0,-1.018189056941695,0.8369147601956419,1,1.0,1,1,1.3039764501135016,1.3039764501135016
2016-07-17,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.1334446452614546,0.9674702123143851,0.0,-1.4248688119454735,1.2220019476014667,1,18.0,1,1,0.2826939993683048,0.28269399936830475
2016-07-20,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,1.179668817674784,1.0950977403226478,0.0,-0.2048295469341376,1.1889944743952532,1,16.0,1,1,-0.6765672499146331,-0.6765672499146331
2016-07-21,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,0.6596468780248308,0.4453575977351276,0.0,-1.451980795612392,0.9249346887455444,1,2.0,1,1,-0.4330306655061631,-0.4330306655061631
2016-07-22,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,0.6134227056115014,0.2597175569958359,0.0,-1.451980795612392,0.8699222334018551,1,6.0,1,1,0.8747897359946699,0.8747897359946698
2016-07-23,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,0.7289831366448243,0.770227669028888,0.0,-1.072413024275532,0.8039072869894283,1,9.0,1,1,1.223348888212565,1.223348888212565
2016-07-24,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,0.9023237831948087,0.9906752174067965,0.0,0.527194012072664,0.7158873584395253,1,23.0,1,1,-0.7468579449051932,-0.7468579449051932
2016-07-26,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,0.8907677400914766,0.8050351766675048,0.0,-1.4248688119454735,0.9799471440892337,1,6.0,1,1,-0.6501048706240693,-0.6501048706240693
2016-07-27,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,0.9716600418148026,0.7934326741212994,0.0,-1.3706448446116364,1.0899720547766123,1,21.0,1,1,-0.425588121330692,-0.425588121330692
2016-07-28,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,1.2027809038814485,1.2343277708771168,0.0,-0.04215764493262599,1.1889944743952532,1,9.0,1,1,-0.17708984080524132,-0.17708984080524132
2016-07-29,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,1.2836732056047744,1.3851603039777909,0.0,1.6658973260832444,1.1449845101203016,1,2.0,1,1,1.146856073075779,1.1468560730757789
2016-07-30,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,1.2836732056047744,1.4431728167088196,0.0,1.4761134404148146,1.056964581570399,1,15.0,1,1,1.2775140708229378,1.2775140708229378
2016-07-31,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.3183413349147715,1.1995202632384996,0.0,0.41874607740498987,1.3100218761513693,1,16.0,1,1,-0.6972409837353861,-0.697240983735386
2016-08-02,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,1.1334446452614546,1.0370852275916191,0.0,-0.9910770732747762,1.1009745458453501,1,1.0,1,1,-1.1243603244721425,-1.1243603244721425
2016-08-03,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,1.2374490331914454,1.3387502937929683,0.0,-0.3403894652687305,1.1999969654639908,1,2.0,1,1,-0.6261233393919958,-0.6261233393919958
2016-08-04,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,1.3876775935347654,1.4547753192550255,0.0,0.852537816075687,1.3100218761513693,1,4.0,1,1,-0.4851284747344606,-0.4851284747344606
2016-08-05,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,1.4570138521547589,1.501185329439848,0.0,1.4761134404148146,1.3320268582888453,1,18.0,1,1,0.6845913848437426,0.6845913848437425
2016-08-06,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,1.5032380245680883,1.5940053498094944,0.0,0.933873767076443,1.4640567511136995,1,8.0,1,1,0.4150058958211238,0.4150058958211238
2016-08-07,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.4454578090514267,1.52439033453226,0.0,1.5845613750824885,1.3210243672201072,1,15.0,1,1,-0.9167960369117827,-0.9167960369117826
2016-08-09,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,1.8268072314613921,2.0000929389266946,0.0,0.7440898814080126,1.4530542600449614,1,14.0,1,1,-0.5703042580759629,-0.5703042580759629
2016-08-10,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,1.5032380245680883,1.5708003447170826,0.0,-0.12349359593338168,1.486061733251175,1,3.0,1,1,0.5473177922739428,0.5473177922739428
2016-08-11,air_6d64dba2edd4fc0c,0,0,0,0,1,0,0,1.295229248708107,1.3503527963391742,1.0,-0.12349359593338168,1.3980418047012722,1,6.0,1,1,0.20165296279095316,0.20165296279095313
2016-08-12,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,1.225892990088113,1.3271477912467624,0.0,0.03917830606812969,1.2880168940138936,1,1.0,1,1,-0.2800450352325911,-0.2800450352325911
2016-08-13,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,1.2027809038814485,1.3155452887005568,1.0,0.5000820284057456,1.1889944743952532,1,9.0,1,1,-0.09522185487505953,-0.09522185487505955
2016-08-14,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.145000688364787,1.1531102530536765,1.0,-0.4217254162694862,1.2109994565327287,1,7.0,1,1,-1.2492296767494904,-1.2492296767494904
2016-08-20,air_6d64dba2edd4fc0c,0,0,1,0,0,0,0,1.1103325590547901,1.1067002428688537,0.0,-1.018189056941695,1.277014402945156,1,9.0,1,1,0.5129993941314929,0.5129993941314929
2016-08-21,air_6d64dba2edd4fc0c,0,0,0,1,0,0,0,1.3645655073281004,1.512787831986054,0.0,0.6898659140741756,1.2109994565327287,1,11.0,1,1,-1.1305624446183684,-1.1305624446183684
2016-08-23,air_6d64dba2edd4fc0c,0,0,0,0,0,1,0,1.2374490331914454,1.1531102530536765,0.0,-0.9910770732747762,1.2880168940138936,1,4.0,1,1,-0.9093534927363116,-0.9093534927363115
2016-08-24,air_6d64dba2edd4fc0c,0,0,0,0,0,0,1,1.2027809038814485,1.2459302734233224,0.0,-0.9368531059409392,1.2109994565327287,1,14.0,1,1,-0.6980679330882162,-0.6980679330882161
2016-08-26,air_6d64dba2edd4fc0c,1,0,0,0,0,0,0,1.4107896797414299,1.4315703141626137,0.0,1.3134415384133027,1.266011911876418,1,15.0,1,1,0.9748506076871143,0.9748506076871142
