visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Tōkyō-to Shibuya-ku Higashi,total_area_visitors,total_genre_visitors
2016-07-01,air_5e339a1f364cdb00,1,0,0,0,0,0,0,1.0254386207503499,1.108441942966016,0.0,-0.13003953443777005,0.9695648830684087,1,21.0,1,1,1.3390043275706836,1.339004327570684
2016-07-02,air_5e339a1f364cdb00,0,0,1,0,0,0,0,1.1901377556517716,1.24980578659173,0.0,0.5252727703740024,1.1267412959923992,1,9.0,1,1,1.4941496583478104,1.4941496583478107
2016-07-04,air_5e339a1f364cdb00,0,1,0,0,0,0,0,1.2842515470240126,1.4854121926345865,0.0,0.5776977547589441,1.1491950692672555,1,19.0,1,1,-1.195654676919744,-1.1956546769197438
2016-07-05,air_5e339a1f364cdb00,0,0,0,0,0,1,0,0.5666338878106749,0.519425927858874,0.0,-1.2833891909064898,0.7674809235947061,1,21.0,1,1,-0.5450093064596885,-0.5450093064596881
2016-07-06,air_5e339a1f364cdb00,0,0,0,0,0,0,1,0.7313330227120969,0.6725700917867306,0.0,-0.20867701101518293,0.80116158350699,1,13.0,1,1,-0.09664672373536037,-0.09664672373536
2016-07-07,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.2371946513378917,1.8270414813967295,0.0,2.071809809729786,0.9583379964309806,1,21.0,1,1,-0.16197107353625587,-0.16197107353625548
2016-07-08,air_5e339a1f364cdb00,1,0,0,0,0,0,0,0.9901459489857595,1.0141993805488732,0.0,-0.7329268548646009,0.9807917697058367,1,15.0,1,1,1.1378350230701986,1.137835023070199
2016-07-09,air_5e339a1f364cdb00,0,0,1,0,0,0,0,0.6489834552613857,0.43696368574387373,0.0,-1.2833891909064898,0.7787078102321342,1,9.0,1,1,1.4343927247231276,1.4343927247231278
2016-07-10,air_5e339a1f364cdb00,0,0,0,1,0,0,0,1.0254386207503499,1.1909041850810158,0.0,1.7834723956126055,0.7674809235947061,1,1.0,1,1,-0.2863100348050058,-0.28631003480500544
2016-07-11,air_5e339a1f364cdb00,0,1,0,0,0,0,0,1.3077799948670727,1.450071231728158,0.0,1.993172333152373,1.0032455429806926,1,12.0,1,1,-1.24501910034883,-1.2450191003488296
2016-07-12,air_5e339a1f364cdb00,0,0,0,0,0,1,0,1.201901979573302,1.24980578659173,0.0,0.36799781721917696,1.2614639356415347,1,37.0,1,1,-0.5301628633231213,-0.5301628633231209
2016-07-13,air_5e339a1f364cdb00,0,0,0,0,0,0,1,0.9666175011426994,0.7550323339017307,0.0,-1.2833891909064898,1.1379681826298274,1,24.0,1,1,-0.4585287751891848,-0.45852877518918445
2016-07-14,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.06073129251494,1.379389309915301,0.0,-0.2611019954001247,0.8909766766064133,1,18.0,1,1,-0.24473999402261776,-0.24473999402261737
2016-07-15,air_5e339a1f364cdb00,1,0,0,0,0,0,0,0.6254550074183255,0.33094080302458834,0.0,-1.2833891909064898,0.8572960166941295,1,18.0,1,1,0.9277578526877734,0.9277578526877738
2016-07-16,air_5e339a1f364cdb00,0,0,1,0,0,0,0,0.8489752619273981,0.7668126542038733,0.0,-0.8639893158269554,0.7562540369572784,1,10.0,1,1,1.3761204354121015,1.376120435412102
2016-07-17,air_5e339a1f364cdb00,0,0,0,1,0,0,0,1.06073129251494,0.8963961775274447,0.0,-1.257176698714019,1.1491950692672555,1,5.0,1,1,0.4593525717290796,0.45935257172908
2016-07-19,air_5e339a1f364cdb00,0,0,0,0,0,1,0,1.2254304274163619,1.3087073881024438,0.0,0.3417853250267061,1.1604219559046831,1,18.0,1,1,-0.8783119548756212,-0.8783119548756207
2016-07-20,air_5e339a1f364cdb00,0,0,0,0,0,0,1,1.1077881882010607,1.0259797008510159,0.0,-0.07761455005282843,1.1155144093549716,1,19.0,1,1,-0.40174113019181545,-0.40174113019181507
2016-07-21,air_5e339a1f364cdb00,0,0,0,0,1,0,0,0.5783981117322052,0.3662817639310169,0.0,-1.2833891909064898,0.8460691300567015,1,12.0,1,1,-0.18312725500586405,-0.1831272550058637
2016-07-22,air_5e339a1f364cdb00,1,0,0,0,0,0,0,0.5313412160460844,0.1777966390967313,0.0,-1.2833891909064898,0.7899346968695619,1,17.0,1,1,0.9908552360181838,0.9908552360181841
2016-07-23,air_5e339a1f364cdb00,0,0,1,0,0,0,0,0.6489834552613857,0.6961307323910165,0.0,-0.9164143002118972,0.7225733770449946,1,16.0,1,1,1.3037440251213366,1.303744025121337
2016-07-25,air_5e339a1f364cdb00,0,1,0,0,0,0,0,0.9195606054565786,0.790373294808159,0.0,-1.0736892533667226,0.8685229033315576,1,15.0,1,1,-1.102122085159371,-1.1021220851593707
2016-07-26,air_5e339a1f364cdb00,0,0,0,0,0,1,0,0.8136825901628076,0.7314716932974448,0.0,-1.257176698714019,0.902203563243841,1,9.0,1,1,-0.377986821173308,-0.3779868211733076
2016-07-27,air_5e339a1f364cdb00,0,0,0,0,0,0,1,0.8960321576135184,0.7196913729953022,0.0,-1.2047517143290771,1.0144724296181202,1,18.0,1,1,-0.17644635559440883,-0.17644635559440847
2016-07-28,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.131316636044121,1.1673435444767302,0.0,0.07966040310199712,1.1155144093549716,1,24.0,1,1,0.04662145253251269,0.04662145253251305
2016-07-29,air_5e339a1f364cdb00,1,0,0,0,0,0,0,1.2136662034948318,1.3204877084045867,0.0,1.731047411227664,1.0706068628052599,1,21.0,1,1,1.2350792256147136,1.2350792256147138
2016-07-30,air_5e339a1f364cdb00,0,0,1,0,0,0,0,1.2136662034948318,1.379389309915301,0.0,1.5475599658803678,0.9807917697058367,1,14.0,1,1,1.352366126393594,1.3523661263935944
2016-07-31,air_5e339a1f364cdb00,0,0,0,1,0,0,0,1.248958875259422,1.1320025835703016,0.0,0.5252727703740024,1.2390101623666785,1,1.0,1,1,-0.42029918411252437,-0.420299184112524
2016-08-01,air_5e339a1f364cdb00,0,1,0,0,0,0,0,1.2371946513378917,1.2144648256853015,0.0,-0.7853518392495427,1.2614639356415347,1,18.0,1,1,-1.156311602607841,-1.1563116026078408
2016-08-02,air_5e339a1f364cdb00,0,0,0,0,0,1,0,1.06073129251494,0.9670780993403015,0.0,-0.8377768236344845,1.0256993162555483,1,18.0,1,1,-0.8037085781143712,-0.8037085781143708
2016-08-03,air_5e339a1f364cdb00,0,0,0,0,0,0,1,1.1666093078087114,1.2733664271960157,0.0,-0.20867701101518293,1.1267412959923992,1,19.0,1,1,-0.3564594786252856,-0.3564594786252852
2016-08-04,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.319544218788603,1.391169630217444,0.0,0.9446726454535368,1.2390101623666785,1,12.0,1,1,-0.2298935508860506,-0.22989355088605024
2016-08-05,air_5e339a1f364cdb00,1,0,0,0,0,0,0,1.3901295623177836,1.4382909114260152,0.0,1.5475599658803678,1.2614639356415347,1,20.0,1,1,0.8201211399476616,0.8201211399476619
2016-08-07,air_5e339a1f364cdb00,0,0,0,1,0,0,0,1.3783653383962537,1.4618515520303013,0.0,1.652409934650251,1.2502370490041066,1,20.0,1,1,-0.6173857167504534,-0.617385716750453
2016-08-08,air_5e339a1f364cdb00,0,1,0,0,0,0,0,1.3666011144747234,1.41473027082173,0.0,-0.07761455005282843,1.3400521421035299,1,13.0,1,1,-1.1377535486871322,-1.1377535486871317
2016-08-09,air_5e339a1f364cdb00,0,0,0,0,0,1,0,1.7665847278067475,1.944844684418158,0.0,0.8398226766836531,1.3849596886532414,1,14.0,1,1,-0.30635273303937144,-0.30635273303937105
2016-08-10,air_5e339a1f364cdb00,0,0,0,0,0,0,1,1.4371864580039042,1.5089728332388723,0.0,0.001022926524584464,1.4186403485655252,1,15.0,1,1,0.6968956619141541,0.6968956619141544
2016-08-11,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.2254304274163619,1.2851467474981586,1.0,0.001022926524584464,1.328825255466102,1,22.0,1,1,0.3866050003599006,0.3866050003599009
2016-08-12,air_5e339a1f364cdb00,1,0,0,0,0,0,0,1.154845083887181,1.2615861068938725,0.0,0.15829787967940978,1.2165563890918227,1,9.0,1,1,-0.04579765599261786,-0.045797655992617495
2016-08-15,air_5e339a1f364cdb00,0,1,0,0,0,0,0,1.1430808599656512,1.1320025835703016,1.0,-1.0999017455591935,1.2390101623666785,1,8.0,1,1,-1.4413633108299306,-1.4413633108299302
2016-08-16,air_5e339a1f364cdb00,0,0,0,0,0,1,0,1.1783735317302413,1.402949950519587,0.0,-0.7329268548646009,1.1604219559046831,1,18.0,1,1,-1.3237052489726358,-1.3237052489726355
2016-08-17,air_5e339a1f364cdb00,0,0,0,0,0,0,1,1.3901295623177836,1.5443137941453007,0.0,1.3378600283406004,1.0818337494426877,1,14.0,1,1,-0.8215243098782518,-0.8215243098782514
2016-08-18,air_5e339a1f364cdb00,0,0,0,0,1,0,0,1.1783735317302413,1.2262451459874444,0.0,-0.9950517767893099,1.328825255466102,1,19.0,1,1,-0.546122789694931,-0.5461227896949307
