visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Niigata-ken Kashiwazaki-shi Chūōchō,total_area_visitors,total_genre_visitors
2016-01-08,air_17bed6dbf7c8b0fc,1,0,0,0,0,0,0,-1.095916665461827,-1.0626964027408334,0.0,-0.9651784431496448,-0.9468807983125229,1,24.0,1,1,-1.0349754866613665,-1.0349754866613665
2016-01-09,air_17bed6dbf7c8b0fc,0,0,1,0,0,0,0,-1.1429189260249393,-1.2157463172322611,0.0,-0.9651784431496448,-0.9468807983125229,1,17.0,1,1,-0.7840664794125365,-0.7840664794125364
2016-01-12,air_17bed6dbf7c8b0fc,0,0,0,0,0,1,0,-1.4131819242628356,-1.7076924709547079,0.0,-0.9651784431496448,-1.092389970269142,1,15.0,1,1,-1.4658094205228156,-1.4658094205228156
2016-01-13,air_17bed6dbf7c8b0fc,0,0,0,0,0,0,1,-1.1194177957433833,-1.2157463172322611,0.0,-0.1697335881236388,-0.9832580913016776,1,12.0,1,1,-1.2676455287467256,-1.2676455287467256
2016-01-14,air_17bed6dbf7c8b0fc,0,0,0,0,1,0,0,-1.3074268379958327,-1.3250676847261382,0.0,-0.9651784431496448,-1.0196353842908326,1,14.0,1,1,-1.1776830654404162,-1.1776830654404162
2016-01-15,air_17bed6dbf7c8b0fc,1,0,0,0,0,0,0,-1.4131819242628356,-1.368796231723689,0.0,0.5230732210925599,-1.3349052568635074,1,24.0,1,1,-0.9095209830369515,-0.9095209830369515
2016-01-16,air_17bed6dbf7c8b0fc,0,0,1,0,0,0,0,-1.2369234471511643,-1.1720177702347105,0.0,-0.9651784431496448,-1.0560126772799872,1,37.0,1,1,-0.7663204592534836,-0.7663204592534836
2016-01-18,air_17bed6dbf7c8b0fc,0,1,0,0,0,0,0,-1.0489144048987145,-0.854985804502467,0.0,-0.9651784431496448,-0.8377489193450585,1,18.0,1,1,-1.6267559644653362,-1.6267559644653362
2016-01-19,air_17bed6dbf7c8b0fc,0,0,0,0,0,1,0,-1.1311683608841614,-1.117357086487772,0.0,-0.144074076671187,-1.043886912950269,1,22.0,1,1,-1.397290064908695,-1.3972900649086948
2016-01-20,air_17bed6dbf7c8b0fc,0,0,0,0,0,0,1,-1.0136627094763804,-1.150153496735935,0.0,-0.9138594202447412,-1.1408930275880151,1,25.0,1,1,-1.276025593821834,-1.276025593821834
