visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-03,air_9f277fb7a2c1d842,0,0,0,1,0,0,0,-0.7363182046817666,-0.4310607484669964,1.0,0.7414127747252827,-1.0099894899956947,1,15.0,1,1,-1.6993145987922063,-1.6993145987922063
2016-01-04,air_9f277fb7a2c1d842,0,1,0,0,0,0,0,-0.7488543402091895,-0.5552116930445051,0.0,0.8902024265718944,-0.8417627878198801,1,10.0,1,1,-1.4981853400310545,-1.4981853400310545
2016-01-05,air_9f277fb7a2c1d842,0,0,0,0,0,1,0,-0.5357400362430023,-0.5303815041290033,0.0,0.7662110500330511,-0.7576494367319729,1,2.0,1,1,-1.3657343647493205,-1.3657343647493205
2016-01-06,air_9f277fb7a2c1d842,0,0,0,0,0,0,1,-0.7864627467914577,-1.0394003768967892,0.0,-1.316844075819515,-0.5173255764808092,1,2.0,1,1,-1.3004125387331829,-1.3004125387331829
2016-01-07,air_9f277fb7a2c1d842,0,0,0,0,1,0,0,-0.8115350178463033,-0.8407588655727752,0.0,-0.12652686104662014,-0.829746594807322,1,6.0,1,1,-1.2299269320043067,-1.2299269320043067
2016-01-08,air_9f277fb7a2c1d842,1,0,0,0,0,0,0,-1.0497215928673358,-1.0890607547277928,0.0,0.8406058759563568,-0.9979732969831366,1,21.0,1,1,-0.8893755939992247,-0.8893755939992247
2016-01-09,air_9f277fb7a2c1d842,0,0,1,0,0,0,0,-0.987040915230222,-1.0021550935235368,0.0,0.8902024265718944,-1.0340218760208113,1,4.0,1,1,-0.626539155720852,-0.626539155720852
2016-01-10,air_9f277fb7a2c1d842,0,0,0,1,0,0,0,-0.9118241020656853,-0.8407588655727752,0.0,0.9397989771874316,-1.0820866480710438,1,30.0,1,1,-0.9175181988836477,-0.9175181988836477
2016-01-11,air_9f277fb7a2c1d842,0,1,0,0,0,0,0,-1.0121131862850674,-1.1387211325587965,1.0,-0.4985009906631498,-0.9138599458952293,1,17.0,1,1,-1.285953952737516,-1.285953952737516
2016-01-12,air_9f277fb7a2c1d842,0,0,0,0,0,1,0,-1.4759502007997096,-1.684985288699835,0.0,-1.316844075819515,-1.2623295432594166,1,13.0,1,1,-1.3406900282925405,-1.3406900282925405
2016-01-13,air_9f277fb7a2c1d842,0,0,0,0,0,0,1,-1.363124981052905,-1.2380418882208035,0.0,0.8406058759563568,-1.478621017485464,1,3.0,1,1,-1.133106043640466,-1.133106043640466
2016-01-14,air_9f277fb7a2c1d842,0,0,0,0,1,0,0,-1.1500106770867178,-1.0269852824390384,0.0,0.9397989771874316,-1.3464428943473241,1,16.0,1,1,-1.0388670456329947,-1.0388670456329947
