visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-01-05,air_d138b593ebda55cc,0,0,0,0,0,1,0,-0.8679046275711796,-1.0170068122209808,0.0,-1.2430716304549267,-0.6471647863420734,1,7.0,1,1,-1.4025787091156592,-1.4025787091156592
2016-01-06,air_d138b593ebda55cc,0,0,0,0,0,0,1,-0.916925080320066,-1.0639753905670692,0.0,-1.2430716304549267,-0.7787102409901623,1,13.0,1,1,-1.3379149456511652,-1.3379149456511652
2016-01-07,air_d138b593ebda55cc,0,0,0,0,1,0,0,-0.9659455330689526,-1.2518497039514227,0.0,-1.1440180916948415,-0.6352061086467927,1,9.0,1,1,-1.2681394222290037,-1.2681394222290037
2016-01-08,air_d138b593ebda55cc,1,0,0,0,0,0,0,-1.1620273440644984,-1.4397240173357762,0.0,-1.2430716304549267,-0.8385036294665662,1,4.0,1,1,-0.9310188530208315,-0.9310188530208315
2016-01-09,air_d138b593ebda55cc,0,0,1,0,0,0,0,-1.113006891315612,-1.40449758357621,0.0,-1.1935448610748842,-0.7906689186854431,1,18.0,1,1,-0.6708302711755554,-0.6708302711755554
2016-01-10,air_d138b593ebda55cc,0,0,0,1,0,0,0,-1.113006891315612,-1.1931389810188122,0.0,-0.3020630122341177,-0.9939664395052165,1,13.0,1,1,-0.9588779447901195,-0.9588779447901195
2016-01-12,air_d138b593ebda55cc,0,0,0,0,0,1,0,-1.1620273440644984,-1.392755438989688,0.0,-1.1440180916948415,-1.0418011502863396,1,2.0,1,1,-1.3777866733209718,-1.3777866733209718
2016-01-13,air_d138b593ebda55cc,0,0,0,0,0,0,1,-1.3703642682472659,-1.6158561861336076,0.0,-0.9954377835547138,-1.2092226380202709,1,5.0,1,1,-1.1722939230227378,-1.1722939230227378
2016-01-14,air_d138b593ebda55cc,0,0,0,0,1,0,0,-1.2600682495622715,-1.4397240173357762,0.0,-0.8220940907245647,-1.1374705718485858,1,9.0,1,1,-1.0790043037953059,-1.0790043037953059
2016-01-15,air_d138b593ebda55cc,1,0,0,0,0,0,0,-1.3703642682472659,-1.1813968364322902,0.0,0.9856329916469896,-1.3527267703636403,1,15.0,1,1,-0.8009245620981935,-0.8009245620981935
2016-01-16,air_d138b593ebda55cc,0,0,1,0,0,0,0,-1.1620273440644984,-0.9582960892883704,0.0,0.688472375366734,-1.3646854480589212,1,8.0,1,1,-0.6524279353279524,-0.6524279353279524
2016-01-17,air_d138b593ebda55cc,0,0,0,1,0,0,0,-1.211047796813385,-1.392755438989688,0.0,-1.2430716304549267,-1.0896358610674628,1,7.0,1,1,-1.259449430300969,-1.259449430300969
2016-01-18,air_d138b593ebda55cc,0,1,0,0,0,0,0,-1.2600682495622715,-1.2988182822975112,0.0,-0.6982771672744583,-1.4483961919258865,1,3.0,1,1,-1.544685635938816,-1.544685635938816
2016-01-19,air_d138b593ebda55cc,0,0,0,0,0,1,0,-1.7992932298000226,-2.0972841141810137,0.0,-1.2183082457649055,-1.5201482580975714,1,8.0,1,1,-1.3067332099093933,-1.3067332099093933
2016-01-20,air_d138b593ebda55cc,0,0,0,0,0,0,1,-1.7502727770511364,-1.8154726441044833,0.0,-0.6982771672744583,-1.556024291183414,1,24.0,1,1,-1.1809839149507726,-1.1809839149507726
