visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-01-05,air_55390f784018349a,0,0,0,0,0,1,0,-0.49963554233318197,-0.4993465937690473,0.0,0.754452283123825,-0.7140120533729457,1,39.0,1,1,-1.460753733638867,-1.460753733638867
2016-01-06,air_55390f784018349a,0,0,0,0,0,0,1,-0.7546719523695236,-1.0198670483274312,0.0,-1.321053055644813,-0.4727861832064525,1,33.0,1,1,-1.3982960096817347,-1.3982960096817347
2016-01-07,air_55390f784018349a,0,0,0,0,1,0,0,-0.7801755933731578,-0.8167371148412327,0.0,-0.1350500049198771,-0.7863798144228936,1,43.0,1,1,-1.3309009162418253,-1.3309009162418253
2016-01-08,air_55390f784018349a,1,0,0,0,0,0,0,-1.022460182907682,-1.0706495316989808,0.0,0.8285774737941332,-0.955237923539439,1,34.0,1,1,-1.0052813988526657,-1.0052813988526654
2016-01-09,air_55390f784018349a,0,0,1,0,0,0,0,-0.9587010803985968,-0.9817801857987691,0.0,0.8779942675743391,-0.991421804064413,1,66.0,1,1,-0.7539692921793035,-0.7539692921793034
2016-01-12,air_55390f784018349a,0,0,0,0,0,1,0,-1.4560220799694628,-1.6800393321575768,0.0,-1.321053055644813,-1.2205863807225814,1,37.0,1,1,-1.4368074916473972,-1.4368074916473972
2016-01-13,air_55390f784018349a,0,0,0,0,0,0,1,-1.341255695453109,-1.22299698181363,0.0,0.8285774737941332,-1.4376896638724255,1,35.0,1,1,-1.2383252384397518,-1.2383252384397516
2016-01-14,air_55390f784018349a,0,0,0,0,1,0,0,-1.1244747469222187,-1.0071714274845438,0.0,0.9274110613545447,-1.3050154352808543,1,44.0,1,1,-1.148218245379067,-1.1482182453790668
2016-01-15,air_55390f784018349a,1,0,0,0,0,0,0,-1.1754820289294872,-1.0706495316989808,0.0,0.6803270924535163,-1.0879121521310102,1,28.0,1,1,-0.8796253455159845,-0.8796253455159845
2016-01-16,air_55390f784018349a,0,0,1,0,0,0,0,-1.0607156444131334,-0.9563889441129941,0.0,0.9274110613545447,-1.1120347391476595,1,53.0,1,1,-0.7361947620413054,-0.7361947620413053
