visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-07-01,air_f9168b23fdfc1e52,1,0,0,0,0,0,0,1.1167169240927215,1.2551731970088067,0.0,-0.6392381674190093,1.0292256561508757,1,45.0,1,1,1.3218216902483495,1.3218216902483495
2016-07-02,air_f9168b23fdfc1e52,0,0,1,0,0,0,0,1.2391117487047931,1.3783417215897715,0.0,-0.12571055406470188,1.1745951472594176,1,12.0,1,1,1.4739242706614344,1.4739242706614344
2016-07-04,air_f9168b23fdfc1e52,0,1,0,0,0,0,0,1.3837601777917872,1.6022844935551617,0.0,0.27970598279396175,1.288814033130415,1,16.0,1,1,-1.1631269261175732,-1.1631269261175732
2016-07-05,air_f9168b23fdfc1e52,0,0,0,0,0,1,0,0.6493912301193565,0.560950603916097,0.0,-1.3960157028885147,0.8319384896464258,1,13.0,1,1,-0.5252421809880575,-0.5252421809880575
2016-07-06,air_f9168b23fdfc1e52,0,0,0,0,0,0,1,0.871927274868578,0.8744704846676432,0.0,-0.9095158586581183,0.8734726299631523,1,21.0,1,1,-0.08567300122966907,-0.08567300122966907
2016-07-07,air_f9168b23fdfc1e52,0,0,0,0,1,0,0,1.328126166604482,1.9381986515032468,0.0,1.3878445168743092,1.0292256561508757,1,13.0,1,1,-0.14971619298254688,-0.14971619298254688
2016-07-08,air_f9168b23fdfc1e52,1,0,0,0,0,0,0,1.0833365173803382,1.154398949624381,0.0,-0.8284325512863856,1.0499927263092388,1,18.0,1,1,1.1245977701911918,1.1245977701911918
2016-07-09,air_f9168b23fdfc1e52,0,0,1,0,0,0,0,0.749532450256506,0.47137349512994126,0.0,-1.3960157028885147,0.8942397001215153,1,17.0,1,1,1.415339305478404,1.415339305478404
2016-07-11,air_f9168b23fdfc1e52,0,1,0,0,0,0,0,1.3726333755543265,1.6134816321534304,0.0,1.3608167477503978,1.1226774718635097,1,4.0,1,1,-1.2115232017035547,-1.2115232017035547
2016-07-12,air_f9168b23fdfc1e52,0,0,0,0,0,1,0,1.316999364367021,1.40073599878631,0.0,0.6310669814048036,1.288814033130415,1,7.0,1,1,-0.5106869101351308,-0.5106869101351308
