visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-07-01,air_cb25551c4cd8d9f3,1,0,0,0,0,0,0,1.1030419595542749,1.1809670980757816,0.0,-0.18861061621334738,1.0488551510656838,1,16.0,1,1,1.3554253613014215,1.3554253613014215
2016-07-02,air_cb25551c4cd8d9f3,0,0,1,0,0,0,0,1.2645040248089339,1.3199981915714047,0.0,0.47116336219662924,1.202828499841656,1,14.0,1,1,1.5187709154505726,1.5187709154505726
2016-07-03,air_cb25551c4cd8d9f3,0,0,0,1,0,0,0,1.5182301273519698,1.7370914720582742,0.0,0.6559000761514225,1.334805655935347,1,3.0,1,1,-0.5207038383877507,-0.5207038383877509
2016-07-05,air_cb25551c4cd8d9f3,0,0,0,0,0,1,0,0.6532547777734379,0.6016708751773515,0.0,-1.3498128182149063,0.8508894169251477,1,12.0,1,1,-0.6281680187490343,-0.6281680187490344
2016-07-06,air_cb25551c4cd8d9f3,0,0,0,0,0,0,1,0.8147168430280974,0.752287893130943,0.0,-0.2677834936225448,0.8838837059485706,1,2.0,1,1,-0.1561071828347414,-0.15610718283474154
2016-07-07,air_cb25551c4cd8d9f3,0,0,0,0,1,0,0,1.3106360434531221,1.8877084900118666,0.0,2.028229951244174,1.0378570547245427,1,9.0,1,1,-0.2248842582659629,-0.224884258265963
2016-07-08,air_cb25551c4cd8d9f3,1,0,0,0,0,0,0,1.0684429455711335,1.0882797024120328,0.0,-0.795602676350526,1.0598532474068247,1,9.0,1,1,1.1436232312802737,1.1436232312802734
2016-07-09,air_cb25551c4cd8d9f3,0,0,1,0,0,0,0,0.7339858104007675,0.520569403971571,0.0,-1.3498128182149063,0.8618875132662889,1,6.0,1,1,1.455855522584512,1.455855522584512
2016-07-10,air_cb25551c4cd8d9f3,0,0,0,1,0,0,0,1.1030419595542749,1.2620685692815619,0.0,1.737929400743784,0.8508894169251477,1,5.0,1,1,-0.35579516888789015,-0.35579516888789026
2016-07-12,air_cb25551c4cd8d9f3,0,0,0,0,0,1,0,1.2760370294699812,1.3199981915714047,0.0,0.3128176073782347,1.334805655935347,1,8.0,1,1,-0.6125368652419385,-0.6125368652419386
