visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-01-01,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-0.9515969806275243,-0.9361946085485529,1.0,0.9206881170472206,-0.9258060246181465,1,34.0,1,1,-1.9646543200895736,-1.9646543200895736
2016-01-02,air_36bcf77d3382d36e,0,0,1,0,0,0,0,-0.976652255770249,-0.7741864217339229,1.0,0.5468629360998466,-1.045628546544982,1,43.0,1,1,-1.8145513498613606,-1.8145513498613606
2016-01-03,air_36bcf77d3382d36e,0,0,0,1,0,0,0,-0.7260995043430024,-0.4252457116716435,1.0,0.7462363659384462,-0.9976995377742477,1,30.0,1,1,-1.677909390499637,-1.677909390499637
2016-01-05,air_36bcf77d3382d36e,0,0,0,0,0,1,0,-0.5256573032012053,-0.5249430574037233,0.0,0.7711580446682711,-0.7460722417278935,1,38.0,1,1,-1.3497655029618176,-1.3497655029618176
2016-01-06,air_36bcf77d3382d36e,0,0,0,0,0,0,1,-0.7762100546284517,-1.0358919542806326,0.0,-1.3222629686370235,-0.5064271978742229,1,22.0,1,1,-1.285508224674613,-1.285508224674613
2016-01-07,air_36bcf77d3382d36e,0,0,0,0,1,0,0,-0.8012653297711765,-0.8364972628164729,0.0,-0.1260223896054267,-0.8179657548839947,1,18.0,1,1,-1.216171319645337,-1.216171319645337
2016-01-08,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-1.0392904436270605,-1.0857406271466725,0.0,0.8459230808577457,-0.9857172855815642,1,18.0,1,1,-0.881169936005721,-0.881169936005721
2016-01-09,air_36bcf77d3382d36e,0,0,1,0,0,0,0,-0.976652255770249,-0.9985054496311028,0.0,0.8957664383173958,-1.0216640421596148,1,47.0,1,1,-0.6226169348342813,-0.6226169348342813
2016-01-10,air_36bcf77d3382d36e,0,0,0,1,0,0,0,-0.901486430342075,-0.8364972628164729,0.0,0.9456097957770455,-1.0695930509303488,1,47.0,1,1,-0.9088539017500107,-0.9088539017500107
2016-01-11,air_36bcf77d3382d36e,0,1,0,0,0,0,0,-1.0017075309129737,-1.1355893000127126,1.0,-0.4998475705528007,-0.9018415202327794,1,43.0,1,1,-1.271285269796813,-1.271285269796813
2016-01-12,air_36bcf77d3382d36e,0,0,0,0,0,1,0,-1.4652301210533796,-1.6839247015391519,0.0,-1.3222629686370235,-1.2493268338206018,1,21.0,1,1,-1.3251293132627708,-1.3251293132627708
2016-01-13,air_36bcf77d3382d36e,0,0,0,0,0,0,1,-1.3524813829111186,-1.2352866457447926,0.0,0.8459230808577457,-1.4650073732889055,1,11.0,1,1,-1.1209283182314962,-1.1209283182314962
2016-01-14,air_36bcf77d3382d36e,0,0,0,0,1,0,0,-1.139511544197959,-1.0234297860641226,0.0,0.9456097957770455,-1.3332025991693865,1,20.0,1,1,-1.028225130188691,-1.028225130188691
2016-01-15,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-1.1896220944834086,-1.0857406271466725,0.0,0.6963930084787961,-1.117522059701083,1,21.0,1,1,-0.7518934354200011,-0.7518934354200011
2016-01-16,air_36bcf77d3382d36e,0,0,1,0,0,0,0,-1.0768733563411474,-0.9735811131980827,0.0,0.9456097957770455,-1.14148656408645,1,50.0,1,1,-0.6043302785628238,-0.6043302785628238
2016-01-17,air_36bcf77d3382d36e,0,0,0,1,0,0,0,-1.1645668193406837,-1.3723704961264023,0.0,-0.5496909280124506,-1.0815753031230326,1,49.0,1,1,-1.2075359541838153,-1.2075359541838153
2016-01-18,air_36bcf77d3382d36e,0,1,0,0,0,0,0,-1.5403959464815535,-1.671462533322642,0.0,-0.9733594664194745,-1.3332025991693865,1,11.0,1,1,-1.4909791263914056,-1.4909791263914056
2016-01-19,air_36bcf77d3382d36e,0,0,0,0,0,1,0,-1.25226028234022,-1.3723704961264023,0.0,0.9456097957770455,-1.2493268338206018,1,20.0,1,1,-1.2545225015479768,-1.2545225015479768
2016-01-20,air_36bcf77d3382d36e,0,0,0,0,0,0,1,-1.3775366580538433,-1.3100596550438524,0.0,0.9705314745068704,-1.4410428689035382,1,17.0,1,1,-1.1295636836930179,-1.1295636836930179
2016-01-21,air_36bcf77d3382d36e,0,0,0,0,1,0,0,-1.214677369626133,-1.2602109821778125,0.0,0.5219412573700217,-1.2373445816279183,1,13.0,1,1,-1.0076526418833016,-1.0076526418833016
2016-01-22,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-1.1645668193406837,-1.1605136364457325,0.0,0.6963930084787961,-0.9976995377742477,1,22.0,1,1,-0.6995732799766646,-0.6995732799766646
2016-01-23,air_36bcf77d3382d36e,0,0,1,0,0,0,0,-1.402591933196568,-1.646538196889622,0.0,-1.2724196111773736,-1.045628546544982,1,51.0,1,1,-0.6264266548908348,-0.6264266548908348
2016-01-24,air_36bcf77d3382d36e,0,0,0,1,0,0,0,-1.477757758624742,-1.2975974868273425,0.0,0.9206881170472206,-1.500954129866956,1,47.0,1,1,-1.3225894998917351,-1.3225894998917351
2016-01-25,air_36bcf77d3382d36e,0,1,0,0,0,0,0,-1.5278683089101912,-1.397294832559422,0.0,1.0702181894261702,-1.6687056605645254,1,30.0,1,1,-1.347225689590782,-1.347225689590782
2016-01-26,air_36bcf77d3382d36e,0,0,0,0,0,1,0,-1.4151195707679303,-1.2477488139613024,0.0,0.8210014021279208,-1.5129363820596395,1,14.0,1,1,-1.1747723616974541,-1.1747723616974541
2016-01-27,air_36bcf77d3382d36e,0,0,0,0,0,0,1,-1.101928631483872,-0.7741864217339229,0.0,1.0203748319665205,-1.4889718776742724,1,20.0,1,1,-1.0233994847837233,-1.0233994847837233
2016-01-28,air_36bcf77d3382d36e,0,0,0,0,1,0,0,-0.9140140679134374,-0.6994134124348631,0.0,1.0203748319665205,-1.1055398075083995,1,22.0,1,1,-1.0289870742000018,-1.0289870742000018
2016-01-29,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-1.214677369626133,-1.472067841858482,0.0,-1.3222629686370235,-1.045628546544982,1,31.0,1,1,-0.8862495627477925,-0.8862495627477925
2016-01-30,air_36bcf77d3382d36e,0,0,1,0,0,0,0,-1.477757758624742,-1.8210085519207617,0.0,-1.3222629686370235,-1.1774333206645007,1,45.0,1,1,-0.5852816782800556,-0.5852816782800556
2016-01-31,air_36bcf77d3382d36e,0,0,0,1,0,0,0,-1.126983906626597,-1.0483541224971427,0.0,-0.05125735341595193,-1.2013978250498676,1,56.0,1,1,-1.1392149745029536,-1.1392149745029536
2016-02-01,air_36bcf77d3382d36e,0,1,0,0,0,0,0,-1.3023708326256695,-1.6091516922400921,0.0,-1.3222629686370235,-1.045628546544982,1,17.0,1,1,-1.3931963116065291,-1.3931963116065291
2016-02-02,air_36bcf77d3382d36e,0,0,0,0,0,1,0,-1.139511544197959,-1.1106649635796926,0.0,0.796079723398096,-1.045628546544982,1,9.0,1,1,-1.2453791734122481,-1.2453791734122481
2016-02-03,air_36bcf77d3382d36e,0,0,0,0,0,0,1,-1.2647879199115823,-1.2975974868273425,0.0,0.4471762211805468,-1.1774333206645007,1,16.0,1,1,-1.170708660303797,-1.170708660303797
2016-02-04,air_36bcf77d3382d36e,0,0,0,0,1,0,0,-1.25226028234022,-1.2602109821778125,0.0,0.14811607642264774,-1.225362329435235,1,15.0,1,1,-1.1331194224124679,-1.1331194224124679
2016-02-05,air_36bcf77d3382d36e,1,0,0,0,0,0,0,-0.9515969806275243,-0.7866485899504329,0.0,0.9206881170472206,-1.2852735903986525,1,17.0,1,1,-0.759766856870212,-0.759766856870212
