visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Itabashi-ku Itabashi,total_area_visitors,total_genre_visitors
2016-07-01,air_747f375eb3900e1e,1,0,0,0,0,0,0,1.08970123297076,1.1668968383798697,0.0,-0.16668572928213335,1.0390239237286927,1,3.0,1,1,1.9874402313232034,1.9874402313232036
2016-07-04,air_747f375eb3900e1e,0,1,0,0,0,0,0,1.3446299298671591,1.5400813987777464,0.0,0.5509253776695646,1.2155929467102307,1,15.0,1,1,-1.1219236821714433,-1.1219236821714431
2016-07-05,air_747f375eb3900e1e,0,0,0,0,0,1,0,0.637782179381689,0.5837959627581863,0.0,-1.3361260517219378,0.8403837728744628,1,2.0,1,1,-0.32375192344306214,-0.32375192344306186
2016-07-06,air_747f375eb3900e1e,0,0,0,0,0,0,1,0.800009531952125,0.7354021904198236,0.0,-0.2464202967212111,0.8734904646835011,1,11.0,1,1,0.22627174144221143,0.2262717414422117
2016-07-07,air_747f375eb3900e1e,0,0,0,0,1,0,0,1.298279257704177,1.8782799066383233,0.0,2.065882159012039,1.0279883597923465,1,4.0,1,1,0.14613584324700601,0.1461358432470063
2016-07-08,air_747f375eb3900e1e,1,0,0,0,0,0,0,1.0549382288485238,1.0736006982804003,0.0,-0.7779840796483948,1.050059487665039,1,5.0,1,1,1.740658090290241,1.7406580902902415
2016-07-11,air_747f375eb3900e1e,0,1,0,0,0,0,0,1.3678052659486497,1.5050953462404457,0.0,1.986147591572961,1.072130615537731,1,6.0,1,1,-1.1824809234212292,-1.182480923421229
2016-07-12,air_747f375eb3900e1e,0,0,0,0,0,1,0,1.2635162535819413,1.3068410485290736,0.0,0.3382998644986911,1.3259485860736917,1,6.0,1,1,-0.3055392193077882,-0.3055392193077879
2016-07-13,air_747f375eb3900e1e,0,0,0,0,0,0,1,1.031762892767033,0.8170363130068596,0.0,-1.3361260517219378,1.2045573827738842,1,4.0,1,1,-0.21766292185509134,-0.21766292185509103
2016-07-14,air_747f375eb3900e1e,0,0,0,0,1,0,0,1.124464237092996,1.4351232411658437,0.0,-0.2995766750139294,0.9617749761742701,1,6.0,1,1,0.04460001769285368,0.044600017692853974
2016-07-15,air_747f375eb3900e1e,1,0,0,0,0,0,0,0.695720519585416,0.3972036825592475,0.0,-1.3361260517219378,0.9286682843652316,1,3.0,1,1,1.4829483267761145,1.482948326776115
