visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Fukuoka-ken Kitakyūshū-shi None,total_area_visitors,total_genre_visitors
2016-01-04,air_622375b4815cf5cb,0,1,0,0,0,0,0,-0.6145674540858256,-0.46464452659480054,0.0,0.25105721810572496,-0.5175551947465437,1,34.0,1,1,-1.5187397772745936,-1.5187397772745939
2016-01-05,air_622375b4815cf5cb,0,0,0,0,0,1,0,-0.8587989535627688,-0.9191288886720891,0.0,-1.1949020690081853,-0.5886382916036638,1,42.0,1,1,-1.3881370528736334,-1.3881370528736336
2016-01-07,air_622375b4815cf5cb,0,0,0,0,1,0,0,-0.9687031283273932,-1.2337719085717507,0.0,-0.9954594087166115,-0.6597213884607838,1,20.0,1,1,-1.2542247077763526,-1.2542247077763529
2016-01-08,air_622375b4815cf5cb,1,0,0,0,0,0,0,-1.176299902882795,-1.3852666959308466,0.0,-1.1949020690081853,-0.861123496222624,1,16.0,1,1,-0.9184255002035135,-0.9184255002035138
2016-01-09,air_622375b4815cf5cb,0,0,1,0,0,0,0,-1.1274536029874063,-1.4202270314752536,0.0,-1.1450414039352919,-0.872970679032144,1,60.0,1,1,-0.6592567410608675,-0.6592567410608677
2016-01-10,air_622375b4815cf5cb,0,0,0,1,0,0,0,-1.103030453039712,-1.163851237482937,0.0,0.30091788317861845,-1.050678421174944,1,66.0,1,1,-0.946175396811125,-0.9461753968111252
2016-01-11,air_622375b4815cf5cb,0,1,0,0,0,0,0,-1.0541841531443232,-1.0240098953053096,1.0,-0.6962954182792508,-1.0625256039844642,1,13.0,1,1,-1.3094699147841662,-1.3094699147841664
2016-01-12,air_622375b4815cf5cb,0,0,0,0,0,1,0,-1.041972578170476,-1.1055840115755924,0.0,-0.7461560833521442,-1.0032896899368642,1,33.0,1,1,-1.3634421907549334,-1.3634421907549337
2016-01-13,air_622375b4815cf5cb,0,0,0,0,0,0,1,-1.2862040776474193,-1.5717218188343498,0.0,-1.1201110713988451,-1.0269840555559042,1,6.0,1,1,-1.158754879997873,-1.1587548799978733
2016-01-14,air_622375b4815cf5cb,0,0,0,0,1,0,0,-1.200723052830489,-1.338652915204971,0.0,-0.5965740881334639,-1.015136872746384,1,2.0,1,1,-1.065830914293486,-1.0658309142934863
2016-01-15,air_622375b4815cf5cb,1,0,0,0,0,0,0,-1.2862040776474193,-1.163851237482937,0.0,0.8992458640533401,-1.2402333461272645,1,69.0,1,1,-0.7888411206321905,-0.7888411206321907
2016-01-16,air_622375b4815cf5cb,0,0,1,0,0,0,0,-1.2129346278043365,-0.9074754434906201,0.0,0.6250122061524259,-1.4653298195081448,1,45.0,1,1,-0.6409265341273994,-0.6409265341273996
2016-01-17,air_622375b4815cf5cb,0,0,0,1,0,0,0,-1.1274536029874063,-1.2454253537532194,0.0,-1.1949020690081853,-0.967748141508304,1,7.0,1,1,-1.2455687767244372,-1.2455687767244374
2016-01-18,air_622375b4815cf5cb,0,1,0,0,0,0,0,-1.1396651779612532,-1.2221184633902817,0.0,-0.9705290761801648,-1.3113164429843844,1,24.0,1,1,-1.5296869841931926,-1.5296869841931928
2016-01-19,air_622375b4815cf5cb,0,0,0,0,0,1,0,-1.7136092017320699,-1.9679389550042936,0.0,-1.0951807388623984,-1.3823995398415045,1,6.0,1,1,-1.2926672250951539,-1.292667225095154
2016-01-20,air_622375b4815cf5cb,0,0,0,0,0,0,1,-1.6891860517843755,-1.8047907224637287,0.0,-0.9455987436437181,-1.4653298195081448,1,15.0,1,1,-1.1674108110497885,-1.1674108110497887
2016-01-21,air_622375b4815cf5cb,0,0,0,0,1,0,0,-1.5548587270720569,-1.4784942573825983,0.0,-1.0951807388623984,-1.5127185507462246,1,11.0,1,1,-1.0452094314933345,-1.045209431493335
2016-01-22,air_622375b4815cf5cb,1,0,0,0,0,0,0,-1.3106272275951136,-1.338652915204971,0.0,-1.1450414039352919,-1.1454558836511042,1,79.0,1,1,-0.736396361905879,-0.7363963619058792
2016-01-23,air_622375b4815cf5cb,0,0,1,0,0,0,0,-1.5914934519935984,-1.758176941737853,0.0,-1.1949020690081853,-1.536412916365265,1,42.0,1,1,-0.6630755341720067,-0.6630755341720069
2016-01-25,air_622375b4815cf5cb,0,1,0,0,0,0,0,-1.9212059762874716,-2.107780297181921,0.0,-1.1201110713988451,-1.785203755365185,1,5.0,1,1,-1.3855911907995406,-1.3855911907995409
2016-01-26,air_622375b4815cf5cb,0,0,0,0,0,1,0,-1.5304355771243625,-1.6066821543787566,0.0,-1.1949020690081853,-1.2994692601748645,1,11.0,1,1,-1.2127271559686401,-1.2127271559686403
2016-01-27,air_622375b4815cf5cb,0,0,0,0,0,0,1,-1.0663957281181704,-1.140544347119999,0.0,-1.0203897412530583,-0.991442507127344,1,19.0,1,1,-1.0609937763527097,-1.0609937763527102
2016-01-28,air_622375b4815cf5cb,0,0,0,0,1,0,0,-1.0786073030920176,-1.3969201411123158,0.0,-1.1949020690081853,-0.7900403993655039,1,4.0,1,1,-1.066594672915714,-1.0665946729157143
2016-01-29,air_622375b4815cf5cb,1,0,0,0,0,0,0,-0.72447162885045,-1.0706236760311854,0.0,-1.1949020690081853,-0.5294023775560637,1,19.0,1,1,-0.9235172243516991,-0.9235172243516994
