visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Hiroshima-ken Fukuyama-shi Higashisakuramachi,total_area_visitors,total_genre_visitors
2016-07-02,air_382f5ace4e2247b8,0,0,1,0,0,0,0,1.2593704021911099,1.3635290716338035,0.0,0.5921204655260275,1.0857267694854986,1,2.0,1,1,1.5042613767127446,1.5042613767127446
2016-07-03,air_382f5ace4e2247b8,0,0,0,1,0,0,0,1.3134714692908296,1.3971073327236778,0.0,0.9163160119857426,1.2608203989399942,1,1.0,1,1,-0.4092470540103796,-0.4092470540103796
2016-07-04,air_382f5ace4e2247b8,0,1,0,0,0,0,0,1.378392749810493,1.4083000864203028,0.0,1.1594626718305283,1.2711200242020235,1,1.0,1,1,-1.152798519330651,-1.152798519330651
2016-07-05,air_382f5ace4e2247b8,0,0,0,0,0,1,0,1.4000331766503809,1.419492840116928,0.0,1.3215604450603862,1.4256144031324607,1,1.0,1,1,-0.5100738059645583,-0.5100738059645583
2016-07-07,air_382f5ace4e2247b8,0,0,0,0,1,0,0,1.2810108290309976,1.2627942883641792,0.0,1.8618863558265777,1.1990226473678194,1,1.0,1,1,-0.13169850408560374,-0.13169850408560374
2016-07-08,air_382f5ace4e2247b8,1,0,0,0,0,0,0,0.8590225056531832,0.5576508054768128,0.0,-1.4611179953854998,1.034228643175353,1,2.0,1,1,1.1522843517090657,1.1522843517090657
2016-07-09,air_382f5ace4e2247b8,0,0,1,0,0,0,0,0.9239437861728471,0.8598551552856841,0.0,0.2949412146046223,1.0445282684373822,1,1.0,1,1,1.4452318964777526,1.4452318964777526
2016-07-10,air_382f5ace4e2247b8,0,0,0,1,0,0,0,1.194449121671446,1.0389392144316822,0.0,0.8352671253708137,1.240221148415936,1,1.0,1,1,-0.25452382010251245,-0.25452382010251245
2016-07-11,air_382f5ace4e2247b8,0,1,0,0,0,0,0,1.1511682679916702,1.072517475521557,0.0,-1.3530528132322615,1.2505207736779653,1,2.0,1,1,-1.2015620030030354,-1.2015620030030354
2016-07-15,air_382f5ace4e2247b8,1,0,0,0,0,0,0,0.9023033593329592,0.8150841404991849,0.0,-0.81272690246607,0.9415320158170908,1,2.0,1,1,0.9447645640506469,0.9447645640506469
