visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Fukuoka-ken Fukuoka-shi Daimyō,total_area_visitors,total_genre_visitors
2016-07-01,air_42d41eb58cad170e,1,0,0,0,0,0,0,1.083435205662423,1.2075700919810761,0.0,0.5768131915307682,0.9241190820519355,1,25.0,1,1,1.367958427835549,1.3679584278355488
2016-07-02,air_42d41eb58cad170e,0,0,1,0,0,0,0,1.3680631899055151,1.2627749139096447,0.0,0.0207095966353012,1.4516771775847102,1,17.0,1,1,1.5196018778270497,1.5196018778270495
2016-07-03,air_42d41eb58cad170e,0,0,0,1,0,0,0,1.333907831796344,1.2406929851382178,0.0,-0.1646582683298545,1.4516771775847102,1,6.0,1,1,-0.3737645468275974,-0.3737645468275975
2016-07-04,air_42d41eb58cad170e,0,1,0,0,0,0,0,1.4136036673844097,1.4394303440810647,0.0,0.4444075736985141,1.3857324156431132,1,26.0,1,1,-1.1094892276476058,-1.109489227647606
2016-07-06,air_42d41eb58cad170e,0,0,0,0,0,0,1,1.3111375930568967,1.3290207002239274,0.0,1.689020381321702,1.2538428917599196,1,14.0,1,1,-0.03528765964561125,-0.03528765964561141
2016-07-07,air_42d41eb58cad170e,0,0,0,0,1,0,0,1.1175905637715942,1.0861194837382255,0.0,0.6297754386636698,1.1439349551905917,1,15.0,1,1,-0.09913753332624314,-0.09913753332624331
2016-07-08,air_42d41eb58cad170e,1,0,0,0,0,0,0,0.753266743940436,0.5782351219953931,0.0,-1.4092710759530427,0.8581743201103386,1,32.0,1,1,1.1713298395690575,1.1713298395690572
2016-07-09,air_42d41eb58cad170e,0,0,1,0,0,0,0,0.901273295746844,0.8432182672525228,0.0,-0.11169602119695285,0.9351098757088685,1,43.0,1,1,1.4611937547441989,1.4611937547441987
2016-07-10,air_42d41eb58cad170e,0,0,0,1,0,0,0,1.0037393700743573,0.8984230891810915,0.0,-0.6413184925259692,1.1219533678767262,1,14.0,1,1,-0.220669963343355,-0.22066996334335515
2016-07-11,air_42d41eb58cad170e,0,1,0,0,0,0,0,1.0151244894440807,0.8100953740953815,0.0,-1.3298277052536902,1.1549257488475246,1,27.0,1,1,-1.157739416281265,-1.1577394162812653
2016-07-12,air_42d41eb58cad170e,0,0,0,0,0,1,0,1.1403608025110414,1.21861105636679,0.0,-0.6148373689595183,1.1549257488475246,1,10.0,1,1,-0.4590186395261684,-0.45901863952616856
2016-07-13,air_42d41eb58cad170e,0,0,0,0,0,0,1,1.0151244894440807,0.8321773028668089,0.0,-1.3827899523865919,1.0669993995920621,1,35.0,1,1,-0.3890014485013846,-0.3890014485013847
2016-07-14,air_42d41eb58cad170e,0,0,0,0,1,0,0,1.1062054444018703,1.0971604481239385,0.0,1.1064356628597842,1.1219533678767262,1,26.0,1,1,-0.18003822554658924,-0.1800382255465894
2016-07-15,air_42d41eb58cad170e,1,0,0,0,0,0,0,0.8898881763771205,0.8432182672525228,0.0,1.397728022090743,1.0010546376504652,1,30.0,1,1,0.9659944503461163,0.9659944503461161
2016-07-16,air_42d41eb58cad170e,0,0,1,0,0,0,0,1.1289756831413176,1.3179797358382135,0.0,0.15311521446755524,0.9680822566796666,1,35.0,1,1,1.4042367651540897,1.4042367651540895
2016-07-17,air_42d41eb58cad170e,0,0,0,1,0,0,0,1.0151244894440807,0.9315459823382328,0.0,0.25903970873335835,1.110962574219793,1,44.0,1,1,0.5081618333861307,0.5081618333861305
2016-07-18,air_42d41eb58cad170e,0,1,0,0,0,0,0,1.0037393700743573,0.9977917686525151,1.0,0.7356999329294729,0.9680822566796666,1,27.0,1,1,-0.9690920622248528,-0.9690920622248529
2016-07-19,air_42d41eb58cad170e,0,0,0,0,0,1,0,1.037894728183528,1.008832733038229,0.0,1.5036525163565464,1.0450178122781966,1,6.0,1,1,-0.7993094435740816,-0.7993094435740817
2016-07-20,air_42d41eb58cad170e,0,0,0,0,0,0,1,1.0265096088138046,1.0198736974239428,0.0,1.0269922921604318,1.1219533678767262,1,16.0,1,1,-0.33349559240401705,-0.3334955924040172
2016-07-21,air_42d41eb58cad170e,0,0,0,0,1,0,0,0.9581988925954624,0.9425869467239464,0.0,1.7419826284546038,1.0230362249643306,1,21.0,1,1,-0.11981618559781143,-0.1198161855978116
2016-07-22,air_42d41eb58cad170e,1,0,0,0,0,0,0,0.901273295746844,0.9094640535668054,0.0,1.7419826284546038,0.9351098757088685,1,15.0,1,1,1.0276676237876357,1.0276676237876354
2016-07-23,air_42d41eb58cad170e,0,0,1,0,0,0,0,1.0948203250321464,1.141324305666794,0.0,1.9008693698533086,0.9131282883950026,1,40.0,1,1,1.333494007382935,1.3334940073829349
2016-07-24,air_42d41eb58cad170e,0,0,0,1,0,0,0,1.2655971155780017,1.229652020752504,0.0,0.15311521446755524,1.2758244790737852,1,26.0,1,1,-0.3951687658455365,-0.3951687658455366
2016-07-25,air_42d41eb58cad170e,0,1,0,0,0,0,0,1.2542119962082783,1.21861105636679,0.0,0.4444075736985141,1.3087968600445836,1,23.0,1,1,-1.018067817604883,-1.018067817604883
2016-07-26,air_42d41eb58cad170e,0,0,0,0,0,1,0,1.185901279989936,1.2406929851382178,0.0,0.41792645013206337,1.1549257488475246,1,7.0,1,1,-0.31027745652015093,-0.31027745652015104
2016-07-27,air_42d41eb58cad170e,0,0,0,0,0,0,1,1.2769822349477256,1.362143593381069,0.0,0.8945866743281776,1.1769073361613902,1,20.0,1,1,-0.11328608488047408,-0.11328608488047424
2016-07-28,air_42d41eb58cad170e,0,0,0,0,1,0,0,1.3566780705357913,1.4283893796953508,0.0,1.132916786426235,1.2868152727307183,1,12.0,1,1,0.10474672240395644,0.10474672240395627
2016-07-29,air_42d41eb58cad170e,1,0,0,0,0,0,0,1.4136036673844097,1.4835942016239196,0.0,1.132916786426235,1.3197876537015167,1,34.0,1,1,1.2663790833436346,1.2663790833436344
2016-07-30,air_42d41eb58cad170e,0,0,1,0,0,0,0,1.3794483092752385,1.4394303440810647,0.0,0.7621810564959236,1.3747416219861808,1,21.0,1,1,1.3810186292702236,1.3810186292702233
2016-07-31,air_42d41eb58cad170e,0,0,0,1,0,0,0,1.3908334286449624,1.4504713084667786,0.0,1.6095770106223497,1.3087968600445836,1,24.0,1,1,-0.35163476106328745,-0.3516347610632876
2016-08-01,air_42d41eb58cad170e,0,1,0,0,0,0,0,1.4136036673844097,1.5277580591667752,0.0,1.6095770106223497,1.3637508283292477,1,21.0,1,1,-1.0710341900899525,-1.0710341900899527
