visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Shizuoka-ken Shizuoka-shi Ōtemachi,total_area_visitors,total_genre_visitors
2016-01-02,air_326ca454ef3558bc,0,0,1,0,0,0,0,-1.008975761400015,-0.473871376939344,1.0,0.7458426577012992,-1.3344868948886517,1,6.0,1,1,-1.865638610182139,-1.8656386101821387
2016-01-03,air_326ca454ef3558bc,0,0,0,1,0,0,0,-0.9175259570825439,-0.5958238289984978,1.0,-0.2586416230783551,-1.060720559859929,1,65.0,1,1,-1.7297530242742407,-1.7297530242742405
2016-01-04,air_326ca454ef3558bc,0,1,0,0,0,0,0,-0.813011895005434,-0.4061200146842587,0.0,0.8462910857792647,-1.0369147915965617,1,91.0,1,1,-1.5329967576901278,-1.5329967576901278
2016-01-07,air_326ca454ef3558bc,0,0,0,0,1,0,0,-0.7346263484476018,-0.5280724667434126,0.0,0.7709547647207905,-0.7393426883044718,1,7.0,1,1,-1.2705708770984805,-1.2705708770984805
2016-01-09,air_326ca454ef3558bc,0,0,1,0,0,0,0,-1.1134898234771249,-1.070083364784095,0.0,0.8462910857792647,-1.1678465170450814,1,70.0,1,1,-0.6803020773461419,-0.6803020773461419
2016-01-10,air_326ca454ef3558bc,0,0,0,1,0,0,0,-1.1657468545156797,-0.9074800953718902,0.0,0.871403192798756,-1.3344868948886517,1,29.0,1,1,-0.9649545965249547,-0.9649545965249546
2016-01-11,air_326ca454ef3558bc,0,1,0,0,0,0,0,-1.1657468545156797,-1.070083364784095,1.0,-0.032632659902932765,-1.1321378646500306,1,4.0,1,1,-1.3253797472509228,-1.3253797472509226
2016-01-13,air_326ca454ef3558bc,0,0,0,0,0,0,1,-1.2310681433138733,-1.00233200252901,0.0,0.8211789787597735,-1.3820984314153861,1,9.0,1,1,-1.1758550876645366,-1.1758550876645364
2016-01-14,air_326ca454ef3558bc,0,0,0,0,1,0,0,-1.100425565717486,-0.9345806402739245,0.0,0.7960668717402822,-1.3106811266252847,1,15.0,1,1,-1.0836650526154978,-1.0836650526154978
2016-01-15,air_326ca454ef3558bc,1,0,0,0,0,0,0,-1.2702609165927896,-1.259787179098334,0.0,0.5951700155843511,-1.3344868948886517,1,22.0,1,1,-0.8088629755378152,-0.808862975537815
2016-01-16,air_326ca454ef3558bc,0,0,1,0,0,0,0,-1.257196658833151,-1.1784855443922315,0.0,0.8462910857792647,-1.2749724742302337,1,53.0,1,1,-0.6621166457748247,-0.6621166457748247
2016-01-17,air_326ca454ef3558bc,0,0,0,1,0,0,0,-1.1265540812367636,-1.1784855443922315,0.0,-0.48465058625377716,-1.1083320963866632,1,30.0,1,1,-1.261983312189803,-1.2619833121898028
2016-01-18,air_326ca454ef3558bc,0,1,0,0,0,0,0,-1.008975761400015,-1.2326866341962999,0.0,-0.7859958704876735,-0.7393426883044718,1,22.0,1,1,-1.54385750154522,-1.54385750154522
2016-01-20,air_326ca454ef3558bc,0,0,0,0,0,0,1,-1.4139677519488156,-1.1920358168432486,0.0,0.8965152998182473,-1.4178070838104369,1,36.0,1,1,-1.1844426525732141,-1.1844426525732141
2016-01-21,air_326ca454ef3558bc,0,0,0,0,1,0,0,-1.440096267468093,-1.3546390862554534,0.0,0.39427315942842034,-1.5249330409955892,1,23.0,1,1,-1.063206442097766,-1.0632064420977658
2016-01-22,air_326ca454ef3558bc,1,0,0,0,0,0,0,-1.2180038855542346,-1.246236906647317,0.0,0.6956184436623167,-1.203555169440132,1,17.0,1,1,-0.7568324352087686,-0.7568324352087685
2016-01-24,air_326ca454ef3558bc,0,0,0,1,0,0,0,-1.832024000257255,-2.086353798610375,0.0,0.8462910857792647,-1.5844474616540072,1,109.0,1,1,-1.3763999858260072,-1.3763999858260072
2016-01-25,air_326ca454ef3558bc,0,1,0,0,0,0,0,-1.832024000257255,-1.7475969873349484,0.0,0.8965152998182473,-1.8344080284193627,1,10.0,1,1,-1.4008998033595874,-1.4008998033595872
2016-01-26,air_326ca454ef3558bc,0,0,0,0,0,1,0,-1.6099316183433965,-1.327538541353419,0.0,0.8965152998182473,-1.6915734188391596,1,42.0,1,1,-1.2294010806245261,-1.2294010806245261
2016-01-29,air_326ca454ef3558bc,1,0,0,0,0,0,0,-1.152682596756041,-1.69339589753088,0.0,-1.5393590810724143,-0.6917311517777374,1,51.0,1,1,-0.9424753824992987,-0.9424753824992986
2016-01-30,air_326ca454ef3558bc,0,0,1,0,0,0,0,-1.1918753700349571,-1.69339589753088,0.0,-1.5393590810724143,-0.703634035909421,1,53.0,1,1,-0.6431734878880359,-0.6431734878880359
2016-01-31,air_326ca454ef3558bc,0,0,0,1,0,0,0,-1.0351042769192924,-1.097183909686129,0.0,-0.4344263722147944,-0.7988571089628898,1,35.0,1,1,-1.1940405192358539,-1.1940405192358536
2016-02-01,air_326ca454ef3558bc,0,1,0,0,0,0,0,-1.2702609165927896,-1.4223904485105388,0.0,-1.514246974052923,-1.0964292122549797,1,22.0,1,1,-1.446615957726371,-1.4466159577263709
2016-02-02,air_326ca454ef3558bc,0,0,0,0,0,1,0,-1.1788111122753187,-1.1649352719412145,0.0,0.1180399822140153,-0.9893032550698273,1,11.0,1,1,-1.29961705252489,-1.2996170525248898
2016-02-03,air_326ca454ef3558bc,0,0,0,0,0,0,1,-1.3225179476313444,-1.2055860892942658,0.0,0.1180399822140153,-1.2273609377034993,1,7.0,1,1,-1.225359873608678,-1.225359873608678
2016-02-04,air_326ca454ef3558bc,0,0,0,0,1,0,0,-1.3225179476313444,-1.097183909686129,0.0,0.871403192798756,-1.3225840107569682,1,9.0,1,1,-1.1879787087120814,-1.1879787087120812
