visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami,total_area_visitors,total_genre_visitors
2016-07-01,air_a49f1cf0634f13e5,1,0,0,0,0,0,0,1.0737741109147618,1.1514382994973311,0.0,-0.14450239718625565,1.0113859267894703,1,8.0,1,1,1.3321011744418092,1.3321011744418092
2016-07-02,air_a49f1cf0634f13e5,0,0,1,0,0,0,0,1.235803695071909,1.2905647001424645,0.0,0.5216921145564631,1.165154633527054,1,3.0,1,1,1.486951851610065,1.4869518516100653
2016-07-04,air_a49f1cf0634f13e5,0,1,0,0,0,0,0,1.328392028875993,1.52244203455102,0.0,0.5749876754958805,1.1871215916324234,1,4.0,1,1,-1.1977439795821627,-1.1977439795821625
2016-07-05,air_a49f1cf0634f13e5,0,0,0,0,0,1,0,0.6224059836198514,0.5717449634759418,0.0,-1.3170047378534409,0.8136833038411478,1,12.0,1,1,-0.5483343215057207,-0.5483343215057205
2016-07-06,air_a49f1cf0634f13e5,0,0,0,0,0,0,1,0.784435567776999,0.7224652308415027,0.0,-0.2244457385953821,0.8466337409992016,1,5.0,1,1,-0.10082327361277034,-0.10082327361277017
2016-07-07,air_a49f1cf0634f13e5,0,0,0,0,1,0,0,1.2820978619739507,1.8586641694434263,0.0,2.0939111622692796,1.0004024477367854,1,10.0,1,1,-0.16602355873624655,-0.16602355873624638
2016-07-08,air_a49f1cf0634f13e5,1,0,0,0,0,0,0,1.03905348573823,1.0586873657339089,0.0,-0.757401347989557,1.0223694058421549,1,4.0,1,1,1.1313139327547403,1.1313139327547403
2016-07-09,air_a49f1cf0634f13e5,0,0,1,0,0,0,0,0.703420775698425,0.4905878964329469,0.0,-1.3170047378534409,0.8246667828938326,1,7.0,1,1,1.4273084089687034,1.4273084089687034
2016-07-11,air_a49f1cf0634f13e5,0,1,0,0,0,0,0,1.351539112327014,1.4876604343897368,0.0,2.0139678208601532,1.044336363947524,1,11.0,1,1,-1.247014649590244,-1.2470146495902439
2016-07-12,air_a49f1cf0634f13e5,0,0,0,0,0,1,0,1.2473772367974194,1.2905647001424645,0.0,0.36180543173821045,1.2969563821592691,1,2.0,1,1,-0.5335160748867488,-0.5335160748867487
2016-07-13,air_a49f1cf0634f13e5,0,0,0,0,0,0,1,1.0159064022872093,0.8036222978844976,0.0,-1.3170047378534409,1.1761381125797388,1,7.0,1,1,-0.4620180349502096,-0.4620180349502094
2016-07-14,air_a49f1cf0634f13e5,0,0,0,0,1,0,0,1.108494736091293,1.41809723406717,0.0,-0.27774129953479954,0.9345015734206783,1,4.0,1,1,-0.2486352836370147,-0.24863528363701454
2016-07-15,air_a49f1cf0634f13e5,1,0,0,0,0,0,0,0.6802736922474041,0.386243095949097,0.0,-1.3170047378534409,0.9015511362626245,1,19.0,1,1,0.9216357430962884,0.9216357430962885
2016-07-19,air_a49f1cf0634f13e5,0,0,0,0,0,1,0,1.2705243202484404,1.348534033744603,0.0,0.33515765126850183,1.1981050706851077,1,21.0,1,1,-0.8810039581016391,-0.8810039581016389
