visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-01-02,air_5c817ef28f236bdf,0,0,1,0,0,0,0,-0.975769929976804,-0.7738260546616228,1.0,0.5449663102555118,-1.0440006018787447,1,24.0,1,1,-1.8213710230074225,-1.8213710230074225
2016-01-03,air_5c817ef28f236bdf,0,0,0,1,0,0,0,-0.7250418224014055,-0.42454223894636217,1.0,0.7443972871016329,-0.9960551640020496,1,49.0,1,1,-1.6842969500745388,-1.6842969500745388
2016-01-04,air_5c817ef28f236bdf,0,1,0,0,0,0,0,-0.7375782277801756,-0.5492864588446696,0.0,0.8939705197362235,-0.8282461314336166,1,10.0,1,1,-1.4858198072962554,-1.4858198072962554
2016-01-05,air_5c817ef28f236bdf,0,0,0,0,0,1,0,-0.5244593363410868,-0.524337614865008,0.0,0.769326159207398,-0.7443416151494001,1,2.0,1,1,-1.3551153474178737,-1.3551153474178737
2016-01-06,air_5c817ef28f236bdf,0,0,0,0,0,0,1,-0.7751874439164852,-1.0357889164480685,0.0,-1.3246990976768724,-0.5046144257659245,1,9.0,1,1,-1.290654863306313,-1.290654863306313
2016-01-07,air_5c817ef28f236bdf,0,0,0,0,1,0,0,-0.8002602546740252,-0.8361981646107766,0.0,-0.1281132366001466,-0.8162597719644429,1,15.0,1,1,-1.2210986887511508,-1.2210986887511508
2016-01-08,air_5c817ef28f236bdf,1,0,0,0,0,0,0,-1.0384519568706534,-1.0856866044073914,0.0,0.8441127755246931,-0.9840688045328758,1,36.0,1,1,-0.8850379039956235,-0.8850379039956235
2016-01-09,air_5c817ef28f236bdf,0,0,1,0,0,0,0,-0.975769929976804,-0.9983656504785763,0.0,0.8939705197362235,-1.020027882940397,1,44.0,1,1,-0.6256672604163008,-0.6256672604163008
2016-01-10,air_5c817ef28f236bdf,0,0,0,1,0,0,0,-0.9005514977041844,-0.8361981646107766,0.0,0.9438282639477537,-1.0679733208170923,1,25.0,1,1,-0.9128094169132525,-0.9128094169132525
2016-01-11,air_5c817ef28f236bdf,0,1,0,0,0,0,0,-1.0008427407343439,-1.1355842923667143,1.0,-0.5020463181866235,-0.9001642882486593,1,7.0,1,1,-1.2763869300642285,-1.2763869300642285
2016-01-12,air_5c817ef28f236bdf,0,0,0,0,0,1,0,-1.4646897397488308,-1.6844588599192671,0.0,-1.3246990976768724,-1.247768712854699,1,6.0,1,1,-1.3304012487664059,-1.3304012487664059
2016-01-13,air_5c817ef28f236bdf,0,0,0,0,0,0,1,-1.3518620913399015,-1.2353796682853604,0.0,0.8441127755246931,-1.4635231832998272,1,1.0,1,1,-1.1255544929336203,-1.1255544929336203
2016-01-14,air_5c817ef28f236bdf,0,0,0,0,1,0,0,-1.1387431999008129,-1.0233144944582377,0.0,0.9438282639477537,-1.3316732291389157,1,7.0,1,1,-1.0325581423378907,-1.0325581423378907
2016-01-15,air_5c817ef28f236bdf,1,0,0,0,0,0,0,-1.1888888214158926,-1.0856866044073914,0.0,0.6945395428901024,-1.1159187586937875,1,32.0,1,1,-0.7553525822059622,-0.7553525822059622
2016-01-16,air_5c817ef28f236bdf,0,0,1,0,0,0,0,-1.0760611730069634,-0.9734168064989147,0.0,0.9438282639477537,-1.139891477632135,1,49.0,1,1,-0.6073227748193349,-0.6073227748193349
