visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Yakiniku/Korean food,Tōkyō-to Chūō-ku Ginza,total_area_visitors,total_genre_visitors
2016-01-06,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-0.7919315667044298,-1.0451420406831256,0.0,-1.3029427015529316,-0.5252857350028325,1,41.0,1,1,-1.3277169042229233,-1.3277169042229235
2016-01-07,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-0.8169450076194416,-0.8466084074364955,0.0,-0.11170814055906339,-0.8368078346335108,1,26.0,1,1,-1.2576111765156506,-1.2576111765156508
2016-01-08,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.0545726963120523,-1.0947754489947832,0.0,0.8561699402484544,-1.0045505036654145,1,44.0,1,1,-0.9188952246991939,-0.918895224699194
2016-01-09,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-0.9920390940245232,-1.0079169844493825,0.0,0.9058047136231991,-1.0404953613151084,1,19.0,1,1,-0.6574753316369096,-0.6574753316369097
2016-01-10,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-0.9169987712794881,-0.8466084074364955,0.0,0.9554394869979435,-1.0884218381813664,1,26.0,1,1,-0.9468861562746251,-0.9468861562746252
2016-01-11,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.017052534939535,-1.1444088573064406,1.0,-0.4839689408696472,-0.9206791691494627,1,11.0,1,1,-1.313336242129124,-1.313336242129124
2016-01-12,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.4798011918672507,-1.6903763487346735,0.0,-1.3029427015529316,-1.2681461264298348,1,35.0,1,1,-1.3677773200556507,-1.3677773200556507
2016-01-13,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.3672407077496982,-1.2436756739297559,0.0,0.8561699402484544,-1.4838152723279967,1,46.0,1,1,-1.1613120999946716,-1.1613120999946718
2016-01-14,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.154626459972099,-1.0327336886052112,0.0,0.9554394869979435,-1.3520174609457867,1,33.0,1,1,-1.0675809988475855,-1.0675809988475855
2016-01-15,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.2046533418021224,-1.0947754489947832,0.0,0.7072656201242209,-1.1363483150476246,1,53.0,1,1,-0.7881852781680517,-0.7881852781680518
2016-01-16,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-1.0920928576845699,-0.9831002802935536,0.0,0.9554394869979435,-1.1603115534807538,1,17.0,1,1,-0.6389859089448817,-0.6389859089448818
2016-01-17,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-1.1796399008871106,-1.380167546786814,0.0,-0.5336037142443917,-1.100403457397931,1,22.0,1,1,-1.2488800602444152,-1.2488800602444154
2016-01-18,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.5548415146122856,-1.677967996656759,0.0,-0.9554992879297199,-1.3520174609457867,1,12.0,1,1,-1.5354661119708486,-1.5354661119708488
2016-01-19,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.2671869440896515,-1.380167546786814,0.0,0.9554394869979435,-1.2681461264298348,1,30.0,1,1,-1.2963876046614315,-1.2963876046614318
2016-01-20,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.39225414866471,-1.318125786397242,0.0,0.9802568736853157,-1.4598520338948675,1,42.0,1,1,-1.1700432162659071,-1.1700432162659073
2016-01-21,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.229666782717134,-1.2684923780855846,0.0,0.5335439133126153,-1.25616450721327,1,46.0,1,1,-1.046780398319054,-1.0467803983190542
2016-01-22,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.1796399008871106,-1.1692255614622693,0.0,0.7072656201242209,-1.0165321228819792,1,51.0,1,1,-0.7352849854658606,-0.7352849854658607
2016-01-23,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-1.4172675895797215,-1.6531512925009302,0.0,-1.253307928178187,-1.0644585997482374,1,31.0,1,1,-0.6613272946977488,-0.6613272946977489
2016-01-24,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-1.4923079123247565,-1.3057174343193276,0.0,0.9306221003105712,-1.5197601299776904,1,16.0,1,1,-1.365209344681758,-1.365209344681758
2016-01-25,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.5423347941547798,-1.4049842509426427,0.0,1.0795264204348047,-1.687502799009594,1,13.0,1,1,-1.3901187058085178,-1.3901187058085178
2016-01-26,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.4297743100372273,-1.2560840260076702,0.0,0.8313525535610822,-1.531741749194255,1,27.0,1,1,-1.2157531779211985,-1.2157531779211985
2016-01-27,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.1171062985995814,-0.7845666470469236,0.0,1.0298916470600603,-1.507778510761126,1,35.0,1,1,-1.0627018456371893,-1.0627018456371893
2016-01-28,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-0.929505491736994,-0.7101165345794374,0.0,1.0298916470600603,-1.12436669583106,1,36.0,1,1,-1.0683513914597533,-1.0683513914597533
2016-01-29,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.229666782717134,-1.4794343634101288,0.0,-1.3029427015529316,-1.0644585997482374,1,53.0,1,1,-0.9240311754469794,-0.9240311754469795
2016-01-30,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-1.4923079123247565,-1.8268682215917316,0.0,-1.3029427015529316,-1.1962564111304475,1,25.0,1,1,-0.6197260936406859,-0.619726093640686
2016-01-31,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-1.1421197395145932,-1.0575503927610401,0.0,-0.03725598049694668,-1.2202196495635764,1,11.0,1,1,-1.1798015226866996,-1.1798015226866998
2016-02-01,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.317213825919675,-1.6159262362671873,0.0,-1.3029427015529316,-1.0644585997482374,1,19.0,1,1,-1.4365990600759768,-1.436599060075977
2016-02-02,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.154626459972099,-1.119592153150612,0.0,0.80653516687371,-1.0644585997482374,1,27.0,1,1,-1.2871428933154174,-1.2871428933154176
2016-02-03,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.2796936645471573,-1.3057174343193276,0.0,0.4590917532504984,-1.1962564111304475,1,23.0,1,1,-1.21164441732297,-1.2116444173229701
2016-02-04,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.2671869440896515,-1.2684923780855846,0.0,0.16128311300203152,-1.2441828879967056,1,40.0,1,1,-1.173638381789357,-1.1736383817893572
2016-02-05,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-0.9670256531095115,-0.7969749991248379,0.0,0.9306221003105712,-1.3040909840795285,1,54.0,1,1,-0.7961460018271194,-0.7961460018271195
2016-02-06,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-1.0670794167695583,-1.218858969773927,0.0,-1.054768834679209,-0.8487894538500753,1,22.0,1,1,-0.5709345615367232,-0.5709345615367233
2016-02-07,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-1.2796936645471573,-1.280900730163499,0.0,0.9058047136231991,-1.1962564111304475,1,12.0,1,1,-1.1872486512709888,-1.1872486512709888
2016-02-08,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.3547339872921924,-1.293309082241413,0.0,0.062013566252542424,-1.2202196495635764,1,26.0,1,1,-1.3847259575233428,-1.384725957523343
2016-02-09,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.079586137227064,-0.6232580700340368,0.0,0.8313525535610822,-1.3040909840795285,1,40.0,1,1,-1.1649072655181216,-1.1649072655181216
2016-02-10,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.154626459972099,-1.1071838010726975,0.0,1.1539785804969216,-1.184274791913883,1,49.0,1,1,-0.8380040004215715,-0.8380040004215716
2016-02-11,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.154626459972099,-1.0203253365272968,1.0,1.1539785804969216,-1.1722931726973185,1,23.0,1,1,-0.9119616911896834,-0.9119616911896835
2016-02-12,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.0045458144820292,-0.9706919282156393,0.0,-0.7073254210559975,-1.1962564111304475,1,42.0,1,1,-0.8552094354266532,-0.8552094354266533
2016-02-13,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-0.15408882337163224,0.25773492749788457,0.0,-0.16134291393380795,-0.3815063044040577,1,20.0,1,1,-0.6636384725342522,-0.6636384725342525
2016-02-14,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,0.4087135972161303,0.4066351524328571,0.0,-0.21097768730855226,0.43324380232233184,1,18.0,1,1,-1.2049676813508488,-1.204967681350849
2016-02-15,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-0.8919853303644766,-0.5239912534107216,0.0,-1.2036731548034425,-0.9925688844488499,1,21.0,1,1,-1.3883211230467927,-1.388321123046793
2016-02-16,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.2046533418021224,-1.2064506176960126,0.0,1.0298916470600603,-1.2322012687801411,1,24.0,1,1,-1.2262818769541588,-1.226281876954159
2016-02-17,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.1296130190570874,-0.7845666470469236,0.0,0.80653516687371,-1.2202196495635764,1,27.0,1,1,-1.0557683121276786,-1.0557683121276789
2016-02-18,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.1296130190570874,-1.119592153150612,0.0,0.38463959318838165,-1.2441828879967056,1,26.0,1,1,-1.0655266185484713,-1.0655266185484713
2016-02-19,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-0.6918778030443832,-0.39990773263157775,0.0,1.0050742603726883,-1.0884218381813664,1,48.0,1,1,-0.7435025066623175,-0.7435025066623177
2016-02-20,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-0.9044920508219824,-1.0575503927610401,0.0,-1.154038381428698,-0.5971754503022197,1,28.0,1,1,-0.7779133766724807,-0.7779133766724808
2016-02-21,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-0.7168912439593949,-0.4991745492548929,0.0,-0.3598820074327859,-0.6331203079519134,1,15.0,1,1,-1.1500130083495435,-1.1500130083495437
2016-02-22,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-1.0670794167695583,-1.2312673218518413,0.0,-1.1788557681160703,-0.7888813577672525,1,15.0,1,1,-1.3752244486399396,-1.3752244486399399
2016-02-23,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.0670794167695583,-1.2064506176960126,0.0,-1.2781253148655594,-0.7888813577672525,1,21.0,1,1,-1.1569465418590539,-1.156946541859054
2016-02-24,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.1796399008871106,-1.4918427154880434,0.0,-1.2781253148655594,-1.076440218964802,1,40.0,1,1,-1.112520567890709,-1.112520567890709
2016-02-25,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-1.4297743100372273,-1.4049842509426427,0.0,-0.8065949678054865,-1.3280542225126575,1,25.0,1,1,-1.0072335775611052,-1.0072335775611054
2016-02-26,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-1.1796399008871106,-1.0327336886052112,0.0,1.302882900621155,-1.3639990801623512,1,59.0,1,1,-0.5932759472895903,-0.5932759472895904
2016-02-27,air_8093d0b565e9dbdf,0,0,1,0,0,0,0,-0.929505491736994,-0.896241815748153,0.0,1.302882900621155,-1.0524769805316727,1,29.0,1,1,-0.42353277507527803,-0.42353277507527815
2016-02-28,air_8093d0b565e9dbdf,0,0,0,1,0,0,0,-0.8169450076194416,-0.5860330138002935,0.0,1.1291611938095494,-0.9326607883660273,1,10.0,1,1,-1.0126263258462802,-1.0126263258462802
2016-02-29,air_8093d0b565e9dbdf,0,1,0,0,0,0,0,-0.8669718894494647,-0.6108497179561222,0.0,-0.7817775811181141,-0.8008629769838171,1,43.0,1,1,-1.3269465116107555,-1.3269465116107557
2016-03-01,air_8093d0b565e9dbdf,0,0,0,0,0,1,0,-1.2546802236321457,-1.1692255614622693,0.0,1.4021524473706442,-1.12436669583106,1,10.0,1,1,-1.2167803680707556,-1.2167803680707556
2016-03-02,air_8093d0b565e9dbdf,0,0,0,0,0,0,1,-1.1171062985995814,-0.9086501678260673,0.0,0.8561699402484544,-1.2441828879967056,1,31.0,1,1,-1.0855568264648348,-1.085556826464835
2016-03-03,air_8093d0b565e9dbdf,0,0,0,0,1,0,0,-0.7544114053319124,-0.4123160847094923,0.0,1.377335060683272,-1.100403457397931,1,31.0,1,1,-1.1025054639325271,-1.1025054639325274
2016-03-04,air_8093d0b565e9dbdf,1,0,0,0,0,0,0,-0.6043307598418423,-0.474357845099064,0.0,1.104343807122177,-0.7050100232513008,1,69.0,1,1,-0.7257834765824573,-0.7257834765824576
