visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-07-01,air_e34c631c766f2766,1,0,0,0,0,0,0,1.0618189513663607,1.1400085551373471,0.0,-0.17507063829860944,1.006463180405897,1,42.0,1,1,1.4326388241754457,1.4326388241754457
2016-07-02,air_e34c631c766f2766,0,0,1,0,0,0,0,1.223964986171572,1.2794554981076236,0.0,0.48910785330117407,1.1609771397765194,1,43.0,1,1,1.5951983863542503,1.5951983863542503
2016-07-03,air_e34c631c766f2766,0,0,0,1,0,0,0,1.4787658980083325,1.697796327018453,0.0,0.6750778309491132,1.2934176763799106,1,35.0,1,1,-0.43446275003613427,-0.43446275003613427
2016-07-04,air_e34c631c766f2766,0,1,0,0,0,0,0,1.3166198632031214,1.5118670697247507,0.0,0.5422421326291565,1.1830505625437515,1,28.0,1,1,-1.2231488555352146,-1.2231488555352146
2016-07-05,air_e34c631c766f2766,0,0,0,0,0,1,0,0.6101264258375577,0.558979626094528,0.0,-1.3440247835142285,0.8078023755008106,1,19.0,1,1,-0.5414098304169267,-0.5414098304169267
2016-07-06,air_e34c631c766f2766,0,0,0,0,0,0,1,0.7722724606427692,0.7100471476456606,0.0,-0.25477205729058366,0.8409125096516583,1,23.0,1,1,-0.07162047368966391,-0.07162047368966391
2016-07-07,air_e34c631c766f2766,0,0,0,0,1,0,0,1.2702924246873464,1.8488638485695865,0.0,2.0565690934766634,0.9954264690222808,1,34.0,1,1,-0.14006660513337107,-0.14006660513337107
2016-07-08,air_e34c631c766f2766,1,0,0,0,0,0,0,1.0270733724795298,1.0470439264904958,0.0,-0.7861148505704104,1.017499891789513,1,34.0,1,1,1.2218558512067568,1.2218558512067568
2016-07-09,air_e34c631c766f2766,0,0,1,0,0,0,0,0.6911994432401632,0.47763557602853296,0.0,-1.3440247835142285,0.8188390868844266,1,40.0,1,1,1.5325857320222227,1.5325857320222227
2016-07-10,air_e34c631c766f2766,0,0,0,1,0,0,0,1.0618189513663607,1.2213526052033417,0.0,1.764330557172758,0.8078023755008106,1,31.0,1,1,-0.27034759396088187,-0.27034759396088187
2016-07-11,air_e34c631c766f2766,0,1,0,0,0,0,0,1.3397835824610087,1.477005333982182,0.0,1.9768676744846891,1.0395733145567447,1,30.0,1,1,-1.2748723525921069,-1.2748723525921069
2016-07-12,air_e34c631c766f2766,0,0,0,0,0,1,0,1.2355468458005159,1.2794554981076236,0.0,0.3297050153172259,1.2934176763799106,1,24.0,1,1,-0.5258538914524479,-0.5258538914524479
2016-07-13,air_e34c631c766f2766,0,0,0,0,0,0,1,1.0039096532216425,0.7913911977116557,0.0,-1.3440247835142285,1.1720138511601355,1,24.0,1,1,-0.45079648594883714,-0.45079648594883714
2016-07-14,air_e34c631c766f2766,0,0,0,0,1,0,0,1.0965645302531914,1.4072818624970436,0.0,-0.30790633661856626,0.9292062007205857,1,20.0,1,1,-0.22679096486034095,-0.22679096486034095
2016-07-15,air_e34c631c766f2766,1,0,0,0,0,0,0,0.668035723982276,0.3730503688008257,0.0,-1.3440247835142285,0.8960960665697378,1,21.0,1,1,1.0017393148593803,1.0017393148593803
2016-07-16,air_e34c631c766f2766,0,0,1,0,0,0,0,0.8880910569322059,0.8030117762925117,0.0,-0.9189505488903671,0.7967656641171948,1,32.0,1,1,1.4715286715866431,1.4715286715866431
2016-07-17,air_e34c631c766f2766,0,0,0,1,0,0,0,1.0965645302531914,0.9308381406819322,0.0,-1.3174576438502372,1.1830505625437515,1,31.0,1,1,0.510949440530071,0.510949440530071
2016-07-18,air_e34c631c766f2766,0,1,0,0,0,0,0,1.4208565998636142,1.477005333982182,1.0,0.6485106912851221,1.3375645219143741,1,33.0,1,1,-1.0726451460538813,-1.0726451460538813
2016-07-19,air_e34c631c766f2766,0,0,0,0,0,1,0,1.258710565058403,1.337558391011905,0.0,0.30313787565323463,1.1940872739273674,1,29.0,1,1,-0.8906406601694781,-0.8906406601694781
2016-07-20,air_e34c631c766f2766,0,0,0,0,0,0,1,1.1428919687689665,1.0586645050713521,0.0,-0.12193635897062696,1.1499404283929038,1,25.0,1,1,-0.39129501940970535,-0.39129501940970535
2016-07-21,air_e34c631c766f2766,0,0,0,0,1,0,0,0.6217082854665015,0.40791210454339494,0.0,-1.3440247835142285,0.8850593551861218,1,20.0,1,1,-0.1622338181577535,-0.1622338181577535
2016-07-22,air_e34c631c766f2766,1,0,0,0,0,0,0,0.5753808469507267,0.22198284724969267,0.0,-1.3440247835142285,0.8298757982680423,1,21.0,1,1,1.0678520554584157,1.0678520554584157
2016-07-23,air_e34c631c766f2766,0,0,1,0,0,0,0,0.6911994432401632,0.7332883048073737,0.0,-0.9720848282183499,0.7636555299663471,1,35.0,1,1,1.3956934691348084,1.3956934691348084
2016-07-24,air_e34c631c766f2766,0,0,0,1,0,0,0,0.8649273376743182,0.9540792978436448,0.0,0.5953764119571393,0.6753618388974197,1,28.0,1,1,-0.45740776000874067,-0.45740776000874067
2016-07-25,air_e34c631c766f2766,0,1,0,0,0,0,0,0.9575822147058676,0.8262529334542245,0.0,-1.131487666202298,0.9071327779533539,1,15.0,1,1,-1.1251464400589974,-1.1251464400589974
2016-07-26,air_e34c631c766f2766,0,0,0,0,0,1,0,0.8533454780453748,0.7681500405499425,0.0,-1.3174576438502372,0.9402429121042013,1,19.0,1,1,-0.36640551706653907,-0.36640551706653907
2016-07-27,air_e34c631c766f2766,0,0,0,0,0,0,1,0.9344184954479804,0.7565294619690864,0.0,-1.2643233645222545,1.0506100259403603,1,32.0,1,1,-0.155233645623738,-0.155233645623738
2016-07-28,air_e34c631c766f2766,0,0,0,0,1,0,0,1.1660556880268536,1.198111448041629,0.0,0.03746647901332122,1.1499404283929038,1,22.0,1,1,0.07849433731755748,0.07849433731755748
2016-07-29,air_e34c631c766f2766,1,0,0,0,0,0,0,1.2471287054294593,1.3491789695927616,0.0,1.7111962778447756,1.10579358285844,1,26.0,1,1,1.3237472514240936,1.3237472514240936
2016-07-30,air_e34c631c766f2766,0,0,1,0,0,0,0,1.2471287054294593,1.4072818624970436,0.0,1.5252263001968365,1.017499891789513,1,41.0,1,1,1.4466391692434768,1.4466391692434768
2016-07-31,air_e34c631c766f2766,0,0,0,1,0,0,0,1.2818742843162902,1.1632497122990597,0.0,0.48910785330117407,1.2713442536126784,1,37.0,1,1,-0.410739943115304,-0.410739943115304
2016-08-01,air_e34c631c766f2766,0,1,0,0,0,0,0,1.2702924246873464,1.2445937623650543,0.0,-0.8392491298983931,1.2934176763799106,1,28.0,1,1,-1.1819256172793455,-1.1819256172793455
2016-08-02,air_e34c631c766f2766,0,0,0,0,0,1,0,1.0965645302531914,1.0005616121670702,0.0,-0.8923834092263757,1.0616467373239764,1,24.0,1,1,-0.8124720668729716,-0.8124720668729716
2016-08-03,air_e34c631c766f2766,0,0,0,0,0,0,1,1.2008012669136847,1.3026966552693362,0.0,-0.25477205729058366,1.1609771397765194,1,16.0,1,1,-0.34384940556804466,-0.34384940556804466
