visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,total_genre_visitors
2016-07-01,air_034a3d5b40d5b1b1,1,0,0,0,0,0,0,0.9990595286401169,0.9989908206430911,0.0,0.8528226231520148,0.9775286298267647,1,19.0,1,7270858.0
2016-07-02,air_034a3d5b40d5b1b1,0,0,1,0,0,0,0,1.2132364306222987,1.2311032796843477,0.0,1.6667311034738281,1.126807462014942,1,23.0,1,7470662.0
2016-07-03,air_034a3d5b40d5b1b1,0,0,0,1,0,0,0,1.2453629659196261,1.160460357367443,0.0,1.3140374286677088,1.3080746153862999,1,5.0,1,4975980.0
2016-07-04,air_034a3d5b40d5b1b1,0,1,0,0,0,0,0,1.2774895012169531,1.2411951257296199,0.0,1.096995167248559,1.2867490679308462,1,13.0,1,4006596.0
2016-07-06,air_034a3d5b40d5b1b1,0,0,0,0,0,0,1,1.1811098953249715,1.110001127141083,0.0,1.1512557326033463,1.1907841043813034,1,10.0,1,5421954.0
2016-07-07,air_034a3d5b40d5b1b1,0,0,0,0,1,0,0,1.2453629659196261,1.251286971774892,0.0,1.4768191247320714,1.2440979730199382,1,3.0,1,5337826.0
2016-07-08,air_034a3d5b40d5b1b1,1,0,0,0,0,0,0,0.9669329933427896,0.8072457457829221,0.0,-1.5617725351360312,0.92421476118813,1,23.0,1,7011782.0
2016-07-09,air_034a3d5b40d5b1b1,0,0,1,0,0,0,0,0.6777941756668442,0.48430667233421676,0.0,-1.2633394256846997,0.7749359289999529,1,12.0,1,7393704.0
2016-07-10,air_034a3d5b40d5b1b1,0,0,0,1,0,0,0,1.0847302894329898,1.0292663587789068,0.0,0.4458683829911082,1.0734935933763072,1,13.0,1,5177696.0
2016-07-11,air_034a3d5b40d5b1b1,0,1,0,0,0,0,0,1.1596922051267533,1.1503685113221715,0.0,-0.015346422524585995,1.2121096518367573,1,9.0,1,3943022.0
2016-07-13,air_034a3d5b40d5b1b1,0,0,0,0,0,0,1,1.0740214443338805,0.7769702076471059,0.0,-1.5346422524586376,1.2227724255644843,1,8.0,1,4955904.0
2016-07-14,air_034a3d5b40d5b1b1,0,0,0,0,1,0,0,1.020477218838335,1.0494500508694513,0.0,0.12030499086238287,1.116144688287215,1,21.0,1,5231232.0
2016-07-15,air_034a3d5b40d5b1b1,1,0,0,0,0,0,0,0.8063003168561532,0.575133286741665,0.0,-1.5075119697812436,0.9775286298267647,1,24.0,1,6741234.0
2016-07-16,air_034a3d5b40d5b1b1,0,0,1,0,0,0,0,0.9562241482436803,0.9283478983261865,0.0,-0.3137795319759177,0.9135519874604032,1,23.0,1,7318658.0
2016-07-17,air_034a3d5b40d5b1b1,0,0,0,1,0,0,0,1.0954391345320986,0.8879805141450985,0.0,-1.3447302737168811,1.1374702357426687,1,15.0,1,6137998.0
2016-07-18,air_034a3d5b40d5b1b1,0,1,0,0,0,0,0,1.106147979631208,1.039358204824179,1.0,1.2597768633129214,1.084156367104034,1,18.0,1,4191582.0
2016-07-20,air_034a3d5b40d5b1b1,0,0,0,0,0,0,1,1.0633125992347712,1.2109195875938032,0.0,2.1008156263121283,0.934877534915857,1,9.0,1,5029038.0
2016-07-21,air_034a3d5b40d5b1b1,0,0,0,0,1,0,0,1.0311860639374442,1.0494500508694513,0.0,0.8528226231520148,0.9455403086435837,1,2.0,1,5310580.0
2016-07-22,air_034a3d5b40d5b1b1,1,0,0,0,0,0,0,1.0633125992347712,1.2210114336390756,0.0,1.1241254499259525,0.9455403086435837,1,22.0,1,6822494.0
2016-07-23,air_034a3d5b40d5b1b1,0,0,1,0,0,0,0,1.0097683737392258,1.0595418969147228,0.0,1.17838601528074,0.9881914035544918,1,7.0,1,7225448.0
2016-07-24,air_034a3d5b40d5b1b1,0,0,0,1,0,0,0,0.9562241482436803,0.9182560522809142,0.0,-0.25951896662113005,0.9775286298267647,1,10.0,1,4947778.0
2016-07-25,air_034a3d5b40d5b1b1,0,1,0,0,0,0,0,0.9776418384418988,0.8375212839187383,0.0,-1.2362091430073059,1.1587957831981226,1,12.0,1,4127052.0
2016-07-27,air_034a3d5b40d5b1b1,0,0,0,0,0,0,1,1.0526037541356623,1.0494500508694513,0.0,0.31021696960413936,1.0201797247376727,1,11.0,1,5319184.0
2016-07-28,air_034a3d5b40d5b1b1,0,0,0,0,1,0,0,1.1596922051267533,1.1200929731863551,0.0,-0.3137795319759177,1.1587957831981226,1,11.0,1,5606462.0
2016-07-29,air_034a3d5b40d5b1b1,1,0,0,0,0,0,0,1.148983360027644,1.1301848192316273,0.0,0.6629106444102582,1.116144688287215,1,18.0,1,7137018.0
2016-07-30,air_034a3d5b40d5b1b1,0,0,1,0,0,0,0,1.2346541208205168,1.362297278272884,0.0,1.6938613861512217,1.276086294203119,1,15.0,1,7288066.0
2016-07-31,air_034a3d5b40d5b1b1,0,0,0,1,0,0,0,1.256071811018735,1.3118380480465237,0.0,1.3140374286677088,1.276086294203119,1,16.0,1,5005138.0
2016-08-01,air_034a3d5b40d5b1b1,0,1,0,0,0,0,0,1.3096160365142804,1.2714706638654356,0.0,1.2597768633129214,1.2547607467476654,1,6.0,1,4057264.0
2016-08-02,air_034a3d5b40d5b1b1,0,0,0,0,0,1,0,1.256071811018735,1.2311032796843477,0.0,0.12030499086238287,1.3080746153862999,1,2.0,1,4511364.0
2016-08-03,air_034a3d5b40d5b1b1,0,0,0,0,0,0,1,1.2453629659196261,1.281562509910708,0.0,0.6629106444102582,1.2014468781090306,1,18.0,1,5087354.0
