visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-07-01,air_a24bf50c3e90d583,1,0,0,0,0,0,0,1.0013825780527534,1.1492413373284314,0.0,1.4105758865133304,0.9658952399090923,1,36.0,1,1,1.4003775449540796,1.4003775449540798
2016-07-02,air_a24bf50c3e90d583,0,0,1,0,0,0,0,1.0128247525967335,1.0008933587855569,0.0,0.5104611987045329,0.9767912047919423,1,49.0,1,1,1.5559246692444932,1.5559246692444932
2016-07-03,air_a24bf50c3e90d583,0,0,0,1,0,0,0,1.2187838943883702,1.137829954363595,0.0,0.66476657375747,1.1402306780346885,1,16.0,1,1,-0.386181650544186,-0.386181650544186
2016-07-04,air_a24bf50c3e90d583,0,1,0,0,0,0,0,1.4705117343559257,1.662753570746075,0.0,1.4105758865133304,1.2056064673317868,1,7.0,1,1,-1.1408456889675318,-1.1408456889675318
2016-07-05,air_a24bf50c3e90d583,0,0,0,0,0,1,0,0.9899404035087739,0.8411339972778452,0.0,0.2275680111074824,0.9767912047919423,1,8.0,1,1,-0.48851528494577384,-0.48851528494577384
2016-07-06,air_a24bf50c3e90d583,0,0,0,0,0,0,1,0.8411921344370363,0.8753681461723549,0.0,0.5618963237221788,0.7806638369006467,1,26.0,1,1,-0.038991538192617206,-0.03899153819261719
2016-07-07,air_a24bf50c3e90d583,0,0,0,0,1,0,0,1.3217634652841883,1.6285194218515657,0.0,1.7191866366192041,1.1293347131518385,1,3.0,1,1,-0.10448506420963341,-0.1044850642096334
2016-07-08,air_a24bf50c3e90d583,1,0,0,0,0,0,0,0.8984030071569353,0.6471404868756244,0.0,-1.4697911144748212,1.0966468185032892,1,21.0,1,1,1.198687254606223,1.198687254606223
2016-07-09,air_a24bf50c3e90d583,0,0,1,0,0,0,0,0.6009064690134602,0.3846786786843842,0.0,-1.5983789270189352,0.6390162934235999,1,59.0,1,1,1.4960129778312,1.4960129778312
2016-07-10,air_a24bf50c3e90d583,0,0,0,1,0,0,0,0.9556138798768344,1.0693616565745758,0.0,0.43330851117806485,0.813351731549196,1,11.0,1,1,-0.2291460370261131,-0.22914603702611308
2016-07-11,air_a24bf50c3e90d583,0,1,0,0,0,0,0,1.1730151962124507,1.4345259114493445,0.0,1.6163163865839127,0.9441033101433929,1,33.0,1,1,-1.190337955787209,-1.190337955787209
2016-07-12,air_a24bf50c3e90d583,0,0,0,0,0,1,0,1.0585934507726524,1.0008933587855569,0.0,-1.5469438020012896,1.0748548887375897,1,15.0,1,1,-0.4736303926691793,-0.4736303926691792
2016-07-13,air_a24bf50c3e90d583,0,0,0,0,0,0,1,1.1158043234925517,1.0579502736097395,0.0,-1.1354628018601252,1.2056064673317868,1,31.0,1,1,-0.40181078743461035,-0.40181078743461035
2016-07-14,air_a24bf50c3e90d583,0,0,0,0,1,0,0,1.2759947671082692,1.4573486773790179,0.0,1.359140761495685,1.1947105024489373,1,22.0,1,1,-0.18746833865164825,-0.18746833865164825
2016-07-15,air_a24bf50c3e90d583,1,0,0,0,0,0,0,1.150130847124491,1.137829954363595,0.0,0.9476597613545206,1.0857508536204397,1,19.0,1,1,0.9880660288924096,0.9880660288924096
2016-07-16,air_a24bf50c3e90d583,0,0,1,0,0,0,0,0.8640764835249959,0.704197401699807,0.0,-0.8525696142630744,0.9876871696747918,1,36.0,1,1,1.4375897756455662,1.4375897756455662
2016-07-17,air_a24bf50c3e90d583,0,0,0,1,0,0,0,1.104362148948572,1.115007188433922,0.0,-1.2126154893865935,1.107542783386139,1,25.0,1,1,0.5184476775658502,0.5184476775658502
2016-07-18,air_a24bf50c3e90d583,0,1,0,0,0,0,0,1.3789743380040873,1.5144055922032005,1.0,1.8734920116721407,1.2273983970974864,1,16.0,1,1,-0.9968343561914791,-0.9968343561914791
2016-07-19,air_a24bf50c3e90d583,0,0,0,0,0,1,0,1.081477799860612,1.0465388906449027,0.0,0.33043826114277364,1.1402306780346885,1,22.0,1,1,-0.8226811165553224,-0.8226811165553224
2016-07-20,air_a24bf50c3e90d583,0,0,0,0,0,0,1,1.0585934507726524,1.0351275076800661,0.0,0.5361787612133561,1.0966468185032892,1,16.0,1,1,-0.34487607447663604,-0.34487607447663604
2016-07-21,air_a24bf50c3e90d583,0,0,0,0,1,0,0,1.024266927140713,1.0351275076800661,0.0,0.8447895113192293,1.0857508536204397,1,9.0,1,1,-0.12569603570378068,-0.12569603570378068
2016-07-22,air_a24bf50c3e90d583,1,0,0,0,0,0,0,0.8869608326129554,0.749842933559153,0.0,-1.032592551824834,1.0421669940890406,1,42.0,1,1,1.0513268210679365,1.0513268210679365
2016-07-23,air_a24bf50c3e90d583,0,0,1,0,0,0,0,0.7725390871731573,0.704197401699807,0.0,-1.521226239492467,0.9658952399090923,1,51.0,1,1,1.3650259257971675,1.3650259257971675
2016-07-24,air_a24bf50c3e90d583,0,0,0,1,0,0,0,0.8183077853490768,0.8411339972778452,0.0,-0.8782871767718973,0.933207345260543,1,10.0,1,1,-0.40813686665216303,-0.40813686665216303
2016-07-25,air_a24bf50c3e90d583,0,1,0,0,0,0,0,0.9212873562448949,0.9780705928558835,0.0,0.4590260736868875,1.031271029206191,1,34.0,1,1,-1.0470708676249858,-1.0470708676249858
2016-07-26,air_a24bf50c3e90d583,0,0,0,0,0,1,0,0.6466751671893797,0.4759697424030765,0.0,-1.5726613645101124,0.7479759422520973,1,6.0,1,1,-0.3210602468340847,-0.3210602468340847
2016-07-27,air_a24bf50c3e90d583,0,0,0,0,0,0,1,0.7839812617171373,0.704197401699807,0.0,-1.36692086443953,0.8351436613148954,1,31.0,1,1,-0.11899783417931313,-0.11899783417931312
2016-07-28,air_a24bf50c3e90d583,0,0,0,0,1,0,0,0.9327295307888749,0.9324250609965375,0.0,-0.9811574268071884,1.0748548887375897,1,17.0,1,1,0.1046476722765206,0.10464767227652061
2016-07-29,air_a24bf50c3e90d583,1,0,0,0,0,0,0,0.9899404035087739,0.9438364439613742,0.0,-0.3896534891042643,0.9658952399090923,1,29.0,1,1,1.2961832990179176,1.2961832990179176
2016-07-30,air_a24bf50c3e90d583,0,0,1,0,0,0,0,1.0700356253166325,1.0807730395394124,0.0,1.6677515116015582,0.933207345260543,1,29.0,1,1,1.413773948003015,1.413773948003015
2016-07-31,air_a24bf50c3e90d583,0,0,0,1,0,0,0,1.1844573707564305,1.2177096351174508,0.0,1.3848583240045076,1.0421669940890406,1,23.0,1,1,-0.3634821898223793,-0.3634821898223793
2016-08-01,air_a24bf50c3e90d583,0,1,0,0,0,0,0,1.1730151962124507,1.1720641032581047,0.0,0.12469776107219138,1.2600862917460354,1,28.0,1,1,-1.101400724434556,-1.101400724434556
2016-08-02,air_a24bf50c3e90d583,0,0,0,0,0,1,0,1.0700356253166325,1.0123047417503932,0.0,-0.2353481140513277,1.1293347131518385,1,24.0,1,1,-0.7478845328654345,-0.7478845328654345
2016-08-03,air_a24bf50c3e90d583,0,0,0,0,0,0,1,1.081477799860612,1.0465388906449027,0.0,-0.15819542652485938,1.0857508536204397,1,29.0,1,1,-0.2994771530330225,-0.2994771530330225
2016-08-04,air_a24bf50c3e90d583,0,0,0,0,1,0,0,1.1730151962124507,1.1264185713987585,0.0,1.230552948951571,1.1402306780346885,1,20.0,1,1,-0.17258344637505366,-0.17258344637505366
2016-08-05,air_a24bf50c3e90d583,1,0,0,0,0,0,0,1.20734171984439,1.137829954363595,0.0,1.230552948951571,1.1402306780346885,1,29.0,1,1,0.8801505598870988,0.8801505598870988
2016-08-06,air_a24bf50c3e90d583,0,0,1,0,0,0,0,1.2302260689323496,1.1720641032581047,0.0,1.4362934490221535,1.2273983970974864,1,41.0,1,1,0.6375268157786069,0.6375268157786069
