visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Bunkyō-ku Kasuga,total_area_visitors,total_genre_visitors
2016-01-01,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-0.9614534132383723,-0.9433297735770746,1.0,0.9537023906906628,-0.9394081745158015,1,21.0,1,1,-1.9623638860342785,-1.9623638860342785
2016-01-02,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-0.9867575479412267,-0.7789028012841588,1.0,0.5723325804428853,-1.0602599818524565,1,16.0,1,1,-1.8143584749321295,-1.8143584749321295
2016-01-03,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-0.733716200912683,-0.42475239942249426,1.0,0.7757298125750335,-1.0119192589177943,1,32.0,1,1,-1.6796259687173136,-1.6796259687173136
2016-01-04,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-0.7463682682641103,-0.5512346858016602,0.0,0.9282777366741444,-0.8427267286464775,1,28.0,1,1,-1.4845393100902846,-1.4845393100902846
2016-01-05,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-0.5312831232898481,-0.5259382285258268,0.0,0.8011544665915519,-0.758130463510819,1,9.0,1,1,-1.356067608067607,-1.356067608067607
2016-01-06,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-0.7843244703183917,-1.0445156026804072,0.0,-1.3345164707960024,-0.5164268488375092,1,6.0,1,1,-1.2927082696431675,-1.2927082696431675
2016-01-08,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-1.0500178846983628,-1.0951085172320736,0.0,0.877428428641107,-0.999834078184129,1,11.0,1,1,-0.8940202586878017,-0.8940202586878017
2016-01-09,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-0.9867575479412267,-1.0065709167666577,0.0,0.9282777366741444,-1.0360896203851253,1,44.0,1,1,-0.6390803119839307,-0.6390803119839307
2016-01-10,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-0.9108451438326636,-0.8421439444737417,0.0,0.9791270447071811,-1.0844303433197873,1,35.0,1,1,-0.9213173649655246,-0.9213173649655245
2016-01-11,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-1.0120616826440811,-1.1457014317837402,1.0,-0.4955028882508919,-0.9152378130484705,1,21.0,1,1,-1.2786840682527778,-1.2786840682527778
2016-01-12,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-1.4801881746468868,-1.7022234918520704,0.0,-1.3345164707960024,-1.2657080543247696,1,12.0,1,1,-1.3317756878021105,-1.3317756878021105
2016-01-13,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-1.3663195684840423,-1.246887260887073,0.0,0.877428428641107,-1.4832413075307487,1,8.0,1,1,-1.1304282249829434,-1.1304282249829434
2016-01-15,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-1.2018426929154888,-1.0951085172320736,0.0,0.7248805045419962,-1.1327710662544492,1,11.0,1,1,-0.7665502853358662,-0.7665502853358661
2016-01-16,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-1.0879740867526442,-0.9812744594908243,0.0,0.9791270447071811,-1.1569414277217802,1,29.0,1,1,-0.6210491959105725,-0.6210491959105724
2016-01-17,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-1.1765385582126346,-1.3860177759041554,0.0,-0.5463521962839288,-1.0965155240534528,1,21.0,1,1,-1.2158255941637095,-1.2158255941637095
2016-01-18,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-1.55610057875545,-1.6895752632141539,0.0,-0.9785713145647434,-1.3503043194604283,1,8.0,1,1,-1.4953078933007624,-1.4953078933007624
2016-01-19,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-1.265103029672625,-1.3860177759041554,0.0,0.9791270447071811,-1.2657080543247696,1,6.0,1,1,-1.2621555451855329,-1.2621555451855329
2016-01-20,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-1.3916237031868965,-1.3227766327145725,0.0,1.0045516987236995,-1.4590709460634177,1,15.0,1,1,-1.1389429186842515,-1.1389429186842512
2016-01-22,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-1.1765385582126346,-1.1709978890595731,0.0,0.7248805045419962,-1.0119192589177943,1,30.0,1,1,-0.7149612587926467,-0.7149612587926467
2016-01-23,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-1.416927837889751,-1.6642788059383204,0.0,-1.2836671627629654,-1.0602599818524565,1,21.0,1,1,-0.6428367944992137,-0.6428367944992136
2016-01-24,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-1.4928402419983142,-1.3101284040766559,0.0,0.9537023906906628,-1.5194968497317451,1,21.0,1,1,-1.3292713661252553,-1.329271366125255
2016-01-29,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-1.227146827618343,-1.4872036050074882,0.0,-1.3345164707960024,-1.0602599818524565,1,7.0,1,1,-0.8990289020415123,-0.8990289020415123
2016-01-30,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-1.4928402419983142,-1.841354006869153,0.0,-1.3345164707960024,-1.193196969922777,1,21.0,1,1,-0.6022667833341576,-0.6022667833341575
2016-01-31,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-1.138582356158353,-1.057163831318324,0.0,-0.03785911595355892,-1.2173673313901077,1,20.0,1,1,-1.1484593410563015,-1.1484593410563015
2016-02-01,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-1.3157112990783333,-1.626334120024571,0.0,-1.3345164707960024,-1.0602599818524565,1,7.0,1,1,-1.398891508741833,-1.398891508741833
2016-02-02,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-1.15123442350978,-1.120404974507907,0.0,0.8265791206080703,-1.0602599818524565,1,34.0,1,1,-1.2531399871488538,-1.2531399871488536
2016-02-03,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-1.2777550970240519,-1.3101284040766559,0.0,0.47063396437681115,-1.193196969922777,1,14.0,1,1,-1.1795129298493074,-1.1795129298493074
2016-02-05,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-0.9614534132383723,-0.7915510299220754,0.0,0.9537023906906628,-1.3019635965257663,1,17.0,1,1,-0.7743136825341177,-0.7743136825341176
2016-02-06,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-1.0626699520497898,-1.2215908036112397,0.0,-1.0802699306308174,-0.8427267286464775,1,42.0,1,1,-0.5546846714739067,-0.5546846714739065
2016-02-07,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-1.2777550970240519,-1.2848319468008227,0.0,0.9282777366741444,-1.193196969922777,1,34.0,1,1,-1.155721873919182,-1.155721873919182
2016-02-08,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-1.353667501132615,-1.2974801754387393,0.0,0.06383950011251519,-1.2173673313901077,1,19.0,1,1,-1.3483042108693557,-1.3483042108693555
2016-02-09,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-1.075322019401217,-0.6144758289912432,0.0,0.8520037746245887,-1.3019635965257663,1,10.0,1,1,-1.1339342753305408,-1.1339342753305408
2016-02-10,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-1.15123442350978,-1.1077567458699902,0.0,1.1825242768393294,-1.1811117891891114,1,11.0,1,1,-0.8151341258668593,-0.8151341258668593
2016-02-11,air_5b6d18c470bbfaf9,0,0,0,0,1,0,0,-1.15123442350978,-1.0192191454045743,1.0,1.1825242768393294,-1.169026608455446,1,43.0,1,1,-0.8872585901602923,-0.8872585901602923
2016-02-12,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-0.9994096152926538,-0.9686262308529078,0.0,-0.7243247743995584,-1.193196969922777,1,6.0,1,1,-0.8319130811017899,-0.8319130811017899
2016-02-13,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-0.13906903539560536,0.2835484043008353,0.0,-0.16498238603615142,-0.3714046800335231,1,27.0,1,1,-0.6450906840083834,-0.6450906840083834
2016-02-14,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,0.4302739954186179,0.4353271479558343,0.0,-0.21583169406918826,0.45038760985573034,1,27.0,1,1,-1.1730016934894836,-1.1730016934894836
2016-02-15,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-0.8855410091298093,-0.5132899998879104,0.0,-1.2328178547299284,-0.9877488974504635,1,14.0,1,1,-1.3518102612169531,-1.3518102612169531
2016-02-16,air_5b6d18c470bbfaf9,0,0,0,0,0,1,0,-1.2018426929154888,-1.2089425749733231,0.0,1.055401006756737,-1.2294525121237734,1,22.0,1,1,-1.1937875634073827,-1.1937875634073827
2016-02-17,air_5b6d18c470bbfaf9,0,0,0,0,0,0,1,-1.1259302888069256,-0.7789028012841588,0.0,0.8265791206080703,-1.2173673313901077,1,31.0,1,1,-1.0275006040641899,-1.0275006040641899
2016-02-19,air_5b6d18c470bbfaf9,1,0,0,0,0,0,0,-0.6831079315069744,-0.3868077135087444,0.0,1.0299763527402184,-1.0844303433197873,1,25.0,1,1,-0.7229750881585837,-0.7229750881585837
2016-02-20,air_5b6d18c470bbfaf9,0,0,1,0,0,0,0,-0.8981930764812364,-1.057163831318324,0.0,-1.1819685466968914,-0.588937933239502,1,37.0,1,1,-0.7565329986284449,-0.7565329986284449
2016-02-21,air_5b6d18c470bbfaf9,0,0,0,1,0,0,0,-0.7084120662098287,-0.4879935426120772,0.0,-0.3683796181682994,-0.6251934754404985,1,95.0,1,1,-1.1194092096047799,-1.1194092096047799
2016-02-22,air_5b6d18c470bbfaf9,0,1,0,0,0,0,0,-1.0626699520497898,-1.234239032249156,0.0,-1.20739320071341,-0.78230082497815,1,36.0,1,1,-1.339038220664991,-1.339038220664991
