visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-0.7321408866117699,-0.5396159986230641,0.0,0.870944299675877,-0.8233620706970678,1,6.0,1,1,-1.507917378212718,-1.5079173782127178
2016-01-05,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-0.5206424859142391,-0.5149287751930134,0.0,0.7486485156606685,-0.7398947035552852,1,42.0,1,1,-1.3795594956548702,-1.3795594956548702
2016-01-06,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-0.7694641337936869,-1.0210168555090489,0.0,-1.3059206557948346,-0.5014165117216204,1,23.0,1,1,-1.3162562904167896,-1.3162562904167894
2016-01-07,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-0.7943462985816319,-0.8235190680686448,0.0,-0.13188112924883294,-0.8114381611053846,1,32.0,1,1,-1.2479488792310345,-1.2479488792310343
2016-01-08,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-1.030726864067107,-1.07039130236915,0.0,0.8220259860697934,-0.97837289538895,1,35.0,1,1,-0.9179214969819097,-0.9179214969819095
2016-01-09,air_609050e4e4f79ae1,0,0,1,0,0,0,0,-0.9685214520972453,-0.9839860203639733,0.0,0.870944299675877,-1.0141446241639995,1,5.0,1,1,-0.6632074142452843,-0.6632074142452842
2016-01-10,air_609050e4e4f79ae1,0,0,0,1,0,0,0,-0.8938749577334109,-0.8235190680686448,0.0,0.9198626132819603,-1.0618402625307326,1,16.0,1,1,-0.945194419396735,-0.9451944193967349
2016-01-12,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.4537236654621684,-1.6628846646903626,0.0,-1.3059206557948346,-1.2406989064059812,1,21.0,1,1,-1.3552890968086497,-1.3552890968086495
2016-01-13,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.341753923916417,-1.2185146429494533,0.0,0.8220259860697934,-1.4553292790562797,1,30.0,1,1,-1.15412001771214,-1.1541200177121398
2016-01-14,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-1.1302555232188862,-1.0086732437940238,0.0,0.9198626132819603,-1.324166273547764,1,24.0,1,1,-1.0627932591670828,-1.0627932591670826
2016-01-15,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-1.1800198527947758,-1.07039130236915,0.0,0.6752710452515432,-1.1095359008974657,1,35.0,1,1,-0.790564455613597,-0.7905644556135969
2016-01-16,air_609050e4e4f79ae1,0,0,1,0,0,0,0,-1.0680501112490244,-0.9592987969339226,0.0,0.9198626132819603,-1.133383720080832,1,10.0,1,1,-0.6451922728336565,-0.6451922728336564
2016-01-17,air_609050e4e4f79ae1,0,0,0,1,0,0,0,-1.155137688006831,-1.3542943718147311,0.0,-0.5476867949005418,-1.0737641721224158,1,8.0,1,1,-1.239441729119988,-1.2394417291199877
2016-01-18,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-1.5283701598260027,-1.6505410529753373,0.0,-0.9634924605522508,-1.324166273547764,1,34.0,1,1,-1.518676421000218,-1.5186764210002177
2016-01-19,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.242225264764638,-1.3542943718147311,0.0,0.9198626132819603,-1.2406989064059812,1,34.0,1,1,-1.285730634135976,-1.2857306341359758
2016-01-20,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.3666360887043618,-1.2925763132396046,0.0,0.9443217700850018,-1.431481459872913,1,25.0,1,1,-1.1626271678231863,-1.1626271678231863
2016-01-21,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-1.2049020175827205,-1.2432018663795037,0.0,0.5040569476302514,-1.228774996814298,1,36.0,1,1,-1.0425262250790015,-1.0425262250790013
2016-01-22,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-1.155137688006831,-1.1444529726593016,0.0,0.6752710452515432,-0.9902968049806332,1,39.0,1,1,-0.739021134352551,-0.7390211343525508
2016-01-23,air_609050e4e4f79ae1,0,0,1,0,0,0,0,-1.3915182534923065,-1.6258538295452867,0.0,-1.2570023421887513,-1.0379924433473662,1,17.0,1,1,-0.66696056870604,-0.6669605687060399
2016-01-24,air_609050e4e4f79ae1,0,0,0,1,0,0,0,-1.4661647478561408,-1.2802327015245796,0.0,0.8954034564789186,-1.4911010078313292,1,6.0,1,1,-1.3527869938348125,-1.3527869938348123
2016-01-25,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-1.5159290774320304,-1.3789815952447815,0.0,1.0421583972971689,-1.6580357421148946,1,16.0,1,1,-1.3770573926810332,-1.377057392681033
2016-01-26,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.4039593358862787,-1.2308582546644784,0.0,0.7975668292667517,-1.5030249174230126,1,31.0,1,1,-1.2071646007574883,-1.207164600757488
2016-01-27,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.092932276036969,-0.7618010094935186,0.0,0.9932400836910855,-1.479177098239646,1,35.0,1,1,-1.0580392635167921,-1.058039263516792
2016-01-28,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-0.9063160401273833,-0.687739339203367,0.0,0.9932400836910855,-1.0976119913057825,1,24.0,1,1,-1.0635438900592338,-1.0635438900592338
2016-01-29,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-1.2049020175827205,-1.453043265534933,0.0,-1.3059206557948346,-1.0379924433473662,1,40.0,1,1,-0.9229257029295841,-0.922925702929584
2016-01-30,air_609050e4e4f79ae1,0,0,1,0,0,0,0,-1.4661647478561408,-1.7986643935556403,0.0,-1.3059206557948346,-1.1691554488558817,1,8.0,1,1,-0.6264265005298777,-0.6264265005298775
2016-02-01,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-1.2919895943405275,-1.588822994400211,0.0,-1.3059206557948346,-1.0379924433473662,1,38.0,1,1,-1.4223454565074862,-1.422345456507486
2016-02-02,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.1302555232188862,-1.0950785257992006,0.0,0.7731076724637101,-1.0379924433473662,1,39.0,1,1,-1.276723063430162,-1.2767230634301618
2016-02-03,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.2546663471586101,-1.2802327015245796,0.0,0.4306794772211262,-1.1691554488558817,1,27.0,1,1,-1.2031612359993489,-1.2031612359993487
2016-02-04,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-1.242225264764638,-1.2432018663795037,0.0,0.1371695955846259,-1.2168510872226148,1,25.0,1,1,-1.1661301119865584,-1.1661301119865584
2016-02-05,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-0.9436392873093005,-0.7741446212085438,0.0,0.8954034564789186,-1.276470635181031,1,28.0,1,1,-0.7983209748324922,-0.7983209748324921
2016-02-08,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-1.3293128415224444,-1.267889089809554,0.0,0.03933296837245902,-1.1930032680392482,1,22.0,1,1,-1.3718029764359752,-1.371802976435975
2016-02-09,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.055609028855052,-0.6013340571981903,0.0,0.7975668292667517,-1.276470635181031,1,37.0,1,1,-1.157622961875512,-1.1576229618755118
2016-02-10,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.1302555232188862,-1.0827349140841753,0.0,1.115535867706294,-1.1572315392641985,1,32.0,1,1,-0.8391052533060384,-0.8391052533060382
2016-02-11,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-1.1302555232188862,-0.9963296320789985,1.0,1.115535867706294,-1.1453076296725155,1,19.0,1,1,-0.9111658189525493,-0.9111658189525491
2016-02-12,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-0.9809625344912176,-0.9469551852188974,0.0,-0.7189008925218339,-1.1691554488558817,1,32.0,1,1,-0.8558693432307475,-0.8558693432307474
2016-02-15,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-0.8689927929454662,-0.5025851634779882,0.0,-1.2080840285826677,-0.9664489857972668,1,39.0,1,1,-1.3753059205993472,-1.375305920599347
2016-02-16,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.1800198527947758,-1.1814838078043775,0.0,0.9932400836910855,-1.2049271776309316,1,31.0,1,1,-1.2174232229502207,-1.2174232229502207
2016-02-17,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.1053733584309415,-0.7618010094935186,0.0,0.7731076724637101,-1.1930032680392482,1,32.0,1,1,-1.0512835854874316,-1.0512835854874316
2016-02-18,air_609050e4e4f79ae1,0,0,0,0,1,0,0,-1.1053733584309415,-1.0950785257992006,0.0,0.35730200681200114,-1.2168510872226148,1,28.0,1,1,-1.060791576788013,-1.0607915767880127
2016-02-19,air_609050e4e4f79ae1,1,0,0,0,0,0,0,-0.669935474641908,-0.3791490463277356,0.0,0.968780926888044,-1.0618402625307326,1,31.0,1,1,-0.7470278638688299,-0.7470278638688298
2016-02-20,air_609050e4e4f79ae1,0,0,1,0,0,0,0,-0.8814338753394385,-1.0333604672240744,0.0,-1.1591657149765846,-0.5729599692717198,1,15.0,1,1,-0.7805560437182483,-0.780556043718248
2016-02-21,air_609050e4e4f79ae1,0,0,0,1,0,0,0,-0.6948176394298526,-0.47789794004793773,0.0,-0.37647269727925,-0.6087316980467695,1,3.0,1,1,-1.1431107646272562,-1.1431107646272562
2016-02-22,air_609050e4e4f79ae1,0,1,0,0,0,0,0,-1.0431679464610797,-1.2061710312344278,0.0,-1.183624871779626,-0.7637425227386516,1,20.0,1,1,-1.3625451954327774,-1.3625451954327774
2016-02-23,air_609050e4e4f79ae1,0,0,0,0,0,1,0,-1.0431679464610797,-1.1814838078043775,0.0,-1.281461498991793,-0.7637425227386516,1,27.0,1,1,-1.1498664426566167,-1.1498664426566165
2016-02-24,air_609050e4e4f79ae1,0,0,0,0,0,0,1,-1.155137688006831,-1.4653868772499583,0.0,-1.281461498991793,-1.0499163529390494,1,22.0,1,1,-1.1065800612092334,-1.1065800612092334
