visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Taitō-ku Higashiueno,total_area_visitors,total_genre_visitors
2016-01-01,air_d0a7bd3339c3d12a,1,0,0,0,0,0,0,-0.9893951745123523,-0.9728381019845274,1.0,0.8778639666054048,-0.9464733669374616,1,62.0,1,1,-2.0348292488891704,-2.0348292488891704
2016-01-02,air_d0a7bd3339c3d12a,0,0,1,0,0,0,0,-1.0147887262057755,-0.808847115506431,1.0,0.5085863887693832,-1.0671245292227243,1,37.0,1,1,-1.8910365961733684,-1.8910365961733684
2016-01-03,air_d0a7bd3339c3d12a,0,0,0,1,0,0,0,-0.7608532092715435,-0.4556357600151466,1.0,0.7055344302819282,-1.0188640643086193,1,34.0,1,1,-1.7601390544456161,-1.7601390544456161
2016-01-06,air_d0a7bd3339c3d12a,0,0,0,0,0,0,1,-0.8116403126583899,-1.0737556321248942,0.0,-1.3378015004107247,-0.5241942989390423,1,20.0,1,1,-1.3842344039449153,-1.3842344039449153
2016-01-07,air_d0a7bd3339c3d12a,0,0,0,0,1,0,0,-0.8370338643518133,-0.8719205718441603,0.0,-0.1561132513354557,-0.8378873208807253,1,16.0,1,1,-1.3178124171574128,-1.3178124171574128
2016-01-08,air_d0a7bd3339c3d12a,1,0,0,0,0,0,0,-1.0782726054393332,-1.1242143971950778,0.0,0.8040084510382003,-1.006798948080093,1,13.0,1,1,-0.9968944663416041,-0.9968944663416041
2016-01-09,air_d0a7bd3339c3d12a,0,0,1,0,0,0,0,-1.0147887262057755,-1.0359115583222567,0.0,0.8532454614163367,-1.0429942967656718,1,29.0,1,1,-0.7492110137786826,-0.7492110137786826
2016-01-10,air_d0a7bd3339c3d12a,0,0,0,1,0,0,0,-0.9386080711255058,-0.8719205718441603,0.0,0.9024824717944727,-1.0912547616797768,1,32.0,1,1,-1.0234146002604236,-1.0234146002604236
2016-01-13,air_d0a7bd3339c3d12a,0,0,0,0,0,0,1,-1.3956920016071233,-1.2755906924056284,0.0,0.8040084510382003,-1.4894035972211437,1,14.0,1,1,-1.2265734243174369,-1.2265734243174369
2016-01-14,air_d0a7bd3339c3d12a,0,0,0,0,1,0,0,-1.1798468122130261,-1.0611409408573484,0.0,0.9024824717944727,-1.3566873187073547,1,19.0,1,1,-1.1377674712865269,-1.1377674712865269
2016-01-15,air_d0a7bd3339c3d12a,1,0,0,0,0,0,0,-1.2306339155998727,-1.1242143971950778,0.0,0.6562974199037918,-1.139515226593882,1,23.0,1,1,-0.8730527400601433,-0.8730527400601433
2016-01-16,air_d0a7bd3339c3d12a,0,0,1,0,0,0,0,-1.1163629329794682,-1.010682175787165,0.0,0.9024824717944727,-1.1636454590509344,1,15.0,1,1,-0.7316931271534073,-0.7316931271534073
2016-01-17,air_d0a7bd3339c3d12a,0,0,0,1,0,0,0,-1.2052403639064493,-1.4143522963486328,0.0,-0.5746278395496134,-1.103319877908303,1,28.0,1,1,-1.3095400818065883,-1.3095400818065883
2016-01-20,air_d0a7bd3339c3d12a,0,0,0,0,0,0,1,-1.4210855533005464,-1.3512788400109035,0.0,0.9271009769835408,-1.465273364764091,1,12.0,1,1,-1.2348457596682614,-1.2348457596682614
2016-01-21,air_d0a7bd3339c3d12a,0,0,0,0,1,0,0,-1.2560274672932956,-1.30082007494072,0.0,0.4839678835803152,-1.2601663888791446,1,11.0,1,1,-1.1180598488330922,-1.1180598488330922
2016-01-22,air_d0a7bd3339c3d12a,1,0,0,0,0,0,0,-1.2052403639064493,-1.1999025448003529,0.0,0.6562974199037918,-1.0188640643086193,1,17.0,1,1,-0.8229321199933832,-0.8229321199933832
2016-01-23,air_d0a7bd3339c3d12a,0,0,1,0,0,0,0,-1.4464791049939696,-1.691875504234642,0.0,-1.2885644900325883,-1.0671245292227243,1,20.0,1,1,-0.7528605734922816,-0.7528605734922816
2016-01-24,air_d0a7bd3339c3d12a,0,0,0,1,0,0,0,-1.522659760074239,-1.3386641487433577,0.0,0.8778639666054048,-1.5255989459067223,1,16.0,1,1,-1.4197567851572792,-1.4197567851572792
2016-01-27,air_d0a7bd3339c3d12a,0,0,0,0,0,0,1,-1.1417564846728914,-0.808847115506431,0.0,0.9763379873616772,-1.5135338296781962,1,17.0,1,1,-1.1331446956493014,-1.1331446956493014
2016-01-28,air_d0a7bd3339c3d12a,0,0,0,0,1,0,0,-0.9513048469722175,-0.7331589679011558,0.0,0.9763379873616772,-1.1274501103653556,1,20.0,1,1,-1.1384973832292467,-1.1384973832292467
2016-01-29,air_d0a7bd3339c3d12a,1,0,0,0,0,0,0,-1.2560274672932956,-1.5152698264889997,0.0,-1.3378015004107247,-1.0671245292227243,1,5.0,1,1,-1.001760545959736,-1.001760545959736
