visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Bar/Cocktail,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-01,air_3b6438b125086430,1,0,0,0,0,0,0,-1.1429207498213152,-0.9463112274471013,1.0,0.8831338111978031,-1.2517172089958244,1,10.0,1,1,-1.9771636553639127,-1.9771636553639127
2016-01-02,air_3b6438b125086430,0,0,1,0,0,0,0,-0.9580506706589794,-0.8066957454648499,1.0,-0.8355156463468221,-1.1054265698464987,1,8.0,1,1,-1.8273679125866074,-1.8273679125866074
2016-01-03,air_3b6438b125086430,0,0,0,1,0,0,0,-0.6807455519154758,-0.5390994049988683,1.0,-0.1879086043734851,-0.7340734089289793,1,19.0,1,1,-1.6910056289754565,-1.6910056289754565
2016-01-04,air_3b6438b125086430,0,1,0,0,0,0,0,-0.5767561323866619,-0.4576570405092216,0.0,0.48460640075267253,-0.5540233915144246,1,22.0,1,1,-1.4935591253823586,-1.4935591253823586
2016-01-05,air_3b6438b125086430,0,0,0,0,0,1,0,-0.9349419107636874,-1.1208305799249154,0.0,-1.3087669462504143,-0.7003140306637503,1,9.0,1,1,-1.3635333791137332,-1.3635333791137332
2016-01-08,air_3b6438b125086430,1,0,0,0,0,0,0,-1.0273769503448553,-1.1324652034234364,0.0,-1.1095032410278494,-0.9366296785203535,1,10.0,1,1,-0.8958969232353436,-0.8958969232353436
2016-01-09,air_3b6438b125086430,0,0,1,0,0,0,0,-1.1313663698736691,-1.0975613329278735,0.0,0.2604347323772866,-1.0716671915812694,1,26.0,1,1,-0.637873122647701,-0.637873122647701
2016-01-10,air_3b6438b125086430,0,0,0,1,0,0,0,-1.0851488500830853,-0.9463112274471013,0.0,0.5842382533639551,-1.0829203176696793,1,13.0,1,1,-0.9235242260487553,-0.9235242260487553
2016-01-11,air_3b6438b125086430,0,1,0,0,0,0,0,-1.0158225703972095,-0.9346766039485804,1.0,0.40988251129421066,-1.026654687227631,1,14.0,1,1,-1.2852137775601167,-1.2852137775601167
2016-01-12,air_3b6438b125086430,0,0,0,0,0,1,0,-0.9464962907113335,-1.0277535919367478,0.0,-0.26263249383194703,-0.7790859132826181,1,16.0,1,1,-1.3389476142247339,-1.3389476142247339
2016-01-13,air_3b6438b125086430,0,0,0,0,0,0,1,-1.2238014094548368,-1.2720806854056876,0.0,-0.9102395358052839,-1.161692200288547,1,18.0,1,1,-1.1351645732891105,-1.1351645732891105
2016-01-14,air_3b6438b125086430,0,0,0,0,1,0,0,-1.350899588878943,-1.2139075679130829,0.0,-0.23772453067912644,-1.330489091614692,1,6.0,1,1,-1.0426511280882367,-1.0426511280882367
2016-01-15,air_3b6438b125086430,1,0,0,0,0,0,0,-1.2700189292454211,-1.1324652034234364,0.0,0.6340541796695963,-1.195451578553776,1,5.0,1,1,-0.7668850229415224,-0.7668850229415224
2016-01-16,air_3b6438b125086430,0,0,1,0,0,0,0,-1.2353557894024831,-1.1208305799249154,0.0,0.6838701059752377,-1.330489091614692,1,12.0,1,1,-0.6196238951012273,-0.6196238951012273
2016-01-17,air_3b6438b125086430,0,0,0,1,0,0,0,-1.258464549297775,-1.4466000378835018,0.0,-1.3087669462504143,-1.0491609394044503,1,17.0,1,1,-1.2215949426411596,-1.2215949426411596
2016-01-18,air_3b6438b125086430,0,1,0,0,0,0,0,-1.1313663698736691,-1.016118968438227,0.0,-0.01355286230374049,-1.2517172089958244,1,3.0,1,1,-1.5044579696115026,-1.5044579696115026
2016-01-19,air_3b6438b125086430,0,0,0,0,0,1,0,-1.7321941271512602,-1.8654464838302558,0.0,0.011355100849080074,-1.476779730764018,1,9.0,1,1,-1.2684853189758492,-1.2684853189758492
2016-01-20,air_3b6438b125086430,0,0,0,0,0,0,1,-1.5242152880936326,-1.4233307908864599,0.0,0.5095143639054931,-1.5555516133828857,1,11.0,1,1,-1.1437822640749453,-1.1437822640749453
2016-01-22,air_3b6438b125086430,1,0,0,0,0,0,0,-1.2006926495595451,-1.1324652034234364,0.0,0.13589491661318334,-1.195451578553776,1,8.0,1,1,-0.7146719552391114,-0.7146719552391114
2016-01-23,air_3b6438b125086430,0,0,1,0,0,0,0,-1.3740083487742347,-1.5280424023731485,0.0,-0.9351474989581047,-1.262970335084234,1,26.0,1,1,-0.6416750450532164,-0.6416750450532164
2016-01-24,air_3b6438b125086430,0,0,0,1,0,0,0,-2.07882552558064,-2.214485188785884,0.0,0.03626306400190086,-1.8143735134163081,1,13.0,1,1,-1.3364129992877236,-1.3364129992877236
2016-01-25,air_3b6438b125086430,0,1,0,0,0,0,0,-1.7321941271512602,-1.6443886373583578,0.0,0.5344223270583139,-1.7468547568858501,1,29.0,1,1,-1.360998764176723,-1.360998764176723
2016-01-26,air_3b6438b125086430,0,0,0,0,0,1,0,-1.3624539688265889,-1.5629462728687111,0.0,-1.258951019944773,-1.2854765872610534,1,10.0,1,1,-1.1888984099537276,-1.1888984099537276
2016-01-27,air_3b6438b125086430,0,0,0,0,0,0,1,-1.1082576099783772,-1.0277535919367478,0.0,0.03626306400190086,-1.1279328220233178,1,7.0,1,1,-1.037835359707917,-1.037835359707917
