visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Other,Ōsaka-fu Ōsaka-shi Kyōmachibori,total_area_visitors,total_genre_visitors
2016-01-05,air_efef1e3daecce07e,0,0,0,0,0,1,0,-0.7450245646751539,-0.9620711315949925,0.0,-0.9476504138143818,-0.7155395076568055,1,7.0,1,1,-1.4543703112487154,-1.4543703112487154
2016-01-06,air_efef1e3daecce07e,0,0,0,0,0,0,1,-0.7567474489434869,-0.7848057320428762,0.0,-0.7696882367870519,-0.6225456843836219,1,15.0,1,1,-1.3905496265805413,-1.3905496265805413
2016-01-07,air_efef1e3daecce07e,0,0,0,0,1,0,0,-0.8739762916268182,-0.9620711315949925,0.0,-0.9476504138143818,-0.6806668239293616,1,13.0,1,1,-1.3216838284998633,-1.3216838284998633
2016-01-08,air_efef1e3daecce07e,1,0,0,0,0,0,0,-0.944313597236817,-1.1171783562030944,0.0,-0.9730735819611431,-0.8899029262940246,1,19.0,1,1,-0.9889585989452324,-0.9889585989452323
2016-01-09,air_efef1e3daecce07e,0,0,1,0,0,0,0,-1.049819555651815,-1.106099268731087,0.0,0.9336640290459626,-1.1107632565678351,1,19.0,1,1,-0.7321623262487849,-0.7321623262487847
2016-01-10,air_efef1e3daecce07e,0,0,0,1,0,0,0,-0.9677593657734833,-1.0839410937870724,0.0,0.6794323475783485,-0.9945209774763558,1,17.0,1,1,-1.0164544670433786,-1.0164544670433784
2016-01-11,air_efef1e3daecce07e,0,1,0,0,0,0,0,-0.9912051343101494,-1.0063874814830216,1.0,-0.2612248738518237,-1.0642663449312435,1,18.0,1,1,-1.3764233090255305,-1.3764233090255305
2016-01-13,air_efef1e3daecce07e,0,0,0,0,0,0,1,-1.307723009555144,-1.2390483183951744,0.0,-0.6171492279064834,-1.1921328519318708,1,18.0,1,1,-1.2270879520154157,-1.2270879520154154
2016-01-14,air_efef1e3daecce07e,0,0,0,0,1,0,0,-1.1787712826034795,-1.1836528810351379,0.0,0.018429975762551936,-1.215381307750167,1,22.0,1,1,-1.1350146322372197,-1.1350146322372197
2016-01-15,air_efef1e3daecce07e,1,0,0,0,0,0,0,-1.1904941668718128,-1.1947319685071451,0.0,0.7048555157251098,-1.180508624022723,1,15.0,1,1,-0.8605604625970086,-0.8605604625970085
2016-01-16,air_efef1e3daecce07e,0,0,1,0,0,0,0,-1.225662819676812,-1.1282574436751016,0.0,0.4252006661107344,-1.2270055356593146,1,17.0,1,1,-0.7139999179637709,-0.7139999179637707
2016-01-17,air_efef1e3daecce07e,0,0,0,1,0,0,0,-1.1904941668718128,-1.2058110559791524,0.0,-0.46461021902591493,-1.2967509031142024,1,22.0,1,1,-1.3131071356986068,-1.3131071356986066
2016-01-18,air_efef1e3daecce07e,0,1,0,0,0,0,0,-0.9208678287001507,-1.0396247438990434,0.0,-1.4306906086028484,-0.8899029262940246,1,10.0,1,1,-1.5946244641163232,-1.5946244641163232
2016-01-20,air_efef1e3daecce07e,0,0,0,0,0,0,1,-1.4601205050434745,-1.504946417723349,0.0,-1.0747662545481886,-1.3897447263873857,1,11.0,1,1,-1.2356646448166722,-1.2356646448166722
2016-01-21,air_efef1e3daecce07e,0,0,0,0,1,0,0,-1.3428916623601432,-1.3941555430032762,0.0,-0.46461021902591493,-1.2967509031142024,1,14.0,1,1,-1.114581922916579,-1.114581922916579
2016-01-22,air_efef1e3daecce07e,1,0,0,0,0,0,0,-1.3311687780918102,-1.2168901434511599,0.0,0.2980848253769274,-1.1921328519318708,1,18.0,1,1,-0.8085957944482187,-0.8085957944482185
2016-01-23,air_efef1e3daecce07e,0,0,1,0,0,0,0,-1.413228967970142,-1.5381836801393705,0.0,-1.3544211041625642,-1.2618782193867584,1,17.0,1,1,-0.7359461613081628,-0.7359461613081626
2016-01-24,air_efef1e3daecce07e,0,0,0,1,0,0,0,-1.9055901072401333,-1.9370308291316325,0.0,0.34893116167045024,-1.76172001948012,1,10.0,1,1,-1.4273789544918196,-1.4273789544918196
2016-01-25,air_efef1e3daecce07e,0,1,0,0,0,0,0,-1.6945781904101371,-1.593579117499407,0.0,0.8319713564589168,-1.889586526480747,1,10.0,1,1,-1.4518477545424635,-1.4518477545424633
2016-01-27,air_efef1e3daecce07e,0,0,0,0,0,0,1,-0.9677593657734833,-1.0728620063150651,0.0,0.37435432981721156,-0.796909103020841,1,19.0,1,1,-1.1302217744953411,-1.130221774495341
2016-01-28,air_efef1e3daecce07e,0,0,0,0,1,0,0,-0.9794822500418164,-0.9399129566509781,0.0,-0.6171492279064834,-1.1921328519318708,1,17.0,1,1,-1.1357713992490952,-1.1357713992490952
2016-01-29,air_efef1e3daecce07e,1,0,0,0,0,0,0,-1.026373787115149,-1.3166019306992252,0.0,-1.4815369448963713,-0.7039152797476574,1,11.0,1,1,-0.9940037123577363,-0.9940037123577362
2016-01-30,air_efef1e3daecce07e,0,0,1,0,0,0,0,-0.9794822500418164,-1.1282574436751016,0.0,-1.1256125908417118,-0.7271637355659534,1,18.0,1,1,-0.6950807426668814,-0.6950807426668812
