visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Shizuoka-ken Hamamatsu-shi Motoshirochō,total_area_visitors,total_genre_visitors
2016-01-04,air_ee3a01f0c71a769f,0,1,0,0,0,0,0,-0.5030809944501066,-0.4474752421755607,0.0,0.7251868355099694,-0.6853966990274699,1,61.0,1,1,-1.484528737473911,-1.4845287374739107
2016-01-05,air_ee3a01f0c71a769f,0,0,0,0,0,1,0,-0.5409279269906211,-0.6358454042597743,0.0,0.07994926202120271,-0.5293973176297114,1,25.0,1,1,-1.3556845823214398,-1.3556845823214398
2016-01-06,air_ee3a01f0c71a769f,0,0,0,0,0,0,1,-0.7049313013328514,-0.8493315879552165,0.0,-1.4090605229528745,-0.5173973652144992,1,18.0,1,1,-1.2921415584353284,-1.2921415584353282
2016-01-08,air_ee3a01f0c71a769f,1,0,0,0,0,0,0,-1.0960162709181696,-1.1130498148731158,0.0,-0.19303586522404467,-1.0933950811446846,1,21.0,1,1,-0.892297708527465,-0.8922977085274649
2016-01-09,air_ee3a01f0c71a769f,0,0,1,0,0,0,0,-1.0707849825578266,-1.03770175003943,0.0,0.7996373247586734,-1.0093954142381993,1,57.0,1,1,-0.6366186637999494,-0.6366186637999494
2016-01-10,air_ee3a01f0c71a769f,0,0,0,1,0,0,0,-1.058169338377655,-1.138165836484344,0.0,0.8244541545082413,-1.0213953666534112,1,32.0,1,1,-0.9196739520199004,-0.9196739520199003
2016-01-11,air_ee3a01f0c71a769f,0,1,0,0,0,0,0,-1.0455536941974832,-1.03770175003943,1.0,0.1792165810194746,-1.0213953666534112,1,35.0,1,1,-1.2780766993933432,-1.2780766993933432
2016-01-12,air_ee3a01f0c71a769f,0,0,0,0,0,1,0,-1.0455536941974832,-1.2637459445404866,0.0,-1.4338773527024424,-0.817396175594804,1,6.0,1,1,-1.331322237195144,-1.331322237195144
2016-01-13,air_ee3a01f0c71a769f,0,0,0,0,0,0,1,-1.2095570685397137,-1.2009558905124154,0.0,0.4770185380142899,-1.1413948908055334,1,18.0,1,1,-1.129391046663786,-1.129391046663786
2016-01-15,air_ee3a01f0c71a769f,1,0,0,0,0,0,0,-1.2600196452603998,-1.2511879337348724,0.0,0.5762858570125617,-1.0933950811446846,1,10.0,1,1,-0.7644581861637072,-0.7644581861637071
2016-01-16,air_ee3a01f0c71a769f,0,0,1,0,0,0,0,-1.2095570685397137,-1.138165836484344,0.0,0.8989046437569453,-1.3813939391097774,1,34.0,1,1,-0.6185352736031113,-0.6185352736031113
2016-01-17,air_ee3a01f0c71a769f,0,0,0,1,0,0,0,-1.1212475592785127,-1.0753757824562729,0.0,-0.1682190354744768,-1.357394034279353,1,58.0,1,1,-1.2150359919015883,-1.2150359919015883
2016-01-18,air_ee3a01f0c71a769f,0,1,0,0,0,0,0,-0.85631903149491,-1.0502597608450446,0.0,-1.111258565958059,-0.697396651442682,1,14.0,1,1,-1.495328539952578,-1.495328539952578
2016-01-19,air_ee3a01f0c71a769f,0,0,0,0,0,1,0,-1.6006420381250317,-1.7660663767650564,0.0,-0.19303586522404467,-1.4173937963554137,1,5.0,1,1,-1.261500258379575,-1.261500258379575
2016-01-22,air_ee3a01f0c71a769f,1,0,0,0,0,0,0,-1.285250933620743,-1.1004918040675014,0.0,0.452201708264722,-1.1293949383903212,1,6.0,1,1,-0.7127195975449762,-0.712719597544976
