visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Western food,Tōkyō-to Itabashi-ku Itabashi,total_area_visitors,total_genre_visitors
2016-07-01,air_f4936b91c9addbf0,1,0,0,0,0,0,0,1.1179088641492225,1.2099528628260048,0.0,-0.15704185882778626,1.0546243301252316,1,12.0,1,1,1.31283968090197,1.31283968090197
2016-07-02,air_f4936b91c9addbf0,0,0,1,0,0,0,0,1.2843199906180134,1.3535371111532999,0.0,0.52546073439002,1.2125114028038635,1,38.0,1,1,1.4669066185658302,1.4669066185658304
2016-07-03,air_f4936b91c9addbf0,0,0,0,1,0,0,0,1.545823189354685,1.7842898561351848,0.0,0.7165614604910056,1.3478431793855485,1,11.0,1,1,-0.45671861508892336,-0.45671861508892325
2016-07-04,air_f4936b91c9addbf0,0,1,0,0,0,0,0,1.3794120628858941,1.5928441916987912,0.0,0.5800609418474443,1.2350666989008112,1,19.0,1,1,-1.2042012695920543,-1.204201269592054
2016-07-05,air_f4936b91c9addbf0,0,0,0,0,0,1,0,0.6543350118433043,0.6116851614622753,0.0,-1.3582464228911253,0.8516266652527046,1,21.0,1,1,-0.5580784424993578,-0.5580784424993577
2016-07-06,air_f4936b91c9addbf0,0,0,0,0,0,0,1,0.8207461383120956,0.7672347638168446,0.0,-0.2389421700139232,0.8854596093981258,1,23.0,1,1,-0.11283236427461314,-0.11283236427461302
2016-07-08,air_f4936b91c9addbf0,1,0,0,0,0,0,0,1.0822493370487674,1.114230030607808,0.0,-0.7849442445881681,1.0659019781737056,1,27.0,1,1,1.1130686756057682,1.1130686756057684
2016-07-09,air_f4936b91c9addbf0,0,0,1,0,0,0,0,0.7375405750776999,0.5279276832713529,0.0,-1.3582464228911253,0.8629043133011784,1,16.0,1,1,1.4075650468819032,1.4075650468819032
2016-07-10,air_f4936b91c9addbf0,0,0,0,1,0,0,0,1.1179088641492225,1.2937103410169268,0.0,1.8358657133682077,0.8516266652527046,1,13.0,1,1,-0.3011773526627295,-0.3011773526627293
2016-07-11,air_f4936b91c9addbf0,0,1,0,0,0,0,0,1.403185080952864,1.5569481296169678,0.0,2.054266543197906,1.0884572742706529,1,26.0,1,1,-1.2532225679396463,-1.253222567939646
