visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōgimachi,total_area_visitors,total_genre_visitors
2016-01-05,air_832f9dbe9ee4ebd3,0,0,0,0,0,1,0,-0.7286759057685482,-0.9474994509907082,0.0,-0.9513233619039518,-0.6967480971682303,1,20.0,1,1,-1.3627985454945644,-1.3627985454945644
2016-01-06,air_832f9dbe9ee4ebd3,0,0,0,0,0,0,1,-0.7403025675172437,-0.7710368264555608,0.0,-0.7678070410059199,-0.6047709610409039,1,9.0,1,1,-1.2979675518926939,-1.2979675518926939
2016-01-08,air_832f9dbe9ee4ebd3,1,0,0,0,0,0,0,-0.9263291554963707,-1.1019042474589624,0.0,-0.9775399791750994,-0.8692052274069672,1,1.0,1,1,-0.8900191652753912,-0.8900191652753912
2016-01-09,air_832f9dbe9ee4ebd3,0,0,1,0,0,0,0,-1.0309691112346298,-1.0908753334255157,0.0,0.9887063161609585,-1.0876509257093674,1,21.0,1,1,-0.6291576969484979,-0.6291576969484979
2016-01-10,air_832f9dbe9ee4ebd3,0,0,0,1,0,0,0,-0.9495824789937617,-1.0688175053586222,0.0,0.7265401434494841,-0.9726795055502093,1,25.0,1,1,-0.9179503048113749,-0.9179503048113749
2016-01-11,air_832f9dbe9ee4ebd3,0,1,0,0,0,0,0,-0.9728358024911525,-0.9916151071244952,1.0,-0.24347469558297113,-1.041662357645704,1,43.0,1,1,-1.2836176086448492,-1.2836176086448492
2016-01-12,air_832f9dbe9ee4ebd3,0,0,0,0,0,1,0,-1.0542224347320208,-1.1349909895593024,0.0,0.175991180755388,-1.0531594996616198,1,11.0,1,1,-1.3379423937974044,-1.3379423937974044
2016-01-15,air_832f9dbe9ee4ebd3,1,0,0,0,0,0,0,-1.1704890522189753,-1.1791066456930892,0.0,0.7527567607206315,-1.156633777804862,1,10.0,1,1,-0.7595884311119445,-0.7595884311119445
2016-01-16,air_832f9dbe9ee4ebd3,0,0,1,0,0,0,0,-1.2053690374650614,-1.112933161492409,0.0,0.46437397073800973,-1.2026223458685252,1,48.0,1,1,-0.6107077699155545,-0.6107077699155545
2016-01-17,air_832f9dbe9ee4ebd3,0,0,0,1,0,0,0,-1.1704890522189753,-1.190135559726536,0.0,-0.4532076337521506,-1.27160519796402,1,36.0,1,1,-1.2192991130161162,-1.2192991130161162
2016-01-18,air_832f9dbe9ee4ebd3,0,1,0,0,0,0,0,-0.9030758319989799,-1.0247018492248352,0.0,-1.4494390900557532,-0.8692052274069672,1,4.0,1,1,-1.5052729820267379,-1.5052729820267379
2016-01-19,air_832f9dbe9ee4ebd3,0,0,0,0,0,1,0,-1.5425422281772292,-1.664378863164745,0.0,-0.3745577819387083,-1.3635823340913462,1,14.0,1,1,-1.2667051755313177,-1.2667051755313177
2016-01-20,air_832f9dbe9ee4ebd3,0,0,0,0,0,0,1,-1.4379022724389703,-1.4879162386295974,0.0,-1.082406448259689,-1.3635823340913462,1,9.0,1,1,-1.1406306741395382,-1.1406306741395382
2016-01-21,air_832f9dbe9ee4ebd3,0,0,0,0,1,0,0,-1.3216356549520158,-1.3776270982951304,0.0,-0.4532076337521506,-1.27160519796402,1,1.0,1,1,-1.0176311605865827,-1.0176311605865827
2016-01-22,air_832f9dbe9ee4ebd3,1,0,0,0,0,0,0,-1.3100089932033205,-1.201164473759983,0.0,0.33329088438227256,-1.1681309198207779,1,10.0,1,1,-0.7068011398788011,-0.7068011398788011
2016-01-23,air_832f9dbe9ee4ebd3,0,0,1,0,0,0,0,-1.3913956254441884,-1.5210029807299374,0.0,-1.3707892382423108,-1.2371137719162726,1,13.0,1,1,-0.6330014317470277,-0.6330014317470277
2016-01-24,air_832f9dbe9ee4ebd3,0,0,0,1,0,0,0,-1.879715418889397,-1.9180438859340196,0.0,0.3857241189245675,-1.7314908786006518,1,10.0,1,1,-1.335379903931718,-1.335379903931718
2016-01-25,air_832f9dbe9ee4ebd3,0,1,0,0,0,0,0,-1.6704355074128792,-1.5761475508971712,0.0,0.8838398470763686,-1.8579594407757254,1,14.0,1,1,-1.3602360556288777,-1.3602360556288777
2016-01-26,air_832f9dbe9ee4ebd3,0,0,0,0,0,1,0,-1.3216356549520158,-1.3445403561947902,0.0,0.3857241189245675,-1.3750794761072622,1,13.0,1,1,-1.1862429937487593,-1.1862429937487593
2016-01-27,air_832f9dbe9ee4ebd3,0,0,0,0,0,0,1,-0.9495824789937617,-1.0577885913251754,0.0,0.4119407361957148,-0.7772280912796408,1,11.0,1,1,-1.0335185977538395,-1.0335185977538395
