visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-02,air_2b8b29ddfd35018e,0,0,1,0,0,0,0,-0.9540290373137487,-0.7977481387537881,1.0,-0.8200575391029759,-1.1026161575239826,1,28.0,1,1,-1.8297970993471284,-1.8297970993471282
2016-01-03,air_2b8b29ddfd35018e,0,0,0,1,0,0,0,-0.6772937000742844,-0.5312392948794777,1.0,-0.1711695053156117,-0.7319709968212559,1,38.0,1,1,-1.6929064107580862,-1.6929064107580862
2016-01-04,air_2b8b29ddfd35018e,0,1,0,0,0,0,0,-0.5735179486094852,-0.45012790761338306,0.0,0.5026757605404973,-0.5522642522381156,1,17.0,1,1,-1.4946948003289713,-1.4946948003289713
2016-01-05,air_2b8b29ddfd35018e,0,0,0,0,0,1,0,-0.9309677592104598,-1.1106063467801528,0.0,-1.2942449484091265,-0.698275982211917,1,11.0,1,1,-1.3641652032171152,-1.3641652032171152
2016-01-06,air_2b8b29ddfd35018e,0,0,0,0,0,0,1,-0.9309677592104598,-1.0410823005520717,0.0,-1.119544323927913,-0.7881293545034872,1,11.0,1,1,-1.2997909574679931,-1.2997909574679931
2016-01-07,air_2b8b29ddfd35018e,0,0,0,0,1,0,0,-0.9540290373137487,-0.8904468670578962,0.0,0.20318897571555994,-0.8892143983315036,1,5.0,1,1,-1.2303278385371224,-1.2303278385371224
2016-01-08,air_2b8b29ddfd35018e,1,0,0,0,0,0,0,-1.0232128716236146,-1.1221936878181662,0.0,-1.0945870918591685,-0.9341410844772886,1,5.0,1,1,-0.8947166522007906,-0.8947166522007906
2016-01-09,air_2b8b29ddfd35018e,0,0,1,0,0,0,0,-1.1269886230884139,-1.0874316647041256,0.0,0.27806067192179423,-1.0689211429146437,1,25.0,1,1,-0.6356930072497777,-0.6356930072497777
2016-01-13,air_2b8b29ddfd35018e,0,0,0,0,0,0,1,-1.2192337355015683,-1.261241780274328,0.0,-0.8949292353092102,-1.1587745152062139,1,6.0,1,1,-1.1349114663793327,-1.1349114663793327
2016-01-14,air_2b8b29ddfd35018e,0,0,0,0,1,0,0,-1.3460707650696564,-1.2033050750842607,0.0,-0.2210839694531013,-1.327249588252908,1,15.0,1,1,-1.0420395308124177,-1.0420395308124175
