visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Okonomiyaki/Monja/Teppanyaki,Tōkyō-to Shibuya-ku Shibuya,total_area_visitors,total_genre_visitors
2016-09-16,air_8d61f49aa0373492,1,0,0,0,0,0,0,3.632845494830596,2.65309865192078,0.0,-1.7596233294799235,4.1664971308077305,1,1.0,1,1,0.7849172254428226,0.7849172254428232
2016-10-21,air_8d61f49aa0373492,1,0,0,0,0,0,0,2.4207278618155033,1.9249721922674627,0.0,-0.3197177993443811,2.5793252433393636,1,6.0,1,1,0.8816406319858882,0.8816406319858886
2016-10-25,air_8d61f49aa0373492,0,0,0,0,0,1,0,1.3375589131637184,0.9055951487528189,0.0,-1.054363477984964,1.2607516752887193,1,28.0,1,1,-0.5784902025812007,-0.5784902025812003
2016-10-26,air_8d61f49aa0373492,0,0,0,0,0,0,1,2.652835493669458,2.968620117770551,0.0,1.0614160764999143,1.8956204302760664,1,29.0,1,1,-0.20694383279769063,-0.20694383279769024
2016-10-27,air_8d61f49aa0373492,0,0,0,0,1,0,0,2.627045756796796,2.3861189500478974,0.0,0.47369953358744804,2.0421286045039158,1,44.0,1,1,-0.19409496698385167,-0.19409496698385126
2016-10-28,air_8d61f49aa0373492,1,0,0,0,0,0,0,0.8733436494558103,0.3230939810301655,0.0,-1.7596233294799235,1.285169704326694,1,38.0,1,1,0.7888432677748289,0.7888432677748295
2016-10-29,air_8d61f49aa0373492,0,0,1,0,0,0,0,1.7244049662536418,1.7793469003367999,0.0,-1.7596233294799235,1.6514401398963174,1,63.0,1,1,1.572980995358279,1.5729809953582796
2016-10-30,air_8d61f49aa0373492,0,0,0,1,0,0,0,0.7959744388378259,0.007572515180394528,0.0,-1.7596233294799235,1.1630795591368197,1,45.0,1,1,-0.16839723535617376,-0.16839723535617335
2016-10-31,air_8d61f49aa0373492,0,1,0,0,0,0,0,1.4149281237817033,1.3667419065332536,0.0,-0.6135760708006144,1.2119156172127699,1,62.0,1,1,-1.0556828023896088,-1.0556828023896085
2016-11-01,air_8d61f49aa0373492,0,0,0,0,0,1,0,1.1828204919277492,0.7114280928452675,0.0,-0.7898910336743542,1.6758581689342924,1,49.0,1,1,-0.7865704461775371,-0.7865704461775368
2016-11-02,air_8d61f49aa0373492,0,0,0,0,0,0,1,0.5380770701112104,-0.30794895066937644,0.0,-1.7596233294799235,0.9188992687570708,1,34.0,1,1,0.30701079975586787,0.3070107997558683
2016-11-03,air_8d61f49aa0373492,0,0,0,0,1,0,0,1.0538718075644415,1.4395545524985847,1.0,1.032030249354291,0.8700632106811212,1,46.0,1,1,-0.1334197673073899,-0.1334197673073895
2016-11-04,air_8d61f49aa0373492,1,0,0,0,0,0,0,1.3375589131637184,1.2939292605679218,0.0,0.9438727679174209,0.8944812397190961,1,41.0,1,1,-0.011355542075919768,-0.01135554207591934
