visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Chūō-ku Tsukiji,total_area_visitors,total_genre_visitors
2016-01-04,air_0b184ec04c741a6a,0,1,0,0,0,0,0,-0.7317545599192579,-0.5403065121091323,0.0,0.9092491051972601,-0.8216005582199871,1,7.0,1,1,-1.5183162202223563,-1.518316220222356
2016-01-05,air_0b184ec04c741a6a,0,0,0,0,0,1,0,-0.5208887519150806,-0.5156101458911116,0.0,0.7866930640602738,-0.738828155541438,1,9.0,1,1,-1.3895084745808295,-1.389508474580829
2016-01-06,air_0b184ec04c741a6a,0,0,0,0,0,0,1,-0.7689661730964655,-1.0218856533605314,0.0,-1.2722484270410956,-0.5023355764598688,1,18.0,1,1,-1.3259834070422207,-1.3259834070422203
2016-01-07,air_0b184ec04c741a6a,0,0,0,0,1,0,0,-0.7937739152146042,-0.8243147236163676,0.0,-0.09571043212602748,-0.8097759292659087,1,38.0,1,1,-1.2574365950341568,-1.2574365950341564
2016-01-08,air_0b184ec04c741a6a,1,0,0,0,0,0,0,-1.0294474653369197,-1.0712783857965724,0.0,0.8602266887424653,-0.9753207346230072,1,14.0,1,1,-0.9262525472735837,-0.9262525472735834
2016-01-09,air_0b184ec04c741a6a,0,0,1,0,0,0,0,-0.9674281100415736,-0.9848411040335008,0.0,0.9092491051972601,-1.0107946214852426,1,7.0,1,1,-0.6706457537783121,-0.6706457537783117
2016-01-12,air_0b184ec04c741a6a,0,0,0,0,0,1,0,-1.451179081345274,-1.663991175029064,0.0,-1.2722484270410956,-1.235462571612733,1,6.0,1,1,-1.3651530139039716,-1.3651530139039711
2016-01-13,air_0b184ec04c741a6a,0,0,0,0,0,0,1,-1.339544241813651,-1.2194565831046953,0.0,0.8602266887424653,-1.4483058927861454,1,12.0,1,1,-1.163278886231871,-1.1632788862318706
2016-01-14,air_0b184ec04c741a6a,0,0,0,0,1,0,0,-1.1286784338094737,-1.0095374702515212,0.0,0.9582715216520545,-1.3182349742912824,1,8.0,1,1,-1.071632049664313,-1.0716320496643126
2016-01-15,air_0b184ec04c741a6a,1,0,0,0,0,0,0,-1.1782939180457508,-1.0712783857965724,0.0,0.7131594393780819,-1.10539165311787,1,1.0,1,1,-0.7984491505259479,-0.7984491505259476
2016-01-18,air_0b184ec04c741a6a,0,1,0,0,0,0,0,-1.5256023076996896,-1.6516429919200537,0.0,-0.9290915118575341,-1.3182349742912824,1,9.0,1,1,-1.529112970831685,-1.5291129708316848
