visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Kōtō-ku Tomioka,total_area_visitors,total_genre_visitors
2016-07-01,air_084d98859256acf0,1,0,0,0,0,0,0,1.0845636328455022,1.1606857236027663,0.0,-0.20132589426723463,1.027763293632185,1,30.0,1,1,1.252376029179245,1.2523760291792445
2016-07-02,air_084d98859256acf0,0,0,1,0,0,0,0,1.2468380336823002,1.2998680846374324,0.0,0.46770187298073335,1.1823610010329155,1,10.0,1,1,1.4015911097547575,1.401591109754757
2016-07-04,air_084d98859256acf0,0,1,0,0,0,0,0,1.3395662627318994,1.5318386863618754,0.0,0.5212240943605706,1.204446387804449,1,15.0,1,1,-1.1853985766824182,-1.1853985766824184
2016-07-05,air_084d98859256acf0,0,0,0,0,0,1,0,0.6325135162287067,0.580759219291658,0.0,-1.3788147646236584,0.8289948126883879,1,16.0,1,1,-0.5596233703454002,-0.5596233703454006
2016-07-06,air_084d98859256acf0,0,0,0,0,0,0,1,0.7947879170655051,0.7315401104125459,0.0,-0.281609226336991,0.8621228928456874,1,13.0,1,1,-0.1283989269597085,-0.12839892695970878
2016-07-07,air_084d98859256acf0,0,0,0,0,1,0,0,1.2932021482070997,1.868196058862319,0.0,2.046607403685938,1.0167206002464182,1,17.0,1,1,-0.19122632930729272,-0.19122632930729302
2016-07-08,air_084d98859256acf0,1,0,0,0,0,0,0,1.0497905469519024,1.067897482912989,0.0,-0.8168314401353652,1.0388059870179516,1,23.0,1,1,1.0588961878588434,1.0588961878588432
2016-07-09,air_084d98859256acf0,0,0,1,0,0,0,0,0.7136507166471057,0.4995695086881024,0.0,-1.3788147646236584,0.8400375060741546,1,4.0,1,1,1.3441183155617968,1.3441183155617966
2016-07-11,air_084d98859256acf0,0,1,0,0,0,0,0,1.3627483199942991,1.4970430961032093,0.0,1.9663240716161814,1.0608913737894845,1,16.0,1,1,-1.2328761023200812,-1.2328761023200816
2016-07-12,air_084d98859256acf0,0,0,0,0,0,1,0,1.2584290623135004,1.2998680846374324,0.0,0.30713520884122086,1.3148733216621138,1,17.0,1,1,-0.5453444152664039,-0.5453444152664041
2016-07-13,air_084d98859256acf0,0,0,0,0,0,0,1,1.0266084896895027,0.8127298210161014,0.0,-1.3788147646236584,1.1934036944186823,1,17.0,1,1,-0.47644845701024613,-0.4764484570102464
2016-07-14,air_084d98859256acf0,0,0,0,0,1,0,0,1.1193367187391015,1.427451915585876,0.0,-0.33513144771682835,0.9504644399318195,1,10.0,1,1,-0.2708315038726977,-0.27083150387269805
2016-07-15,air_084d98859256acf0,1,0,0,0,0,0,0,0.690468659384706,0.39518273791210307,0.0,-1.3788147646236584,0.91733635977452,1,22.0,1,1,0.8568489734910442,0.8568489734910439
2016-07-16,air_084d98859256acf0,0,0,1,0,0,0,0,0.910698203377504,0.8243283511023233,0.0,-0.9506369935849588,0.8179521193026217,1,16.0,1,1,1.288073416876736,1.2880734168767356
