visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,total_area_visitors,total_genre_visitors
2016-01-04,air_03963426c9312048,0,1,0,0,0,0,0,-0.5510704307062235,-0.42987074560974775,0.0,0.4767797592560917,-0.5272101114144835,1,62.0,1,1,-1.4406037992114382,-1.4406037992114382
2016-01-05,air_03963426c9312048,0,0,0,0,0,1,0,-0.913034317836949,-1.0968578278703311,0.0,-1.3132377548686165,-0.6754972622862896,1,30.0,1,1,-1.3123022333544605,-1.3123022333544605
2016-01-06,air_03963426c9312048,0,0,0,0,0,0,1,-0.913034317836949,-1.0266486613165855,0.0,-1.1392082743287142,-0.7667508935920164,1,52.0,1,1,-1.2490268022398106,-1.2490268022398106
2016-01-07,air_03963426c9312048,0,0,0,0,1,0,0,-0.9363868266840926,-0.8745288004501366,0.0,0.17844350690197358,-0.8694112288109592,1,37.0,1,1,-1.1807493607603663,-1.1807493607603663
2016-01-08,air_03963426c9312048,1,0,0,0,0,0,0,-1.0064443532255234,-1.1085593556292885,0.0,-1.1143469199658713,-0.9150380444638225,1,89.0,1,1,-0.8508667772021719,-0.8508667772021719
2016-01-09,air_03963426c9312048,0,0,1,0,0,0,0,-1.1115306430376695,-1.0734547723524157,0.0,0.253027569990503,-1.051918491422413,1,60.0,1,1,-0.5962644496341339,-0.5962644496341339
2016-01-10,air_03963426c9312048,0,0,0,1,0,0,0,-1.0648256253433823,-0.921334911485967,0.0,0.5762251767074642,-1.0633251953356289,1,30.0,1,1,-0.8781277336903016,-0.8781277336903016
2016-01-11,air_03963426c9312048,0,1,0,0,0,0,0,-0.9947680988019515,-0.9096333837270095,1.0,0.4021956961675622,-1.0062916757695495,1,33.0,1,1,-1.235021173218386,-1.235021173218386
2016-01-12,air_03963426c9312048,0,0,0,0,0,1,0,-0.9247105722605209,-1.0032456057986703,0.0,-0.2690608716292034,-0.7553441896788006,1,17.0,1,1,-1.2880424830852073,-1.2880424830852073
2016-01-13,air_03963426c9312048,0,0,0,0,0,0,1,-1.2049406784262435,-1.2489776887367798,0.0,-0.9154560850631258,-1.1431721227281397,1,33.0,1,1,-1.0869616664204702,-1.0869616664204702
2016-01-14,air_03963426c9312048,0,0,0,0,1,0,0,-1.3333794770855334,-1.1904700499419918,0.0,-0.24419951726636033,-1.3142726814263777,1,32.0,1,1,-0.9956749772629713,-0.9956749772629713
2016-01-15,air_03963426c9312048,1,0,0,0,0,0,0,-1.251645696120531,-1.1085593556292885,0.0,0.6259478854331506,-1.1773922344677874,1,107.0,1,1,-0.7235656134181528,-0.7235656134181528
2016-01-16,air_03963426c9312048,0,0,1,0,0,0,0,-1.2166169328498155,-1.0968578278703311,0.0,0.6756705941588369,-1.3142726814263777,1,31.0,1,1,-0.5782572123208739,-0.5782572123208739
2016-01-17,air_03963426c9312048,0,0,0,1,0,0,0,-1.239969441696959,-1.4245006051211437,0.0,-1.3132377548686165,-1.0291050835959812,1,42.0,1,1,-1.1722459431402157,-1.1722459431402157
2016-01-18,air_03963426c9312048,0,1,0,0,0,0,0,-1.1115306430376695,-0.9915440780397126,0.0,-0.02044732800077172,-1.2344257540338668,1,37.0,1,1,-1.4513581214957463,-1.4513581214957463
2016-01-19,air_03963426c9312048,0,0,0,0,0,1,0,-1.7186958730634023,-1.8457556044436174,0.0,0.0044140263620713605,-1.4625598322981839,1,16.0,1,1,-1.2185145390145644,-1.2185145390145644
2016-01-20,air_03963426c9312048,0,0,0,0,0,0,1,-1.5085232934391102,-1.4010975496032285,0.0,0.5016411136189347,-1.5424067596906947,1,32.0,1,1,-1.0954650840406208,-1.0954650840406208
2016-01-21,air_03963426c9312048,0,0,0,0,1,0,0,-1.368408240356249,-1.4713067161569742,0.0,-0.492813060894792,-1.3256793853395934,1,60.0,1,1,-0.9754168352855538,-0.9754168352855538
