visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,total_area_visitors,total_genre_visitors
2016-01-04,air_6cbe54f0aa30b615,0,1,0,0,0,0,0,-0.754070617683862,-0.5630620031165384,0.0,0.9011981301589189,-0.8454084050053903,1,14.0,1,1,-1.5266601170855347,-1.5266601170855347
2016-01-05,air_6cbe54f0aa30b615,0,0,0,0,0,1,0,-0.541675336292785,-0.5381954882849588,0.0,0.7772552874754298,-0.7617753463044761,1,11.0,1,1,-1.3953069294700349,-1.3953069294700349
2016-01-06,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-0.791552137929346,-1.0479590423323393,0.0,-1.3049844696071875,-0.5228237500161496,1,7.0,1,1,-1.3305265075076147,-1.3305265075076147
2016-01-07,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-0.8165398180930022,-0.849026923679703,0.0,-0.11513317984569196,-0.833460825190974,1,5.0,1,1,-1.260625103571881,-1.260625103571881
2016-01-08,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-1.053922779647735,-1.0976920719954983,0.0,0.8516209930855231,-1.0007269425928027,1,28.0,1,1,-0.9228963424318332,-0.9228963424318332
2016-01-09,air_6cbe54f0aa30b615,0,0,1,0,0,0,0,-0.9914535792385949,-1.0106592700849701,0.0,0.9011981301589189,-1.0365696820360517,1,14.0,1,1,-0.6622383599901588,-0.6622383599901587
2016-01-10,air_6cbe54f0aa30b615,0,0,0,1,0,0,0,-0.9164905387476265,-0.849026923679703,0.0,0.9507752672323144,-1.084360001293717,1,4.0,1,1,-0.9508056941863936,-0.9508056941863936
2016-01-13,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-1.3662687816934362,-1.2468911609849758,0.0,0.8516209930855231,-1.4786301351694557,1,5.0,1,1,-1.1646066915722464,-1.1646066915722464
2016-01-14,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-1.1538735003023595,-1.0355257849165496,0.0,0.9507752672323144,-1.3472067572108761,1,12.0,1,1,-1.0711487705592688,-1.0711487705592688
2016-01-15,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-1.2038488606296718,-1.0976920719954983,0.0,0.7028895818653361,-1.132150320551382,1,22.0,1,1,-0.792567351210996,-0.792567351210996
2016-01-16,air_6cbe54f0aa30b615,0,0,1,0,0,0,0,-1.0914042998932192,-0.9857927552533905,0.0,0.9507752672323144,-1.1560454801802147,1,15.0,1,1,-0.643802824886229,-0.6438028248862289
2016-01-17,air_6cbe54f0aa30b615,0,0,0,1,0,0,0,-1.1788611804660154,-1.3836569925586633,0.0,-0.536538844969555,-1.0963075811081333,1,2.0,1,1,-1.2519194342172473,-1.2519194342172473
2016-01-18,air_6cbe54f0aa30b615,0,1,0,0,0,0,0,-1.5536763829208569,-1.6820551705376177,0.0,-0.957944510093418,-1.3472067572108761,1,9.0,1,1,-1.5376702283281596,-1.5376702283281596
2016-01-19,air_6cbe54f0aa30b615,0,0,0,0,0,1,0,-1.2663180610388118,-1.3836569925586633,0.0,0.9507752672323144,-1.2635736985099617,1,13.0,1,1,-1.2992885174704003,-1.2992885174704003
2016-01-20,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-1.3912564618570924,-1.3214907054797145,0.0,0.9755638357690122,-1.454734975540623,1,6.0,1,1,-1.1733123609268798,-1.1733123609268798
2016-01-21,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-1.2288365407933277,-1.2717576758165552,0.0,0.5293696021084516,-1.2516261186955455,1,15.0,1,1,-1.0504087935673478,-1.0504087935673478
2016-01-22,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-1.1788611804660154,-1.172291616490237,0.0,0.7028895818653361,-1.012674522407219,1,15.0,1,1,-0.7398212368858634,-0.7398212368858634
2016-01-23,air_6cbe54f0aa30b615,0,0,1,0,0,0,0,-1.4162441420207483,-1.657188655706038,0.0,-1.2554073325337918,-1.0604648416648843,1,36.0,1,1,-0.6660790964701442,-0.6660790964701441
2016-01-24,air_6cbe54f0aa30b615,0,0,0,1,0,0,0,-1.4912071825117168,-1.3090574480639248,0.0,0.9259866986956167,-1.5144728746127045,1,2.0,1,1,-1.3679096759128058,-1.3679096759128058
2016-01-25,air_6cbe54f0aa30b615,0,1,0,0,0,0,0,-1.541182542839029,-1.4085235073902427,0.0,1.0747181099158036,-1.6817389920145331,1,19.0,1,1,-1.3927464384833779,-1.3927464384833779
2016-01-26,air_6cbe54f0aa30b615,0,0,0,0,0,1,0,-1.4287379821025765,-1.2593244184007655,0.0,0.8268324245488253,-1.526420454427121,1,5.0,1,1,-1.2188891004893732,-1.2188891004893732
2016-01-27,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-1.1163919800568751,-0.7868606366007542,0.0,1.0251409728424081,-1.5025252947982881,1,13.0,1,1,-1.0662838376846207,-1.0662838376846207
2016-01-28,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-0.9289843788294546,-0.7122610921060156,0.0,1.0251409728424081,-1.120202740736966,1,5.0,1,1,-1.0719169178552659,-1.0719169178552659
2016-01-29,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-1.2288365407933277,-1.4831230518849812,0.0,-1.3049844696071875,-1.0604648416648843,1,24.0,1,1,-0.9280173244051471,-0.928017324405147
2016-01-30,air_6cbe54f0aa30b615,0,0,1,0,0,0,0,-1.4912071825117168,-1.8312542595270949,0.0,-1.3049844696071875,-1.1918882196234637,1,10.0,1,1,-0.6245991424863021,-0.624599142486302
2016-01-31,air_6cbe54f0aa30b615,0,0,0,1,0,0,0,-1.1413796602205315,-1.0603922997481292,0.0,-0.04076747423559854,-1.2157833792522963,1,2.0,1,1,-1.1830422266761762,-1.1830422266761762
2016-02-01,air_6cbe54f0aa30b615,0,1,0,0,0,0,0,-1.3162934213661242,-1.6198888834586689,0.0,-1.3049844696071875,-1.0604648416648843,1,2.0,1,1,-1.4390913253418682,-1.4390913253418682
2016-02-02,air_6cbe54f0aa30b615,0,0,0,0,0,1,0,-1.1538735003023595,-1.1225585868270782,0.0,0.8020438560121276,-1.0604648416648843,1,7.0,1,1,-1.2900707499184354,-1.2900707499184354
2016-02-03,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-1.27881190112064,-1.3090574480639248,0.0,0.45500389649835793,-1.1918882196234637,1,1.0,1,1,-1.214792314910722,-1.214792314910722
2016-02-04,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-1.2663180610388118,-1.2717576758165552,0.0,0.15754107405798423,-1.239678538881129,1,3.0,1,1,-1.1768970483081995,-1.1768970483081995
2016-02-05,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-0.9664658990749387,-0.7992938940165439,0.0,0.9259866986956167,-1.2994164379532107,1,43.0,1,1,-0.8005048732696324,-0.8005048732696324
2016-02-06,air_6cbe54f0aa30b615,0,0,1,0,0,0,0,-1.0664166197295633,-1.2220246461533961,0.0,-1.0570987842402093,-0.8454084050053903,1,21.0,1,1,-0.5759498137398206,-0.5759498137398206
2016-02-08,air_6cbe54f0aa30b615,0,1,0,0,0,0,0,-1.3537749416116083,-1.2966241906481348,0.0,0.058386799911192847,-1.2157833792522963,1,6.0,1,1,-1.3873694074113985,-1.3873694074113985
2016-02-09,air_6cbe54f0aa30b615,0,0,0,0,0,1,0,-1.0789104598113912,-0.6252282901954873,0.0,0.8268324245488253,-1.2994164379532107,1,5.0,1,1,-1.168191378953566,-1.168191378953566
2016-02-10,air_6cbe54f0aa30b615,0,0,0,0,0,0,1,-1.1538735003023595,-1.1101253294112883,0.0,1.1490838155258971,-1.1799406398090475,1,19.0,1,1,-0.8422408763521402,-0.8422408763521402
2016-02-11,air_6cbe54f0aa30b615,0,0,0,0,1,0,0,-1.1538735003023595,-1.0230925275007599,1.0,1.1490838155258971,-1.1679930599946313,1,24.0,1,1,-0.9159830167678595,-0.9159830167678594
2016-02-12,air_6cbe54f0aa30b615,1,0,0,0,0,0,0,-1.003947419320423,-0.9733594978376008,0.0,-0.7100588247264397,-1.1918882196234637,1,16.0,1,1,-0.8593961659627416,-0.8593961659627415
