visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Japanese food,Tōkyō-to Taitō-ku Higashiueno,total_area_visitors,total_genre_visitors
2016-01-05,air_63e28ee0b0c955a7,0,0,0,0,0,1,0,-0.5418724258696176,-0.53987964572527,0.0,0.7300143317164726,-0.7556684656423619,1,24.0,1,1,-1.4604810166854485,-1.4604810166854485
2016-01-06,air_63e28ee0b0c955a7,0,0,0,0,0,0,1,-0.7909936111029479,-1.0476532459436265,0.0,-1.350203498484449,-0.5175505606405302,1,8.0,1,1,-1.3956538396184377,-1.3956538396184377
2016-01-07,air_63e28ee0b0c955a7,0,0,0,0,1,0,0,-0.815905729626281,-0.8494976946389021,0.0,-0.16150759551249397,-0.8271038371429114,1,18.0,1,1,-1.325701984522414,-1.325701984522414
2016-01-08,air_63e28ee0b0c955a7,1,0,0,0,0,0,0,-1.0525708555979445,-1.0971921337698076,0.0,0.8043078256522195,-0.9937863706441936,1,24.0,1,1,-0.9877294685090253,-0.9877294685090253
2016-01-09,air_63e28ee0b0c955a7,0,0,1,0,0,0,0,-0.9902905592896122,-1.0104990800739908,0.0,0.8538368216093846,-1.0295040563944684,1,8.0,1,1,-0.726883356832278,-0.726883356832278
2016-01-10,air_63e28ee0b0c955a7,0,0,0,1,0,0,0,-0.9155542037196129,-0.8494976946389021,0.0,0.9033658175665491,-1.0771276373948346,1,28.0,1,1,-1.0156589637671447,-1.0156589637671447
2016-01-12,air_63e28ee0b0c955a7,0,0,0,0,0,1,0,-1.4760768704946061,-1.6916587876839813,0.0,-1.350203498484449,-1.2557160661462083,1,17.0,1,1,-1.435626328244737,-1.435626328244737
2016-01-13,air_63e28ee0b0c955a7,0,0,0,0,0,0,1,-1.3639723371396075,-1.2458087972483511,0.0,0.8043078256522195,-1.470022180647857,1,6.0,1,1,-1.2296142714784257,-1.2296142714784257
2016-01-14,air_63e28ee0b0c955a7,0,0,0,0,1,0,0,-1.1522193296912768,-1.0352685239870814,0.0,0.9033658175665491,-1.3390573328968496,1,55.0,1,1,-1.1360888974489436,-1.1360888974489436
2016-01-15,air_63e28ee0b0c955a7,1,0,0,0,0,0,0,-1.2020435667379428,-1.0971921337698076,0.0,0.6557208377807252,-1.124751218395201,1,24.0,1,1,-0.8573064126706517,-0.8573064126706517
2016-01-16,air_63e28ee0b0c955a7,0,0,1,0,0,0,0,-1.0899390333829442,-0.9857296361609001,0.0,0.9033658175665491,-1.148563008895384,1,18.0,1,1,-0.7084345159278322,-0.7084345159278322
2016-01-17,air_63e28ee0b0c955a7,0,0,0,1,0,0,0,-1.1771314482146098,-1.3820407387703493,0.0,-0.5825040611483947,-1.0890335326449263,1,24.0,1,1,-1.3169900318730925,-1.3169900318730925
