visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Izakaya,Tōkyō-to Edogawa-ku Chūō,total_area_visitors,total_genre_visitors
2016-07-01,air_90f0efbb702d77b7,1,0,0,0,0,0,0,1.1677584257126388,1.2541788037663173,0.0,0.9508381967837027,1.1295283665501104,1,44.0,1,1,1.3497396313976298,1.3497396313976302
2016-07-02,air_90f0efbb702d77b7,0,0,1,0,0,0,0,1.0836784656615694,0.9262207125345578,0.0,0.366156845454048,1.1520755332316317,1,33.0,1,1,1.5046576793762207,1.504657679376221
2016-07-03,air_90f0efbb702d77b7,0,0,0,1,0,0,0,1.2037926943059543,1.3756447634817839,0.0,0.8491544835089805,1.2309906166169564,1,19.0,1,1,-0.4295942163181954,-0.42959421631819533
2016-07-04,air_90f0efbb702d77b7,0,1,0,0,0,0,0,1.4680439973236008,1.6793096627704496,0.0,1.0016800534210644,1.3775472000468452,1,18.0,1,1,-1.1812061811521244,-1.1812061811521246
2016-07-05,air_90f0efbb702d77b7,0,0,0,0,0,1,0,0.6993129339995379,0.6832887931036249,0.0,-1.3878872085349172,0.858962366371854,1,15.0,1,1,-0.5315139847251631,-0.5315139847251631
2016-07-07,air_90f0efbb702d77b7,0,0,0,0,1,0,0,1.2398269628992693,1.5578437030549832,0.0,1.5609404764320385,1.1069811998685892,1,11.0,1,1,-0.14903689019428792,-0.14903689019428784
2016-07-08,air_90f0efbb702d77b7,1,0,0,0,0,0,0,1.0356327742038154,1.0355400762784777,0.0,-0.7777849288865815,1.039339699824025,1,53.0,1,1,1.148865033300988,1.1488650333009882
2016-07-09,air_90f0efbb702d77b7,0,0,1,0,0,0,0,0.8194271626439227,0.5739694293597047,0.0,-1.3878872085349172,0.937877449757179,1,18.0,1,1,1.444988287690687,1.4449882876906872
2016-07-10,air_90f0efbb702d77b7,0,0,0,1,0,0,0,1.1197127342548847,1.2541788037663173,0.0,1.433835834838635,0.9266038664164182,1,19.0,1,1,-0.27319369898095763,-0.27319369898095763
2016-07-11,air_90f0efbb702d77b7,0,1,0,0,0,0,0,1.2998840772214617,1.545697107083437,0.0,1.9168334728935676,1.0844340331870674,1,20.0,1,1,-1.2304982873271306,-1.2304982873271308
2016-07-12,air_90f0efbb702d77b7,0,0,0,0,0,1,0,1.2878726543570236,1.3149117836240507,0.0,1.0016800534210644,1.3324528666838027,1,5.0,1,1,-0.516689291138695,-0.516689291138695
2016-07-14,air_90f0efbb702d77b7,0,0,0,0,1,0,0,1.251838385763708,1.5214039151403436,0.0,-0.09141986428220396,1.0506132831647859,1,27.0,1,1,-0.23168455693884718,-0.23168455693884712
2016-07-15,air_90f0efbb702d77b7,1,0,0,0,0,0,0,0.7833928940506075,0.5618228333881584,0.0,-1.3878872085349172,0.9829717831202216,1,21.0,1,1,0.9390956190524654,0.9390956190524656
2016-07-16,air_90f0efbb702d77b7,0,0,1,0,0,0,0,0.9875870827460617,0.9748070964207443,0.0,-0.879468642161304,0.8927831163941361,1,45.0,1,1,1.3868013653637998,1.3868013653638003
2016-07-17,air_90f0efbb702d77b7,0,0,0,1,0,0,0,1.1197127342548847,0.8533411367052778,0.0,-1.3878872085349172,1.2760849499799993,1,28.0,1,1,0.47137653639939914,0.47137653639939925
2016-07-18,air_90f0efbb702d77b7,0,1,0,0,0,0,0,1.4680439973236008,1.5214039151403436,1.0,0.5186824153661318,1.4226415334098876,1,43.0,1,1,-1.0377772707030464,-1.0377772707030464
2016-07-19,air_90f0efbb702d77b7,0,0,0,0,0,1,0,1.432009728730285,1.484964127225704,0.0,1.1542056233331481,1.2986321166615205,1,11.0,1,1,-0.8643283557413703,-0.8643283557413703
