visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Dining bar,Tōkyō-to Suginami-ku Asagayaminami,total_area_visitors,total_genre_visitors
2016-01-04,air_bfda7731a6c6fc61,0,1,0,0,0,0,0,-0.7339380067379991,-0.4679216520776337,0.0,0.8970389811823924,-0.8748289872787752,1,10.0,1,1,-1.5539579449745269,-1.5539579449745269
2016-01-05,air_bfda7731a6c6fc61,0,0,0,0,0,1,0,-0.5659132599789137,-0.4679216520776337,0.0,0.7243450503748778,-0.7844162930335676,1,22.0,1,1,-1.4247383316713427,-1.4247383316713427
2016-01-06,air_bfda7731a6c6fc61,0,0,0,0,0,0,1,-0.793946844866244,-1.089992932227626,0.0,-1.2739704346835024,-0.5809877309818506,1,4.0,1,1,-1.3610101403151913,-1.3610101403151913
2016-01-07,air_bfda7731a6c6fc61,0,0,0,0,1,0,0,-0.8539556829944888,-0.8028831106199371,0.0,0.18159269640840434,-0.8974321608400772,1,12.0,1,1,-1.2922441472708066,-1.2922441472708066
2016-01-08,air_bfda7731a6c6fc61,1,0,0,0,0,0,0,-1.1179945707587657,-1.137844569162241,0.0,0.921709542726323,-1.0443527889885393,1,15.0,1,1,-0.9600011259318203,-0.9600011259318203
2016-01-09,air_bfda7731a6c6fc61,0,0,1,0,0,0,0,-1.0939910355074678,-1.0421412952930111,0.0,0.921709542726323,-1.2138765906983036,1,9.0,1,1,-0.7035770200007451,-0.7035770200007451
2016-01-12,air_bfda7731a6c6fc61,0,0,0,0,0,1,0,-1.4180387613999896,-1.7240271216112721,0.0,-1.298640996227433,-1.2251781774789545,1,13.0,1,1,-1.400304993483411,-1.400304993483411
2016-01-13,air_bfda7731a6c6fc61,0,0,0,0,0,0,1,-1.394035226148692,-1.293362389199739,0.0,0.8476978580945309,-1.4286067395306716,1,12.0,1,1,-1.1977853656164323,-1.1977853656164323
2016-01-14,air_bfda7731a6c6fc61,0,0,0,0,1,0,0,-1.2020069441383086,-0.9584009306574354,0.0,0.921709542726323,-1.3607972188467659,1,13.0,1,1,-1.1058454848061745,-1.1058454848061745
2016-01-15,air_bfda7731a6c6fc61,1,0,0,0,0,0,0,-1.1419981060100637,-1.1498074783958945,0.0,0.40362775030378,-0.9991464418659356,1,20.0,1,1,-0.8317890729662827,-0.8317890729662827
2016-01-16,air_bfda7731a6c6fc61,0,0,1,0,0,0,0,-1.0219804297535742,-1.054104204526665,0.0,0.8230272965506005,-1.0443527889885393,1,11.0,1,1,-0.6854409339231051,-0.6854409339231051
2016-01-18,air_bfda7731a6c6fc61,0,1,0,0,0,0,0,-1.5260546700308304,-1.6283238477420425,0.0,-1.0272648192441962,-1.1686702435756997,1,1.0,1,1,-1.5647892186042285,-1.5647892186042285
2016-01-19,air_bfda7731a6c6fc61,0,0,0,0,0,1,0,-1.310022852769149,-1.4010285723026221,0.0,0.9957212273581151,-1.2251781774789545,1,6.0,1,1,-1.3302795500169682,-1.3302795500169682
2016-01-20,air_bfda7731a6c6fc61,0,0,0,0,0,0,1,-1.4300405290256386,-1.4010285723026221,0.0,0.9957212273581151,-1.3947019791887187,1,23.0,1,1,-1.2063496284864288,-1.2063496284864288
2016-01-21,air_bfda7731a6c6fc61,0,0,0,0,1,0,0,-1.2620157822665534,-1.3053252984333927,0.0,0.6996744888309473,-1.4173051527500207,1,5.0,1,1,-1.0854423879688295,-1.0854423879688295
