visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Ōsaka-fu Sakai-shi Minamikawaramachi,total_area_visitors,total_genre_visitors
2016-01-06,air_d4b5a4b04c5f2d04,0,0,0,0,0,0,1,-0.745887195801089,-0.8656268290515833,0.0,-0.7364784644929953,-0.5988620491895749,1,17.0,1,1,-1.3796001226179135,-1.3796001226179135
2016-01-07,air_d4b5a4b04c5f2d04,0,0,0,0,1,0,0,-0.8970739980163907,-0.9101050675470082,0.0,-0.5831637494481928,-0.8120512037881328,1,16.0,1,1,-1.3102948867885593,-1.3102948867885595
2016-01-08,air_d4b5a4b04c5f2d04,1,0,0,0,0,0,0,-0.9435930140826373,-1.1658549388957007,0.0,-1.2219750621348693,-0.9466969856398537,1,15.0,1,1,-0.9754465129463684,-0.9754465129463685
2016-01-09,air_d4b5a4b04c5f2d04,0,0,1,0,0,0,0,-0.9784822761323221,-1.0880180215287072,0.0,0.8988784959848968,-0.9354765038188768,1,33.0,1,1,-0.7170116042493628,-0.7170116042493629
2016-01-10,air_d4b5a4b04c5f2d04,0,0,0,1,0,0,0,-0.9203335060495138,-1.0546593426571387,0.0,-0.02100979428391747,-0.9691379492818072,1,39.0,1,1,-1.0031178342115685,-1.0031178342115685
2016-01-12,air_d4b5a4b04c5f2d04,0,0,0,0,0,1,0,-1.0366310462151305,-1.1102571407764197,0.0,-0.07211469929885142,-1.0701222856705979,1,21.0,1,1,-1.4192031145204016,-1.4192031145204016
2016-01-13,air_d4b5a4b04c5f2d04,0,0,0,0,0,0,1,-1.24596661851324,-1.1658549388957007,0.0,-0.7364784644929953,-1.2608704766272023,1,12.0,1,1,-1.215095387022963,-1.215095387022963
2016-01-14,air_d4b5a4b04c5f2d04,0,0,0,0,1,0,0,-1.1645583403973085,-1.1658549388957007,0.0,-0.22542941434365393,-1.1935475857013418,1,17.0,1,1,-1.1224345405844491,-1.1224345405844494
2016-01-15,air_d4b5a4b04c5f2d04,1,0,0,0,0,0,0,-1.1296690783476235,-1.2214527370149817,0.0,0.9755358535072981,-1.025240358386691,1,15.0,1,1,-0.8462290585978656,-0.8462290585978658
2016-01-16,air_d4b5a4b04c5f2d04,0,0,1,0,0,0,0,-1.3041153885960484,-1.0768984619048512,0.0,0.8733260434774298,-1.4067367402998998,1,19.0,1,1,-0.6987333002943683,-0.6987333002943684
2016-01-17,air_d4b5a4b04c5f2d04,0,0,0,1,0,0,0,-1.1064095703145003,-1.1436158196479882,0.0,-0.4298490344033904,-1.2047680675223185,1,34.0,1,1,-1.3016634654764785,-1.3016634654764787
2016-01-18,air_d4b5a4b04c5f2d04,0,1,0,0,0,0,0,-0.8389252279335824,-0.9545833060424329,0.0,-1.3497373246722046,-0.9466969856398537,1,5.0,1,1,-1.5849771767788934,-1.5849771767788934
2016-01-19,air_d4b5a4b04c5f2d04,0,0,0,0,0,1,0,-1.4785616988444732,-1.6551155623453737,0.0,-1.1453177046124683,-1.1711066220593884,1,5.0,1,1,-1.348628552027506,-1.3486285520275063
2016-01-20,air_d4b5a4b04c5f2d04,0,0,0,0,0,0,1,-1.3041153885960484,-1.3104092140058312,0.0,-0.4809539394183246,-1.1598861402384115,1,16.0,1,1,-1.2237268083350437,-1.2237268083350439
2016-01-21,air_d4b5a4b04c5f2d04,0,0,0,0,1,0,0,-1.31574514261261,-1.3548874525012562,0.0,-0.2509818668511209,-1.3057524039111092,1,18.0,1,1,-1.1018714486350805,-1.1018714486350805
2016-01-22,air_d4b5a4b04c5f2d04,1,0,0,0,0,0,0,-1.280855880562925,-1.3215287736296877,0.0,0.08120001574595088,-1.0813427674915745,1,4.0,1,1,-0.7939328000599647,-0.7939328000599648
2016-01-23,air_d4b5a4b04c5f2d04,0,0,1,0,0,0,0,-1.3738939126954184,-1.4772026083636742,0.0,-1.2986324196572707,-1.1935475857013418,1,55.0,1,1,-0.7208195842399867,-0.7208195842399868
2016-01-24,air_d4b5a4b04c5f2d04,0,0,0,1,0,0,0,-1.8739733354075696,-1.9887023510610595,0.0,0.13230492076088504,-1.5413825221516206,1,70.0,1,1,-1.416664461193319,-1.416664461193319
2016-01-26,air_d4b5a4b04c5f2d04,0,0,0,0,0,1,0,-1.3041153885960484,-1.2436918562626942,0.0,0.10675246825341786,-1.530162040330644,1,15.0,1,1,-1.2689148375571135,-1.2689148375571135
2016-01-27,air_d4b5a4b04c5f2d04,0,0,0,0,0,0,1,-0.9784822761323221,-1.065778902280995,0.0,0.15785737326835203,-0.845712649251063,1,29.0,1,1,-1.1176110992629924,-1.1176110992629924
