visit_date,air_store_id,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,avg_temperature1,high_temperature1,holiday_flg,hours_sunlight1,low_temperature1,train_ind,visitors,Cafe/Sweets,Tōkyō-to Minato-ku Shibakōen,total_area_visitors,total_genre_visitors
2016-07-01,air_2f8ced25216df926,1,0,0,0,0,0,0,1.0945769466844977,1.17098632017345,0.0,-0.18747622545988768,1.041935422405315,1,12.0,1,1,1.4168431217999753,1.416843121799975
2016-07-02,air_2f8ced25216df926,0,0,1,0,0,0,0,1.2568923124542923,1.3104630171861942,0.0,0.47647872722979256,1.1968599902538846,1,6.0,1,1,1.576613121884477,1.5766131218844768
2016-07-03,air_2f8ced25216df926,0,0,0,1,0,0,0,1.5119593158068272,1.7288931082244263,0.0,0.6623861139829028,1.3296524769812303,1,5.0,1,1,-0.4182185298882844,-0.41821852988828456
2016-07-04,air_2f8ced25216df926,0,1,0,0,0,0,0,1.3496439500370325,1.5429241788741006,0.0,0.5295951234449668,1.2189920713751092,1,7.0,1,1,-1.193370587714527,-1.193370587714527
2016-07-05,air_2f8ced25216df926,0,0,0,0,0,1,0,0.6424127134686399,0.5898334159536829,0.0,-1.356036942193725,0.8427466923142966,1,9.0,1,1,-0.5233303720491408,-0.5233303720491409
2016-07-06,air_2f8ced25216df926,0,0,0,0,0,0,1,0.8047280792384351,0.740933171050822,0.0,-0.2671508197826495,0.875944813996133,1,5.0,1,1,-0.06160271630254261,-0.06160271630254278
2016-07-07,air_2f8ced25216df926,0,0,0,0,1,0,0,1.3032681312456622,1.8799928633215661,0.0,2.043412415577438,1.0308693818447026,1,11.0,1,1,-0.1288742952854907,-0.12887429528549085
2016-07-08,air_2f8ced25216df926,1,0,0,0,0,0,0,1.05979508259097,1.0780018554982873,0.0,-0.7983147819343935,1.0530014629659272,1,13.0,1,1,1.209677236522942,1.2096772365229418
2016-07-09,air_2f8ced25216df926,0,0,1,0,0,0,0,0.7235703963535374,0.5084720093629151,0.0,-1.356036942193725,0.8538127328749089,1,8.0,1,1,1.515074916110303,1.5150749161103028
2016-07-10,air_2f8ced25216df926,0,0,0,1,0,0,0,1.0945769466844977,1.2523477267642174,0.0,1.7512722363939783,0.8427466923142966,1,5.0,1,1,-0.256919630281443,-0.25691963028144316
2016-07-11,air_2f8ced25216df926,0,1,0,0,0,0,0,1.3728318594327173,1.508055004620915,0.0,1.963737821254676,1.0751335440871514,1,8.0,1,1,-1.244206496832323,-1.2442064968323232
2016-07-12,air_2f8ced25216df926,0,0,0,0,0,1,0,1.268486267152135,1.3104630171861942,0.0,0.3171295385842692,1.3296524769812303,1,9.0,1,1,-0.5080413768257435,-0.5080413768257437
2016-07-13,air_2f8ced25216df926,0,0,0,0,0,0,1,1.036607173195285,0.8222945776415898,0.0,-1.356036942193725,1.2079260308144968,1,15.0,1,1,-0.4342719748728516,-0.43427197487285174
2016-07-14,air_2f8ced25216df926,0,0,0,0,1,0,0,1.1293588107780248,1.4383166561145426,0.0,-0.3202672159978238,0.9644731384810301,1,14.0,1,1,-0.21411044365593057,-0.21411044365593074
2016-07-15,air_2f8ced25216df926,1,0,0,0,0,0,0,0.7003824869578524,0.40386448660335716,0.0,-1.356036942193725,0.9312750167991937,1,8.0,1,1,0.9933379541118704,0.9933379541118702
2016-07-16,air_2f8ced25216df926,0,0,1,0,0,0,0,0.9206676262168602,0.8339176357259849,0.0,-0.9311057724723296,0.8316806517536847,1,5.0,1,1,1.4550656098584687,1.4550656098584684
2016-07-17,air_2f8ced25216df926,0,0,0,1,0,0,0,1.1293588107780248,0.9617712746543338,0.0,-1.3294787440861378,1.2189920713751092,1,6.0,1,1,0.5109701548136859,0.5109701548136857
2016-07-18,air_2f8ced25216df926,0,1,0,0,0,0,0,1.4539895423176148,1.508055004620915,1.0,0.6358279158753157,1.3739166392236788,1,7.0,1,1,-1.0454495589281583,-1.0454495589281583
2016-07-19,air_2f8ced25216df926,0,0,0,0,0,1,0,1.29167417654782,1.3685783076081703,0.0,0.29057134047668204,1.230058111935721,1,12.0,1,1,-0.86656831481441,-0.8665683148144101
2016-07-20,air_2f8ced25216df926,0,0,0,0,0,0,1,1.175734629569395,1.0896249135826823,0.0,-0.13435982924471343,1.1857939496932728,1,7.0,1,1,-0.3757915681433569,-0.37579156814335707
2016-07-21,air_2f8ced25216df926,0,0,0,0,1,0,0,0.6540066681664827,0.4387336608565433,0.0,-1.356036942193725,0.9202089762385813,1,6.0,1,1,-0.15066111347883182,-0.150661113478832
2016-07-22,air_2f8ced25216df926,1,0,0,0,0,0,0,0.6076308493751124,0.25276473150621764,0.0,-1.356036942193725,0.8648787734355208,1,18.0,1,1,1.0583161838113089,1.0583161838113087
